time	V(N004,N009)	V(N005,N008)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	I(C1)	I(C2)	I(C3)	I(C4)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(V1)	I(V2)	I(V3)
0.000000000000000e+000	7.000000e-002	7.000000e-002	0.000000e+000	-2.100000e-020	-2.100000e-020	-2.101260e-020	-2.101260e-020	-2.101260e-020	-2.101260e-020	-7.000000e-002	-7.000000e-002	4.200000e-025	4.200000e-025	2.100000e-038	2.100000e-038	-6.329539e-036	-6.329539e-036	0.000000e+000	0.000000e+000	4.200000e-025	4.200000e-025	4.200000e-025	4.200000e-025	0.000000e+000	-1.261169e-043	-4.200000e-025
1.000000000000000e-003	7.000000e-002	7.000000e-002	0.000000e+000	-7.917548e-017	-7.917548e-017	-8.438557e-016	-8.438557e-016	-9.565152e-012	-9.565152e-012	-7.000000e-002	-7.000000e-002	2.546562e-017	2.546562e-017	2.548797e-017	2.548797e-017	2.391077e-020	2.391077e-020	0.000000e+000	-2.553233e-032	2.548934e-017	2.548934e-017	1.583510e-021	1.583510e-021	-2.391077e-020	-2.391077e-020	-2.548955e-017
1.000000100000000e-003	1.781450e-001	-3.814505e-002	5.000000e-001	4.999984e-001	1.601627e-006	3.586796e-001	1.413204e-001	2.505346e-001	2.494654e-001	1.794654e-001	1.805346e-001	4.710626e-003	-4.710626e-003	1.185344e-002	-1.185344e-002	2.705214e-010	-2.705214e-010	-4.710626e-003	-7.142812e-003	4.710626e-003	-4.710626e-003	3.203253e-011	-3.203253e-011	-2.705212e-010	2.705214e-010	-1.185344e-002
1.000000300000000e-003	4.905953e-001	-3.505954e-001	1.500000e+000	1.499993e+000	6.867223e-006	1.171818e+000	3.281820e-001	7.512227e-001	7.487773e-001	6.787773e-001	6.812227e-001	1.093917e-002	-1.093917e-002	3.236755e-002	-3.236755e-002	1.051810e-009	-1.051810e-009	-1.093917e-002	-2.142837e-002	1.093917e-002	-1.093917e-002	1.373445e-010	-1.373445e-010	-1.051810e-009	1.051811e-009	-3.236755e-002
1.000000516015473e-003	9.404790e-001	-8.004792e-001	2.580077e+000	2.580061e+000	1.584624e-005	2.161948e+000	4.181293e-001	1.291469e+000	1.288608e+000	1.218608e+000	1.221469e+000	1.393711e-002	-1.393711e-002	5.079491e-002	-5.079491e-002	2.176289e-009	-2.176289e-009	-1.393711e-002	-3.685779e-002	1.393711e-002	-1.393711e-002	3.169247e-010	-3.169247e-010	-2.176288e-009	2.176289e-009	-5.079491e-002
1.000000712101981e-003	1.407520e+000	-1.267520e+000	3.560510e+000	3.560483e+000	2.716740e-005	3.119254e+000	4.412561e-001	1.781734e+000	1.778776e+000	1.708776e+000	1.711734e+000	1.470763e-002	-1.470763e-002	6.557128e-002	-6.557128e-002	3.343820e-009	-3.343820e-009	-1.470763e-002	-5.086365e-002	1.470763e-002	-1.470763e-002	5.433479e-010	-5.433479e-010	-3.343819e-009	3.343820e-009	-6.557128e-002
1.000000904867497e-003	1.882981e+000	-1.742981e+000	4.524337e+000	4.524297e+000	4.080444e-005	4.076643e+000	4.476942e-001	2.263662e+000	2.260675e+000	2.190675e+000	2.193662e+000	1.492177e-002	-1.492177e-002	7.955401e-002	-7.955401e-002	4.532456e-009	-4.532456e-009	-1.492178e-002	-6.463223e-002	1.492178e-002	-1.492178e-002	8.160888e-010	-8.160888e-010	-4.532456e-009	4.532457e-009	-7.955401e-002
1.000001000000000e-003	2.119568e+000	-1.979568e+000	5.000000e+000	4.999952e+000	4.836833e-005	4.551064e+000	4.489362e-001	2.501496e+000	2.498504e+000	2.428504e+000	2.431496e+000	1.496292e-002	-1.496292e-002	8.639012e-002	-8.639012e-002	5.123919e-009	-5.123919e-009	-1.496293e-002	-7.142719e-002	1.496293e-002	-1.496293e-002	9.673665e-010	-9.673665e-010	-5.123919e-009	5.123919e-009	-8.639012e-002
1.000001032706992e-003	2.185108e+000	-2.045108e+000	5.000000e+000	4.999949e+000	5.109766e-005	4.616374e+000	3.836254e-001	2.501267e+000	2.498733e+000	2.428733e+000	2.431267e+000	1.278581e-002	-1.278581e-002	8.421292e-002	-8.421292e-002	5.287740e-009	-5.287740e-009	-1.278581e-002	-7.142711e-002	1.278581e-002	-1.278581e-002	1.021953e-009	-1.021953e-009	-5.287739e-009	5.287740e-009	-8.421292e-002
1.000001098120977e-003	2.290068e+000	-2.150068e+000	5.000000e+000	4.999944e+000	5.639951e-005	4.720946e+000	2.790536e-001	2.500878e+000	2.499122e+000	2.429122e+000	2.430878e+000	9.299902e-003	-9.299902e-003	8.072686e-002	-8.072686e-002	5.550041e-009	-5.550041e-009	-9.299908e-003	-7.142696e-002	9.299908e-003	-9.299908e-003	1.127990e-009	-1.127990e-009	-5.550041e-009	5.550042e-009	-8.072687e-002
1.000001228948947e-003	2.424380e+000	-2.284380e+000	5.000000e+000	4.999934e+000	6.654987e-005	4.854791e+000	1.452088e-001	2.500411e+000	2.499589e+000	2.429589e+000	2.430411e+000	4.838069e-003	-4.838069e-003	7.626475e-002	-7.626475e-002	5.885768e-009	-5.885768e-009	-4.838075e-003	-7.142667e-002	4.838075e-003	-4.838075e-003	1.330997e-009	-1.330997e-009	-5.885769e-009	5.885769e-009	-7.626475e-002
1.000001391821033e-003	2.509440e+000	-2.369440e+000	5.000000e+000	4.999921e+000	7.869377e-005	4.939596e+000	6.040416e-002	2.500156e+000	2.499844e+000	2.429844e+000	2.430156e+000	2.010843e-003	-2.010843e-003	7.343717e-002	-7.343717e-002	6.098487e-009	-6.098487e-009	-2.010849e-003	-7.142632e-002	2.010849e-003	-2.010849e-003	1.573875e-009	-1.573875e-009	-6.098487e-009	6.098487e-009	-7.343717e-002
1.000001591416761e-003	2.549727e+000	-2.409728e+000	5.000000e+000	4.999907e+000	9.319198e-005	4.979772e+000	2.022769e-002	2.500045e+000	2.499955e+000	2.429955e+000	2.430045e+000	6.711438e-004	-6.711438e-004	7.209706e-002	-7.209706e-002	6.199263e-009	-6.199263e-009	-6.711499e-004	-7.142591e-002	6.711499e-004	-6.711499e-004	1.863840e-009	-1.863840e-009	-6.199262e-009	6.199263e-009	-7.209706e-002
1.000001834957193e-003	2.564579e+000	-2.424579e+000	5.000000e+000	4.999889e+000	1.106762e-004	4.994588e+000	5.412206e-003	2.500009e+000	2.499991e+000	2.429991e+000	2.430009e+000	1.767114e-004	-1.767114e-004	7.160213e-002	-7.160213e-002	6.236426e-009	-6.236426e-009	-1.767177e-004	-7.142541e-002	1.767177e-004	-1.767177e-004	2.213524e-009	-2.213524e-009	-6.236425e-009	6.236425e-009	-7.160213e-002
