time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	I(C1)	I(C2)	I(C3)	I(C4)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(R9)	I(V1)	I(V2)	I(V3)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	0.000000e+000	-2.100000e-020	-2.100000e-020	-2.102100e-020	-2.102100e-020	-2.102100e-020	-2.102100e-020	-7.000000e-002	-7.000000e-002	4.200000e-025	4.200000e-025	2.100000e-038	2.100000e-038	-4.579483e-038	-4.579483e-038	0.000000e+000	0.000000e+000	4.200000e-025	4.200000e-025	-4.298951e-038	4.200000e-025	4.200000e-025	-1.261169e-043	-1.261169e-043	-4.200000e-025
1.000000000000000e-003	-7.000000e-002	-7.000000e-002	0.000000e+000	2.946450e-016	2.946450e-016	3.047882e-016	3.047882e-016	3.810810e-011	3.810810e-011	-7.000000e-002	-7.000000e-002	-1.077849e-019	-1.077849e-019	-1.969715e-019	-1.969715e-019	-9.526947e-020	-9.526947e-020	0.000000e+000	-2.465190e-031	-2.028644e-019	-2.028644e-019	-2.676492e-032	-5.892899e-021	-5.892899e-021	9.526947e-020	9.526947e-020	2.028644e-019
1.000000100000000e-003	-7.038267e-002	-6.961733e-002	-5.000000e-001	-4.999984e-001	-1.617712e-006	-2.504973e-001	-2.495027e-001	-2.501146e-001	-2.498854e-001	-3.198854e-001	-3.201146e-001	-1.707382e-005	1.707382e-005	-1.213283e-002	1.213283e-002	-1.029814e-012	1.029814e-012	1.707382e-005	4.972948e-003	-4.990022e-003	4.990022e-003	7.142811e-003	-3.235424e-011	3.235424e-011	1.029809e-012	-1.029818e-012	1.213283e-002
1.000000300000000e-003	-7.132566e-002	-6.867433e-002	-1.500000e+000	-1.499993e+000	-6.990136e-006	-7.514940e-001	-7.485060e-001	-7.501683e-001	-7.498317e-001	-8.198317e-001	-8.201683e-001	-2.983604e-005	2.983604e-005	-3.639835e-002	3.639835e-002	-3.362086e-012	3.362085e-012	2.983604e-005	1.494014e-002	-1.496998e-002	1.496998e-002	2.142837e-002	-1.398027e-010	1.398027e-010	3.362074e-012	-3.362102e-012	3.639835e-002
1.000000452269774e-003	-7.211208e-002	-6.788790e-002	-2.261349e+000	-2.261335e+000	-1.371488e-005	-1.132928e+000	-1.128421e+000	-1.130816e+000	-1.130533e+000	-1.200533e+000	-1.200816e+000	-3.024299e-005	3.024299e-005	-5.487273e-002	5.487273e-002	-5.256436e-012	5.256436e-012	3.024300e-005	2.253790e-002	-2.256814e-002	2.256814e-002	3.230459e-002	-2.742976e-010	2.742976e-010	5.256429e-012	-5.256457e-012	5.487273e-002
1.000000603733507e-003	-7.285666e-002	-6.714344e-002	-3.018667e+000	-3.018643e+000	-2.410992e-005	-1.512343e+000	-1.506324e+000	-1.509487e+000	-1.509181e+000	-1.579181e+000	-1.579487e+000	-2.967199e-005	2.967199e-005	-7.324913e-002	7.324913e-002	-7.153182e-012	7.153182e-012	2.967200e-005	3.009633e-002	-3.012600e-002	3.012600e-002	4.312313e-002	-4.821984e-010	4.821984e-010	7.153176e-012	-7.153204e-012	7.324913e-002
1.000000906660974e-003	-7.437372e-002	-6.562614e-002	-4.533305e+000	-4.533254e+000	-5.133172e-005	-2.271174e+000	-2.262131e+000	-2.266800e+000	-2.266505e+000	-2.336505e+000	-2.336800e+000	-2.982990e-005	2.982990e-005	-1.100016e-001	1.100016e-001	-1.093007e-011	1.093007e-011	2.982991e-005	4.521177e-002	-4.524160e-002	4.524160e-002	6.476004e-002	-1.026634e-009	1.026634e-009	1.093008e-011	-1.093012e-011	1.100016e-001
1.000001000000000e-003	-7.483673e-002	-6.516314e-002	-5.000000e+000	-4.999939e+000	-6.127005e-005	-2.504987e+000	-2.495013e+000	-2.500150e+000	-2.499850e+000	-2.569850e+000	-2.570150e+000	-3.003192e-005	3.003192e-005	-1.213259e-001	1.213259e-001	-1.209185e-011	1.209185e-011	3.003193e-005	4.986900e-002	-4.989904e-002	4.989904e-002	7.142682e-002	-1.225401e-009	1.225401e-009	1.209194e-011	-1.209194e-011	1.213259e-001
1.000001060585493e-003	-7.493806e-002	-6.506205e-002	-5.000000e+000	-4.999931e+000	-6.862061e-005	-2.504988e+000	-2.495012e+000	-2.500050e+000	-2.499950e+000	-2.569950e+000	-2.570050e+000	-1.449645e-005	1.449645e-005	-1.213255e-001	1.213255e-001	-1.228989e-011	1.228988e-011	1.449646e-005	4.988436e-002	-4.989886e-002	4.989886e-002	7.142661e-002	-1.372412e-009	1.372412e-009	1.228991e-011	-1.228994e-011	1.213255e-001
1.000001181756480e-003	-7.500625e-002	-6.499386e-002	-5.000000e+000	-4.999917e+000	-8.332165e-005	-2.504990e+000	-2.495010e+000	-2.499983e+000	-2.500017e+000	-2.570017e+000	-2.569983e+000	-2.030471e-006	2.030471e-006	-1.213247e-001	1.213247e-001	-1.244875e-011	1.244875e-011	2.030484e-006	4.989651e-002	-4.989854e-002	4.989854e-002	7.142619e-002	-1.666433e-009	1.666433e-009	1.244870e-011	-1.244879e-011	1.213247e-001
