time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	I(C1)	I(C2)	I(C3)	I(C4)	I(R0)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(V1)	I(V2)	I(V3)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	0.000000e+000	-3.500000e-016	-3.500000e-016	-3.503500e-016	-3.503500e-016	-3.503500e-016	-3.503500e-016	-7.000000e-002	-7.000000e-002	7.000000e-021	7.000000e-021	3.500000e-035	3.500000e-035	7.000000e-021	-7.265415e-032	-7.265415e-032	0.000000e+000	0.000000e+000	0.000000e+000	7.000000e-021	7.000000e-021	7.000000e-021	-3.503500e-035	-3.503500e-035	-7.000000e-021
1.000000000000000e-003	-7.000000e-002	-7.000000e-002	0.000000e+000	1.048056e-015	1.048170e-015	1.138993e-015	1.137979e-015	3.039236e-015	3.039994e-015	-7.000000e-002	-7.000000e-002	-6.938894e-018	0.000000e+000	-1.799397e-018	-1.773590e-018	-1.818733e-018	-4.750607e-024	-4.755037e-024	0.000000e+000	-5.069907e-018	1.625300e-021	-1.796178e-018	-2.096112e-020	-2.096339e-020	5.551115e-017	5.551115e-017	1.820359e-018
1.000000100000000e-003	-7.000288e-002	-6.999710e-002	-5.000000e-001	-4.999838e-001	-1.618279e-005	-2.502514e-001	-2.497486e-001	-2.502485e-001	-2.497515e-001	-3.197515e-001	-3.202485e-001	-2.480779e-003	2.480779e-003	-1.213704e-002	1.213704e-002	-4.994649e-003	-8.272734e-015	8.272734e-015	2.480779e-003	2.513870e-003	7.142395e-003	4.994649e-003	-3.236559e-010	3.236559e-010	4.620378e-014	1.850372e-017	1.213704e-002
1.000000300000000e-003	-7.001334e-002	-6.998664e-002	-1.500000e+000	-1.499930e+000	-6.992553e-005	-7.507563e-001	-7.492437e-001	-7.507430e-001	-7.492570e-001	-8.192570e-001	-8.207430e-001	-7.420362e-003	7.420362e-003	-3.641005e-002	3.641005e-002	-1.498348e-002	-3.568761e-014	3.568761e-014	7.420362e-003	7.563113e-003	2.142657e-002	1.498348e-002	-1.398511e-009	1.398511e-009	7.931770e-014	-6.454332e-014	3.641005e-002
1.000000452280721e-003	-7.002723e-002	-6.997275e-002	-2.261404e+000	-2.261266e+000	-1.371998e-004	-1.131845e+000	-1.129558e+000	-1.131818e+000	-1.129586e+000	-1.199586e+000	-1.201818e+000	-1.115440e-002	1.115440e-002	-5.489027e-002	5.489027e-002	-2.258842e-002	-6.990743e-014	6.990743e-014	1.115440e-002	1.143403e-002	3.230184e-002	2.258842e-002	-2.743996e-009	2.743996e-009	3.172846e-015	-1.136868e-013	5.489027e-002
1.000000603752829e-003	-7.004762e-002	-6.995237e-002	-3.018764e+000	-3.018523e+000	-2.411864e-004	-1.510914e+000	-1.507850e+000	-1.510867e+000	-1.507898e+000	-1.577898e+000	-1.580867e+000	-1.483099e-002	1.483099e-002	-7.327048e-002	7.327048e-002	-3.015218e-002	-1.225501e-013	1.225501e-013	1.483099e-002	1.532119e-002	4.311831e-002	3.015218e-002	-4.823727e-009	4.823727e-009	3.404684e-015	-1.136868e-013	7.327048e-002
1.000000906697046e-003	-7.010317e-002	-6.989694e-002	-4.533485e+000	-4.532972e+000	-5.134876e-004	-2.269058e+000	-2.264427e+000	-2.268955e+000	-2.264530e+000	-2.334530e+000	-2.338955e+000	-2.211938e-002	2.211938e-002	-1.100277e-001	1.100277e-001	-4.527827e-002	-2.598751e-013	2.598751e-013	2.211938e-002	2.315888e-002	6.474940e-002	4.527827e-002	-1.026975e-008	1.026975e-008	2.120976e-013	-1.136868e-013	1.100277e-001
1.000001000000000e-003	-7.012391e-002	-6.987619e-002	-5.000000e+000	-4.999387e+000	-6.128542e-004	-2.502559e+000	-2.497441e+000	-2.502435e+000	-2.497565e+000	-2.567565e+000	-2.572435e+000	-2.434860e-002	2.434860e-002	-1.213476e-001	1.213476e-001	-4.993657e-002	-3.098431e-013	3.098431e-013	2.434860e-002	2.558797e-002	7.141106e-002	4.993657e-002	-1.225708e-008	1.225708e-008	1.634248e-013	0.000000e+000	1.213476e-001
1.000002099254729e-003	-7.038169e-002	-6.961820e-002	-5.000000e+000	-4.998054e+000	-1.946295e-003	-2.502686e+000	-2.497314e+000	-2.502304e+000	-2.497696e+000	-2.567696e+000	-2.572304e+000	-2.305151e-002	2.305151e-002	-1.212803e-001	1.212803e-001	-4.990736e-002	-9.510864e-013	9.510864e-013	2.305151e-002	2.685585e-002	7.137296e-002	4.990736e-002	-3.892589e-008	3.892589e-008	9.102219e-013	-8.412586e-013	1.212803e-001
1.000003198509458e-003	-7.062617e-002	-6.937358e-002	-5.000000e+000	-4.996721e+000	-3.278819e-003	-2.502805e+000	-2.497195e+000	-2.502179e+000	-2.497821e+000	-2.567821e+000	-2.572179e+000	-2.182586e-002	2.182586e-002	-1.212131e-001	1.212131e-001	-4.987832e-002	-1.556651e-012	1.556651e-012	2.182586e-002	2.805246e-002	7.133489e-002	4.987832e-002	-6.557639e-008	6.557639e-008	1.593448e-012	-1.594959e-012	1.212132e-001
1.000004297764186e-003	-7.085733e-002	-6.914233e-002	-5.000000e+000	-4.995389e+000	-4.610429e-003	-2.502918e+000	-2.497082e+000	-2.502060e+000	-2.497940e+000	-2.567940e+000	-2.572060e+000	-2.067164e-002	2.067164e-002	-1.211462e-001	1.211462e-001	-4.984944e-002	-2.126538e-012	2.126538e-012	2.067164e-002	2.917779e-002	7.129684e-002	4.984944e-002	-9.220857e-008	9.220857e-008	2.213103e-012	-2.261102e-012	1.211463e-001
1.000005397018915e-003	-7.107517e-002	-6.892445e-002	-5.000000e+000	-4.994059e+000	-5.941122e-003	-2.503023e+000	-2.496977e+000	-2.501948e+000	-2.498052e+000	-2.568052e+000	-2.571948e+000	-1.958886e-002	1.958886e-002	-1.210794e-001	1.210794e-001	-4.982072e-002	-2.660747e-012	2.660747e-012	1.958886e-002	3.023185e-002	7.125882e-002	4.982072e-002	-1.188224e-007	1.188224e-007	2.769187e-012	-2.839687e-012	1.210795e-001
1.000006496273644e-003	-7.127971e-002	-6.871994e-002	-5.000000e+000	-4.992729e+000	-7.270900e-003	-2.503121e+000	-2.496879e+000	-2.501842e+000	-2.498158e+000	-2.568158e+000	-2.571841e+000	-1.857752e-002	1.857752e-002	-1.210128e-001	1.210128e-001	-4.979215e-002	-3.159278e-012	3.159278e-012	1.857752e-002	3.121463e-002	7.122083e-002	4.979215e-002	-1.454180e-007	1.454180e-007	3.261701e-012	-3.330714e-012	1.210130e-001
1.000007595528373e-003	-7.147093e-002	-6.852880e-002	-5.000000e+000	-4.991400e+000	-8.599762e-003	-2.503213e+000	-2.496787e+000	-2.501741e+000	-2.498259e+000	-2.568258e+000	-2.571741e+000	-1.763762e-002	1.763762e-002	-1.209464e-001	1.209464e-001	-4.976375e-002	-3.622130e-012	3.622130e-012	1.763762e-002	3.212614e-002	7.118286e-002	4.976375e-002	-1.719952e-007	1.719952e-007	3.690643e-012	-3.734183e-012	1.209466e-001
1.000008694783102e-003	-7.164884e-002	-6.835103e-002	-5.000000e+000	-4.990072e+000	-9.927709e-003	-2.503297e+000	-2.496703e+000	-2.501648e+000	-2.498352e+000	-2.568352e+000	-2.571648e+000	-1.676915e-002	1.676915e-002	-1.208802e-001	1.208802e-001	-4.973551e-002	-4.049304e-012	4.049304e-012	1.676915e-002	3.296636e-002	7.114492e-002	4.973551e-002	-1.985542e-007	1.985542e-007	4.056015e-012	-4.050094e-012	1.208804e-001
1.000016450155047e-003	-7.266951e-002	-6.733060e-002	-5.000000e+000	-4.980729e+000	-1.927100e-002	-2.503774e+000	-2.496226e+000	-2.501104e+000	-2.498896e+000	-2.568896e+000	-2.571104e+000	-1.180256e-002	1.180256e-002	-1.204167e-001	1.204167e-001	-4.953911e-002	-6.483498e-012	6.483498e-012	1.180256e-002	3.773655e-002	7.087797e-002	4.953911e-002	-3.854199e-007	3.854199e-007	6.483110e-012	-6.486071e-012	1.204171e-001
1.000031960898937e-003	-7.383132e-002	-6.616879e-002	-5.000000e+000	-4.962175e+000	-3.782489e-002	-2.504305e+000	-2.495695e+000	-2.500473e+000	-2.499527e+000	-2.569527e+000	-2.570473e+000	-6.112364e-003	6.112364e-003	-1.195045e-001	1.195045e-001	-4.915741e-002	-9.233172e-012	9.233172e-012	6.112364e-003	4.304505e-002	7.034786e-002	4.915741e-002	-7.564977e-007	7.564977e-007	9.234687e-012	-9.240608e-012	1.195053e-001
1.000062982386717e-003	-7.466745e-002	-6.533241e-002	-5.000000e+000	-4.925454e+000	-7.454582e-002	-2.504706e+000	-2.495294e+000	-2.500039e+000	-2.499961e+000	-2.569961e+000	-2.570039e+000	-1.350930e-003	1.350930e-003	-1.177122e-001	1.177122e-001	-4.841496e-002	-1.142827e-011	1.142827e-011	1.350930e-003	4.706402e-002	6.929869e-002	4.841496e-002	-1.490916e-006	1.490916e-006	1.142830e-011	-1.142874e-011	1.177136e-001
1.000094692150394e-003	-7.478428e-002	-6.521583e-002	-5.000000e+000	-4.888500e+000	-1.115002e-001	-2.504768e+000	-2.495232e+000	-2.499984e+000	-2.500016e+000	-2.570016e+000	-2.569984e+000	6.690664e-006	-6.690664e-006	-1.159153e-001	1.159153e-001	-4.767463e-002	-1.192200e-011	1.192200e-011	-6.690645e-006	4.768132e-002	6.824286e-002	4.767463e-002	-2.230003e-006	2.230003e-006	1.191998e-011	-1.191985e-011	1.159175e-001
1.000145286258817e-003	-7.469678e-002	-6.530309e-002	-5.000000e+000	-4.830834e+000	-1.691659e-001	-2.504673e+000	-2.495327e+000	-2.499976e+000	-2.500024e+000	-2.570024e+000	-2.569976e+000	2.107325e-004	-2.107325e-004	-1.131151e-001	1.131151e-001	-4.652321e-002	-1.173617e-011	1.173617e-011	-2.107325e-004	4.673395e-002	6.659526e-002	4.652321e-002	-3.383318e-006	3.383318e-006	1.173606e-011	-1.173391e-011	1.131185e-001
1.000215887196151e-003	-7.454133e-002	-6.545877e-002	-5.000000e+000	-4.753149e+000	-2.468514e-001	-2.504519e+000	-2.495481e+000	-2.499978e+000	-2.500022e+000	-2.570022e+000	-2.569978e+000	2.222558e-004	-2.222558e-004	-1.093433e-001	1.093433e-001	-4.497258e-002	-1.135427e-011	1.135427e-011	-2.222557e-004	4.519484e-002	6.437568e-002	4.497258e-002	-4.937028e-006	4.937028e-006	1.135507e-011	-1.135270e-011	1.093483e-001
1.000357089070820e-003	-7.424760e-002	-6.575227e-002	-5.000000e+000	-4.607442e+000	-3.925580e-001	-2.504227e+000	-2.495773e+000	-2.499979e+000	-2.500021e+000	-2.570021e+000	-2.569979e+000	2.058386e-004	-2.058386e-004	-1.022691e-001	1.022691e-001	-4.206430e-002	-1.061899e-011	1.061899e-011	-2.058386e-004	4.227014e-002	6.021263e-002	4.206430e-002	-7.851160e-006	7.851160e-006	1.061847e-011	-1.061728e-011	1.022769e-001
1.000639492820158e-003	-7.372689e-002	-6.627321e-002	-5.000000e+000	-4.349246e+000	-6.507541e-001	-2.503709e+000	-2.496291e+000	-2.499982e+000	-2.500018e+000	-2.570018e+000	-2.569982e+000	1.809495e-004	-1.809495e-004	-8.973332e-002	8.973332e-002	-3.691074e-002	-9.318158e-012	9.318158e-012	-1.809495e-004	3.709168e-002	5.283560e-002	3.691074e-002	-1.301508e-005	1.301508e-005	9.316399e-012	-9.316399e-012	8.974633e-002
1.001204300318833e-003	-7.287645e-002	-6.712365e-002	-5.000000e+000	-3.927207e+000	-1.072793e+000	-2.502863e+000	-2.497137e+000	-2.499986e+000	-2.500014e+000	-2.570014e+000	-2.569986e+000	1.395415e-004	-1.395415e-004	-6.924275e-002	6.924275e-002	-2.848688e-002	-7.191490e-012	7.191490e-012	-1.395414e-004	2.862642e-002	4.077733e-002	2.848688e-002	-2.145587e-005	2.145587e-005	7.190167e-012	-7.190167e-012	6.926420e-002
1.002006546562358e-003	-7.197380e-002	-6.802607e-002	-5.000000e+000	-3.479586e+000	-1.520414e+000	-2.501965e+000	-2.498035e+000	-2.499991e+000	-2.500009e+000	-2.570009e+000	-2.569991e+000	9.576655e-005	-9.576655e-005	-4.751020e-002	4.751020e-002	-1.955243e-002	-4.935990e-012	4.935990e-012	-9.576654e-005	1.964819e-002	2.798818e-002	1.955243e-002	-3.040828e-005	3.040828e-005	4.935215e-012	-4.935215e-012	4.754061e-002
1.002932723136616e-003	-7.126474e-002	-6.873536e-002	-5.000000e+000	-3.127602e+000	-1.872398e+000	-2.501259e+000	-2.498741e+000	-2.499994e+000	-2.500006e+000	-2.570006e+000	-2.569994e+000	6.131169e-005	-6.131169e-005	-3.042092e-002	3.042092e-002	-1.252687e-002	-3.162374e-012	3.162374e-012	-6.131168e-005	1.258818e-002	1.793149e-002	1.252687e-002	-3.744795e-005	3.744795e-005	3.161732e-012	-3.162159e-012	3.045837e-002
1.003932723136616e-003	-7.077575e-002	-6.922436e-002	-5.000000e+000	-2.884971e+000	-2.115029e+000	-2.500772e+000	-2.499228e+000	-2.499996e+000	-2.500004e+000	-2.570004e+000	-2.569997e+000	3.757283e-005	-3.757283e-005	-1.864086e-002	1.864086e-002	-7.683984e-003	-1.939782e-012	1.939782e-012	-3.757283e-005	7.721556e-003	1.099918e-002	7.683984e-003	-4.230057e-005	4.230057e-005	1.938449e-012	-1.939782e-012	1.868317e-002
1.004932723136616e-003	-7.047367e-002	-6.952643e-002	-5.000000e+000	-2.734975e+000	-2.265025e+000	-2.500471e+000	-2.499529e+000	-2.499998e+000	-2.500002e+000	-2.570002e+000	-2.569998e+000	2.289248e-005	-2.289248e-005	-1.135836e-002	1.135836e-002	-4.690079e-003	-1.183966e-012	1.183966e-012	-2.289248e-005	4.712971e-003	6.713578e-003	4.690079e-003	-4.530050e-005	4.530050e-005	1.181721e-012	-1.183942e-012	1.140366e-002
1.005932723136616e-003	-7.028937e-002	-6.971073e-002	-5.000000e+000	-2.643579e+000	-2.356421e+000	-2.500288e+000	-2.499712e+000	-2.499999e+000	-2.500001e+000	-2.570001e+000	-2.569999e+000	1.395046e-005	-1.395046e-005	-6.920938e-003	6.920938e-003	-2.865816e-003	-7.234292e-013	7.234292e-013	-1.395046e-005	2.879766e-003	4.102251e-003	2.865816e-003	-4.712843e-005	4.712843e-005	7.207568e-013	-7.238654e-013	6.968066e-003
1.006932723136616e-003	-7.017732e-002	-6.982279e-002	-5.000000e+000	-2.587888e+000	-2.412112e+000	-2.500176e+000	-2.499824e+000	-2.499999e+000	-2.500001e+000	-2.570001e+000	-2.569999e+000	8.499002e-006	-8.499002e-006	-4.217105e-003	4.217105e-003	-1.754245e-003	-4.428109e-013	4.428109e-013	-8.499002e-006	1.762745e-003	2.511102e-003	1.754245e-003	-4.824223e-005	4.824223e-005	4.409806e-013	-4.440892e-013	4.265347e-003
1.007932723136616e-003	-7.010865e-002	-6.989121e-002	-5.000000e+000	-2.553955e+000	-2.446045e+000	-2.500108e+000	-2.499892e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.569999e+000	5.179925e-006	-5.179925e-006	-2.569590e-003	2.569590e-003	-1.076937e-003	-2.718243e-013	2.718243e-013	-5.179925e-006	1.082117e-003	1.541574e-003	1.076937e-003	-4.892090e-005	4.892090e-005	2.713385e-013	-2.731149e-013	2.618511e-003
1.008932723136616e-003	-7.006717e-002	-6.993294e-002	-5.000000e+000	-2.533278e+000	-2.466722e+000	-2.500067e+000	-2.499933e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	3.155093e-006	-3.155093e-006	-1.565717e-003	1.565717e-003	-6.642360e-004	-1.676366e-013	1.676366e-013	-3.155093e-006	6.673911e-004	9.508154e-004	6.642360e-004	-4.933443e-005	4.933443e-005	1.665335e-013	-1.674216e-013	1.615052e-003
