time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	I(C1)	I(C2)	I(C3)	I(C4)	I(R0)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(V1)	I(V2)	I(V3)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	0.000000e+000	-3.500000e-014	-3.500000e-014	-3.503500e-014	-3.503500e-014	-3.503500e-014	-3.503500e-014	-7.000000e-002	-7.000000e-002	7.000000e-019	7.000000e-019	3.500000e-032	3.500000e-032	7.000000e-019	-6.918569e-030	-6.918569e-030	0.000000e+000	0.000000e+000	0.000000e+000	7.000000e-019	7.000000e-019	7.000000e-019	-3.503500e-031	-3.503500e-031	-7.000000e-019
1.000000000000000e-003	-7.000000e-002	-7.000000e-002	0.000000e+000	-4.704601e-014	-4.705695e-014	-6.072025e-014	-6.072920e-014	-6.138839e-014	-6.136557e-014	-7.000000e-002	-7.000000e-002	4.440892e-016	4.440892e-016	2.727003e-016	2.723477e-016	2.734850e-016	1.670349e-024	1.590918e-024	1.387779e-016	-4.472258e-017	-1.562538e-019	2.734451e-016	9.409201e-019	9.411389e-019	1.110223e-016	0.000000e+000	-2.736412e-016
1.000000129522871e-003	-6.999999e-002	-7.000001e-002	-6.476143e-001	-6.476125e-001	-1.804835e-006	-3.241306e-001	-3.234837e-001	-3.241306e-001	-3.234837e-001	-3.934837e-001	-3.941306e-001	-3.234633e-003	3.234633e-003	-1.572122e-002	1.572122e-002	-6.469638e-003	-9.284705e-017	9.284705e-017	3.234633e-003	3.235005e-003	9.251583e-003	6.469638e-003	-3.609670e-011	3.609670e-011	1.621812e-011	-2.123358e-011	1.572122e-002
1.000000259045741e-003	-7.000003e-002	-6.999997e-002	-1.295229e+000	-1.295223e+000	-5.417864e-006	-6.482613e-001	-6.469674e-001	-6.482612e-001	-6.469674e-001	-7.169674e-001	-7.182613e-001	-6.469062e-003	6.469062e-003	-3.144235e-002	3.144235e-002	-1.293924e-002	-2.786864e-016	2.786865e-016	6.469062e-003	6.470177e-003	1.850311e-002	1.293924e-002	-1.083573e-010	1.083573e-010	2.013035e-011	-3.007701e-011	3.144235e-002
1.000000388568612e-003	-7.000011e-002	-6.999988e-002	-1.942843e+000	-1.942832e+000	-1.083909e-005	-9.723920e-001	-9.704510e-001	-9.723918e-001	-9.704512e-001	-1.040451e+000	-1.042392e+000	-9.703286e-003	9.703286e-003	-4.716339e-002	4.716339e-002	-1.940880e-002	-5.575182e-016	5.575182e-016	9.703286e-003	9.705517e-003	2.775459e-002	1.940880e-002	-2.167817e-010	2.167817e-010	1.173677e-011	-2.653029e-011	4.716339e-002
1.000000518091482e-003	-7.000024e-002	-6.999973e-002	-2.590457e+000	-2.590439e+000	-1.806850e-005	-1.296523e+000	-1.293935e+000	-1.296522e+000	-1.293935e+000	-1.363935e+000	-1.366522e+000	-1.293731e-002	1.293731e-002	-6.288435e-002	6.288435e-002	-2.587833e-002	-9.293423e-016	9.293423e-016	1.293731e-002	1.294102e-002	3.700602e-002	2.587833e-002	-3.613701e-010	3.613701e-010	-8.962589e-012	-1.059342e-011	6.288435e-002
1.000000647614353e-003	-7.000041e-002	-6.999954e-002	-3.238072e+000	-3.238045e+000	-2.710611e-005	-1.620654e+000	-1.617418e+000	-1.620653e+000	-1.617419e+000	-1.687419e+000	-1.690653e+000	-1.617112e-002	1.617112e-002	-7.860522e-002	7.860522e-002	-3.234782e-002	-1.394159e-015	1.394159e-015	1.617112e-002	1.617670e-002	4.625740e-002	3.234782e-002	-5.421223e-010	5.421223e-010	-4.196774e-011	1.773360e-011	7.860522e-002
1.000000777137224e-003	-7.000063e-002	-6.999928e-002	-3.885686e+000	-3.885648e+000	-3.795192e-005	-1.944784e+000	-1.940902e+000	-1.944783e+000	-1.940903e+000	-2.010903e+000	-2.014784e+000	-1.940473e-002	1.940473e-002	-9.432599e-002	9.432599e-002	-3.881728e-002	-1.951967e-015	1.951967e-015	1.940473e-002	1.941254e-002	5.550872e-002	3.881728e-002	-7.590384e-010	7.590384e-010	-8.727869e-011	5.845077e-011	9.432599e-002
1.000000906660094e-003	-7.000089e-002	-6.999898e-002	-4.533300e+000	-4.533250e+000	-5.060592e-005	-2.268915e+000	-2.264385e+000	-2.268914e+000	-2.264386e+000	-2.334386e+000	-2.338914e+000	-2.263814e-002	2.263814e-002	-1.100467e-001	1.100467e-001	-4.528669e-002	-2.602769e-015	2.602769e-015	2.263814e-002	2.264855e-002	6.475999e-002	4.528669e-002	-1.012118e-009	1.012118e-009	-1.448954e-010	1.115581e-010	1.100467e-001
1.000000918327582e-003	-7.000113e-002	-6.999898e-002	-4.591638e+000	-4.591586e+000	-5.180069e-005	-2.298113e+000	-2.293525e+000	-2.298112e+000	-2.293526e+000	-2.363526e+000	-2.368112e+000	-2.292940e-002	2.292940e-002	-1.114628e-001	1.114628e-001	-4.586946e-002	-2.664215e-015	2.664215e-015	2.292940e-002	2.294006e-002	6.559335e-002	4.586946e-002	-1.036014e-009	1.036014e-009	-1.007088e-010	1.164153e-010	1.114628e-001
