time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	I(C1)	I(C2)	I(C3)	I(C4)	I(R0)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(V1)	I(V2)	I(V3)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	0.000000e+000	-3.500000e-018	-3.500000e-018	-3.503500e-018	-3.503500e-018	-3.503500e-018	-3.503500e-018	-7.000000e-002	-7.000000e-002	7.000000e-023	7.000000e-023	3.500000e-036	3.500000e-036	7.000000e-023	-7.268883e-034	-7.268883e-034	0.000000e+000	0.000000e+000	0.000000e+000	7.000000e-023	7.000000e-023	7.000000e-023	-3.503500e-039	-3.503500e-039	-7.000000e-023
1.000000000000000e-003	-7.000000e-002	-7.000000e-002	0.000000e+000	-2.749765e-014	-2.749765e-014	-2.843820e-014	-2.843820e-014	-2.776889e-011	-2.776889e-011	-7.000000e-002	-7.000000e-002	1.872959e-017	1.872959e-017	1.826096e-017	1.826096e-017	1.881091e-017	6.935113e-020	6.935113e-020	0.000000e+000	0.000000e+000	-1.172022e-030	1.881091e-017	5.499530e-019	5.499530e-019	-6.935113e-020	-6.935113e-020	-1.881091e-017
1.000000100000000e-003	-7.018490e-002	-6.981507e-002	-5.000000e-001	-4.999984e-001	-1.618113e-006	-2.503514e-001	-2.496486e-001	-2.501664e-001	-2.498336e-001	-3.198335e-001	-3.201664e-001	-1.479376e-003	1.479376e-003	-1.213575e-002	1.213575e-002	-4.992940e-003	-5.085471e-013	5.085473e-013	1.479376e-003	3.513565e-003	7.142811e-003	4.992940e-003	-3.236226e-011	3.236226e-011	5.089262e-013	-5.082601e-013	1.213575e-002
1.000000300000000e-003	-7.075173e-002	-6.924826e-002	-1.500000e+000	-1.499993e+000	-6.991776e-006	-7.511401e-001	-7.488600e-001	-7.503883e-001	-7.496117e-001	-8.196117e-001	-8.203883e-001	-3.576848e-003	3.576848e-003	-3.640543e-002	3.640543e-002	-1.497706e-002	-1.955841e-012	1.955841e-012	3.576848e-003	1.140021e-002	2.142837e-002	1.497706e-002	-1.398355e-010	1.398355e-010	1.957091e-012	-1.956167e-012	3.640543e-002
1.000000452285285e-003	-7.136738e-002	-6.863260e-002	-2.261426e+000	-2.261413e+000	-1.371858e-005	-1.132530e+000	-1.128896e+000	-1.131163e+000	-1.130264e+000	-1.200264e+000	-1.201163e+000	-4.409887e-003	4.409887e-003	-5.488335e-002	5.488335e-002	-2.257765e-002	-3.439470e-012	3.439470e-012	4.409887e-003	1.816777e-002	3.230570e-002	2.257765e-002	-2.743717e-010	2.743717e-010	3.441032e-012	-3.440366e-012	5.488335e-002
1.000000603762033e-003	-7.206631e-002	-6.793380e-002	-3.018810e+000	-3.018786e+000	-2.411635e-005	-1.511948e+000	-1.506862e+000	-1.509882e+000	-1.508928e+000	-1.578928e+000	-1.579882e+000	-4.707747e-003	4.707747e-003	-7.326193e-002	7.326193e-002	-3.013676e-002	-5.180317e-012	5.180317e-012	4.707747e-003	2.542901e-002	4.312517e-002	3.013676e-002	-4.823270e-010	4.823270e-010	5.182225e-012	-5.180153e-012	7.326193e-002
1.000000906715527e-003	-7.353544e-002	-6.646466e-002	-4.533577e+000	-4.533526e+000	-5.134430e-005	-2.270820e+000	-2.262758e+000	-2.267285e+000	-2.266293e+000	-2.336293e+000	-2.337285e+000	-4.940890e-003	4.940890e-003	-1.100181e-001	1.100181e-001	-4.525412e-002	-8.843085e-012	8.843085e-012	4.940890e-003	4.031323e-002	6.476393e-002	4.525412e-002	-1.026886e-009	1.026886e-009	8.847820e-012	-8.842021e-012	1.100181e-001
1.000001000000000e-003	-7.399654e-002	-6.600332e-002	-5.000000e+000	-4.999938e+000	-6.127797e-005	-2.504494e+000	-2.495506e+000	-2.500497e+000	-2.499503e+000	-2.569503e+000	-2.570497e+000	-4.970729e-003	4.970729e-003	-1.213357e-001	1.213357e-001	-4.990890e-002	-9.991860e-012	9.991860e-012	4.970729e-003	4.493817e-002	7.142682e-002	4.990890e-002	-1.225559e-009	1.225559e-009	9.997336e-012	-9.990231e-012	1.213357e-001
1.000001060590699e-003	-7.421899e-002	-6.578112e-002	-5.000000e+000	-4.999931e+000	-6.862958e-005	-2.504600e+000	-2.495400e+000	-2.500381e+000	-2.499619e+000	-2.569619e+000	-2.570381e+000	-3.903746e-003	3.903746e-003	-1.213332e-001	1.213332e-001	-4.990662e-002	-1.052478e-011	1.052478e-011	3.903746e-003	4.600288e-002	7.142661e-002	4.990662e-002	-1.372592e-009	1.372592e-009	1.052787e-011	-1.051840e-011	1.213332e-001
1.000001181772097e-003	-7.454896e-002	-6.545091e-002	-5.000000e+000	-4.999917e+000	-8.333250e-005	-2.504753e+000	-2.495247e+000	-2.500204e+000	-2.499796e+000	-2.569796e+000	-2.570204e+000	-2.374013e-003	2.374013e-003	-1.213295e-001	1.213295e-001	-4.990327e-002	-1.128881e-011	1.128881e-011	2.374013e-003	4.752926e-002	7.142619e-002	4.990327e-002	-1.666650e-009	1.666650e-009	1.128875e-011	-1.128342e-011	1.213295e-001
1.000001424134893e-003	-7.484794e-002	-6.515217e-002	-5.000000e+000	-4.999887e+000	-1.127374e-004	-2.504898e+000	-2.495102e+000	-2.500050e+000	-2.499950e+000	-2.569950e+000	-2.570050e+000	-9.212011e-004	9.212011e-004	-1.213251e-001	1.213251e-001	-4.989979e-002	-1.201435e-011	1.201435e-011	9.212011e-004	4.897859e-002	7.142535e-002	4.989979e-002	-2.254747e-009	2.254747e-009	1.201321e-011	-1.201202e-011	1.213251e-001
1.000001908860484e-003	-7.498240e-002	-6.501770e-002	-5.000000e+000	-4.999828e+000	-1.715452e-004	-2.504977e+000	-2.495023e+000	-2.499995e+000	-2.500005e+000	-2.570005e+000	-2.569995e+000	-1.223610e-004	1.223610e-004	-1.213207e-001	1.213207e-001	-4.989702e-002	-1.241307e-011	1.241307e-011	1.223610e-004	4.977466e-002	7.142367e-002	4.989702e-002	-3.430904e-009	3.430904e-009	1.241204e-011	-1.241242e-011	1.213207e-001
1.000002570468846e-003	-7.498932e-002	-6.501055e-002	-5.000000e+000	-4.999748e+000	-2.518099e-004	-2.504991e+000	-2.495009e+000	-2.500001e+000	-2.499999e+000	-2.569999e+000	-2.570001e+000	1.065262e-005	-1.065262e-005	-1.213165e-001	1.213165e-001	-4.989515e-002	-1.247911e-011	1.247911e-011	-1.065260e-005	4.990580e-002	7.142138e-002	4.989515e-002	-5.036199e-009	5.036199e-009	1.247798e-011	-1.247870e-011	1.213165e-001
1.000003727746048e-003	-7.498980e-002	-6.501031e-002	-5.000000e+000	-4.999608e+000	-3.922000e-004	-2.504989e+000	-2.495011e+000	-2.499999e+000	-2.500001e+000	-2.570001e+000	-2.569999e+000	-1.505494e-006	1.505494e-006	-1.213097e-001	1.213097e-001	-4.989237e-002	-1.247234e-011	1.247234e-011	1.505507e-006	4.989087e-002	7.141737e-002	4.989237e-002	-7.844001e-009	7.844001e-009	1.247121e-011	-1.247202e-011	1.213097e-001
1.000006042300452e-003	-7.498837e-002	-6.501174e-002	-5.000000e+000	-4.999327e+000	-6.729504e-004	-2.504989e+000	-2.495011e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	7.011576e-007	-7.011574e-007	-1.212961e-001	1.212961e-001	-4.988677e-002	-1.247204e-011	1.247204e-011	-7.011450e-007	4.988747e-002	7.140934e-002	4.988677e-002	-1.345901e-008	1.345901e-008	1.247110e-011	-1.247228e-011	1.212961e-001
1.000010671409260e-003	-7.498789e-002	-6.501222e-002	-5.000000e+000	-4.998765e+000	-1.234333e-003	-2.504987e+000	-2.495013e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	7.341691e-008	-7.341676e-008	-1.212688e-001	1.212688e-001	-4.987556e-002	-1.246893e-011	1.246893e-011	-7.340433e-008	4.987564e-002	7.139330e-002	4.987556e-002	-2.468666e-008	2.468666e-008	1.246786e-011	-1.246842e-011	1.212689e-001
1.000019929626877e-003	-7.498503e-002	-6.501484e-002	-5.000000e+000	-4.997643e+000	-2.356625e-003	-2.504985e+000	-2.495015e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	3.143642e-007	-3.143642e-007	-1.212144e-001	1.212144e-001	-4.985316e-002	-1.246345e-011	1.246345e-011	-3.143517e-007	4.985347e-002	7.136124e-002	4.985316e-002	-4.713250e-008	4.713250e-008	1.246154e-011	-1.246216e-011	1.212144e-001
1.000038446062110e-003	-7.498145e-002	-6.501865e-002	-5.000000e+000	-4.995400e+000	-4.599318e-003	-2.504981e+000	-2.495019e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	2.081630e-007	-2.081630e-007	-1.211055e-001	1.211055e-001	-4.980840e-002	-1.245220e-011	1.245220e-011	-2.081507e-007	4.980860e-002	7.129716e-002	4.980840e-002	-9.198637e-008	9.198637e-008	1.245150e-011	-1.245155e-011	1.211056e-001
1.000075478932577e-003	-7.497168e-002	-6.502819e-002	-5.000000e+000	-4.990923e+000	-9.077158e-003	-2.504972e+000	-2.495028e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	2.574563e-007	-2.574563e-007	-1.208881e-001	1.208881e-001	-4.971902e-002	-1.242988e-011	1.242988e-011	-2.574440e-007	4.971928e-002	7.116922e-002	4.971902e-002	-1.815432e-007	1.815432e-007	1.243077e-011	-1.243046e-011	1.208882e-001
1.000149544673510e-003	-7.495451e-002	-6.504560e-002	-5.000000e+000	-4.981997e+000	-1.800275e-002	-2.504954e+000	-2.495046e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	2.325018e-007	-2.325018e-007	-1.204547e-001	1.204547e-001	-4.954086e-002	-1.238533e-011	1.238533e-011	-2.324895e-007	4.954109e-002	7.091420e-002	4.954086e-002	-3.600549e-007	3.600549e-007	1.238561e-011	-1.238577e-011	1.204551e-001
1.000297676155377e-003	-7.491851e-002	-6.508136e-002	-5.000000e+000	-4.964265e+000	-3.573437e-002	-2.504919e+000	-2.495081e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	2.426398e-007	-2.426398e-007	-1.195938e-001	1.195938e-001	-4.918694e-002	-1.229686e-011	1.229686e-011	-2.426275e-007	4.918718e-002	7.040759e-002	4.918694e-002	-7.146874e-007	7.146874e-007	1.229590e-011	-1.229698e-011	1.195945e-001
1.000593939119110e-003	-7.484937e-002	-6.515074e-002	-5.000000e+000	-4.929274e+000	-7.072575e-002	-2.504849e+000	-2.495151e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	2.333671e-007	-2.333671e-007	-1.178949e-001	1.178949e-001	-4.848851e-002	-1.212224e-011	1.212224e-011	-2.333551e-007	4.848874e-002	6.940784e-002	4.848851e-002	-1.414515e-006	1.414515e-006	1.212065e-011	-1.212252e-011	1.178963e-001
1.001186465046577e-003	-7.471228e-002	-6.528759e-002	-5.000000e+000	-4.860982e+000	-1.390173e-001	-2.504713e+000	-2.495287e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	2.294980e-007	-2.294980e-007	-1.145793e-001	1.145793e-001	-4.712540e-002	-1.178146e-011	1.178146e-011	-2.294863e-007	4.712563e-002	6.745665e-002	4.712540e-002	-2.780347e-006	2.780347e-006	1.178039e-011	-1.178123e-011	1.145820e-001
1.002186465046577e-003	-7.449079e-002	-6.550932e-002	-5.000000e+000	-4.749667e+000	-2.503332e-001	-2.504490e+000	-2.495510e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	2.179153e-007	-2.179153e-007	-1.091747e-001	1.091747e-001	-4.490353e-002	-1.122599e-011	1.122599e-011	-2.179040e-007	4.490375e-002	6.427620e-002	4.490353e-002	-5.006664e-006	5.006664e-006	1.122576e-011	-1.122569e-011	1.091797e-001
1.003186465046577e-003	-7.427740e-002	-6.572247e-002	-5.000000e+000	-4.643080e+000	-3.569204e-001	-2.504278e+000	-2.495722e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	2.075868e-007	-2.075868e-007	-1.039997e-001	1.039997e-001	-4.277604e-002	-1.069411e-011	1.069411e-011	-2.075761e-007	4.277625e-002	6.123085e-002	4.277604e-002	-7.138408e-006	7.138408e-006	1.069413e-011	-1.069436e-011	1.040069e-001
1.004186465046577e-003	-7.407546e-002	-6.592464e-002	-5.000000e+000	-4.541545e+000	-4.584553e-001	-2.504075e+000	-2.495925e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	1.977461e-007	-1.977461e-007	-9.907007e-002	9.907007e-002	-4.074939e-002	-1.018745e-011	1.018745e-011	-1.977359e-007	4.074959e-002	5.832985e-002	4.074939e-002	-9.169107e-006	9.169107e-006	1.018732e-011	-1.018669e-011	9.907924e-002
1.005186465046577e-003	-7.388163e-002	-6.611824e-002	-5.000000e+000	-4.444822e+000	-5.551774e-001	-2.503882e+000	-2.496118e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	1.883736e-007	-1.883736e-007	-9.437407e-002	9.437407e-002	-3.881881e-002	-9.704798e-012	9.704798e-012	-1.883640e-007	3.881900e-002	5.556636e-002	3.881881e-002	-1.110355e-005	1.110355e-005	9.704746e-012	-9.703684e-012	9.438518e-002
1.006186465046576e-003	-7.369852e-002	-6.630158e-002	-5.000000e+000	-4.352685e+000	-6.473148e-001	-2.503698e+000	-2.496302e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	1.794437e-007	-1.794437e-007	-8.990066e-002	8.990066e-002	-3.697974e-002	-9.245026e-012	9.245026e-012	-1.794346e-007	3.697992e-002	5.293386e-002	3.697974e-002	-1.294630e-005	1.294630e-005	9.245287e-012	-9.245129e-012	8.991361e-002
1.007186465046576e-003	-7.352257e-002	-6.647730e-002	-5.000000e+000	-4.264915e+000	-7.350848e-001	-2.503523e+000	-2.496477e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	1.709388e-007	-1.709388e-007	-8.563930e-002	8.563930e-002	-3.522785e-002	-8.807048e-012	8.807048e-012	-1.709300e-007	3.522802e-002	5.042615e-002	3.522785e-002	-1.470169e-005	1.470169e-005	8.807300e-012	-8.807604e-012	8.565400e-002
