time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	I(C1)	I(C2)	I(C3)	I(C4)	I(R0)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(V1)	I(V2)	I(V3)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	0.000000e+000	-2.100000e-020	-2.100000e-020	-2.102100e-020	-2.102100e-020	-2.102100e-020	-2.102100e-020	-7.000000e-002	-7.000000e-002	4.200000e-025	4.200000e-025	2.100000e-038	2.100000e-038	4.200000e-025	-4.361351e-036	-4.361351e-036	0.000000e+000	0.000000e+000	-4.298951e-038	4.200000e-025	4.200000e-025	4.200000e-025	-1.261169e-043	-1.261169e-043	-4.200000e-025
1.000000000000000e-003	-7.000000e-002	-7.000000e-002	0.000000e+000	-7.919646e-017	-7.919646e-017	-1.309967e-015	-1.309967e-015	-9.565618e-012	-9.565618e-012	-7.000000e-002	-7.000000e-002	2.459170e-017	2.459170e-017	2.461404e-017	2.461404e-017	2.461541e-017	2.391077e-020	2.391077e-020	0.000000e+000	0.000000e+000	-6.515146e-033	2.461541e-017	1.583929e-021	1.583929e-021	-2.391077e-020	-2.391077e-020	-2.461562e-017
1.000000100000000e-003	-7.049406e-002	-6.950593e-002	-5.000000e-001	-4.999984e-001	-1.617713e-006	-2.504970e-001	-2.495030e-001	-2.500030e-001	-2.499970e-001	-3.199970e-001	-3.200030e-001	-1.984031e-005	1.984031e-005	-1.213284e-002	1.213284e-002	-4.990027e-003	-1.237587e-012	1.237587e-012	1.984031e-005	4.970187e-003	7.142811e-003	4.990027e-003	-3.235426e-011	3.235426e-011	1.237607e-012	-1.237654e-012	1.213284e-002
1.000000300000000e-003	-7.149100e-002	-6.850898e-002	-1.500000e+000	-1.499993e+000	-6.990138e-006	-7.514941e-001	-7.485059e-001	-7.500030e-001	-7.499970e-001	-8.199970e-001	-8.200030e-001	-2.994092e-005	2.994092e-005	-3.639835e-002	3.639835e-002	-1.496998e-002	-3.727525e-012	3.727525e-012	2.994092e-005	1.494004e-002	2.142837e-002	1.496998e-002	-1.398028e-010	1.398028e-010	3.727367e-012	-3.727520e-012	3.639835e-002
1.000000906660728e-003	-7.451820e-002	-6.548166e-002	-4.533304e+000	-4.533252e+000	-5.133170e-005	-2.271173e+000	-2.262131e+000	-2.266655e+000	-2.266649e+000	-2.336649e+000	-2.336655e+000	-2.993328e-005	2.993328e-005	-1.100016e-001	1.100016e-001	-4.524159e-002	-1.129543e-011	1.129543e-011	2.993329e-005	4.521165e-002	6.476001e-002	4.524159e-002	-1.026634e-009	1.026634e-009	1.129443e-011	-1.129593e-011	1.100016e-001
1.000001000000000e-003	-7.498384e-002	-6.501627e-002	-5.000000e+000	-4.999939e+000	-6.127005e-005	-2.504987e+000	-2.495013e+000	-2.500003e+000	-2.499997e+000	-2.569997e+000	-2.570003e+000	-3.024261e-005	3.024261e-005	-1.213259e-001	1.213259e-001	-4.989904e-002	-1.245964e-011	1.245964e-011	3.024263e-005	4.986880e-002	7.142682e-002	4.989904e-002	-1.225401e-009	1.225401e-009	1.245970e-011	-1.246148e-011	1.213259e-001
1.000001060585470e-003	-7.498884e-002	-6.501126e-002	-5.000000e+000	-4.999931e+000	-6.862060e-005	-2.504989e+000	-2.495011e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	-1.027931e-005	1.027931e-005	-1.213255e-001	1.213255e-001	-4.989885e-002	-1.246957e-011	1.246957e-011	1.027932e-005	4.988857e-002	7.142661e-002	4.989885e-002	-1.372412e-009	1.372412e-009	1.246932e-011	-1.247157e-011	1.213255e-001
1.000001181756411e-003	-7.499003e-002	-6.501007e-002	-5.000000e+000	-4.999917e+000	-8.332165e-005	-2.504990e+000	-2.495010e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	-4.195954e-009	4.195954e-009	-1.213247e-001	1.213247e-001	-4.989854e-002	-1.247463e-011	1.247463e-011	4.208421e-009	4.989853e-002	7.142619e-002	4.989854e-002	-1.666433e-009	1.666433e-009	1.247408e-011	-1.247602e-011	1.213247e-001
1.000001419835188e-003	-7.498956e-002	-6.501055e-002	-5.000000e+000	-4.999888e+000	-1.122062e-004	-2.504990e+000	-2.495010e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	4.278926e-009	-4.278926e-009	-1.213233e-001	1.213233e-001	-4.989796e-002	-1.247449e-011	1.247449e-011	-4.266468e-009	4.989797e-002	7.142536e-002	4.989796e-002	-2.244124e-009	2.244124e-009	1.247470e-011	-1.247524e-011	1.213233e-001
1.000001895992743e-003	-7.498980e-002	-6.501031e-002	-5.000000e+000	-4.999830e+000	-1.699740e-004	-2.504990e+000	-2.495010e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	6.464992e-011	-6.464992e-011	-1.213205e-001	1.213205e-001	-4.989681e-002	-1.247420e-011	1.247420e-011	-5.217278e-011	4.989681e-002	7.142372e-002	4.989681e-002	-3.399481e-009	3.399481e-009	1.247513e-011	-1.247510e-011	1.213205e-001
1.000002848307852e-003	-7.498932e-002	-6.501079e-002	-5.000000e+000	-4.999714e+000	-2.855047e-004	-2.504989e+000	-2.495011e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	2.140922e-009	-2.140922e-009	-1.213149e-001	1.213149e-001	-4.989450e-002	-1.247363e-011	1.247363e-011	-2.128445e-009	4.989450e-002	7.142042e-002	4.989450e-002	-5.710095e-009	5.710095e-009	1.247381e-011	-1.247431e-011	1.213149e-001
1.000019989979815e-003	-7.498537e-002	-6.501473e-002	-5.000000e+000	-4.997636e+000	-2.363911e-003	-2.504985e+000	-2.495015e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	1.713909e-009	-1.713909e-009	-1.212140e-001	1.212140e-001	-4.985301e-002	-1.246326e-011	1.246326e-011	-1.701447e-009	4.985302e-002	7.136103e-002	4.985301e-002	-4.727822e-008	4.727822e-008	1.246306e-011	-1.246347e-011	1.212140e-001
