time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	V(nc_01)	V(nc_02)	V(nc_03)	V(nc_04)	V(nc_05)	V(nc_06)	I(C1)	I(C2)	I(C3)	I(C4)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(V1)	I(V2)	I(V3)	I(V4)	I(V5)	I(V6)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	0.000000e+000	-2.100000e-020	-2.100000e-020	-2.102100e-020	-2.102100e-020	-2.102098e-020	-2.102098e-020	-7.000000e-002	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	4.200000e-025	4.200000e-025	1.050000e-038	1.050000e-038	-4.168963e-035	-4.168963e-035	0.000000e+000	0.000000e+000	4.200000e-025	4.200000e-025	4.200000e-025	4.200000e-025	-1.261169e-043	-1.261169e-043	-4.200000e-025	0.000000e+000	0.000000e+000	0.000000e+000
1.006310719994779e-004	-7.000001e-002	-7.000001e-002	0.000000e+000	-9.103942e-014	-9.103942e-014	-1.141741e-013	-1.141741e-013	-7.445850e-009	-7.445850e-009	-7.000001e-002	-7.000001e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	4.440790e-016	4.440790e-016	4.608731e-016	4.608731e-016	1.861435e-017	1.861435e-017	0.000000e+000	3.155444e-031	4.626943e-016	4.626943e-016	1.820788e-018	1.820788e-018	-1.370089e-017	-1.370089e-017	-4.626939e-016	0.000000e+000	0.000000e+000	0.000000e+000
2.030310719994804e-004	-7.000002e-002	-7.000002e-002	0.000000e+000	-1.871708e-013	-1.871708e-013	-2.112528e-013	-2.112528e-013	-1.502491e-008	-1.502491e-008	-7.000002e-002	-7.000002e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	4.440795e-016	4.440795e-016	4.778969e-016	4.778969e-016	3.756176e-017	3.756176e-017	0.000000e+000	-6.247778e-029	4.816411e-016	4.816411e-016	3.743416e-018	3.743416e-018	-2.535034e-017	-2.535034e-017	-4.816403e-016	0.000000e+000	0.000000e+000	0.000000e+000
3.054310719994828e-004	-7.000002e-002	-7.000002e-002	0.000000e+000	-2.867817e-013	-2.867817e-013	-3.118112e-013	-3.118112e-013	-2.260398e-008	-2.260398e-008	-7.000002e-002	-7.000002e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	4.440803e-016	4.440803e-016	4.948530e-016	4.948530e-016	5.650917e-017	5.650917e-017	0.000000e+000	0.000000e+000	5.005886e-016	5.005886e-016	5.735634e-018	5.735634e-018	-3.741734e-017	-3.741734e-017	-5.005886e-016	0.000000e+000	0.000000e+000	0.000000e+000
4.078310719994853e-004	-7.000003e-002	-7.000003e-002	0.000000e+000	-3.898579e-013	-3.898579e-013	-4.158347e-013	-4.158347e-013	-3.018305e-008	-3.018305e-008	-7.000003e-002	-7.000003e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	4.440799e-016	4.440799e-016	5.117389e-016	5.117389e-016	7.545659e-017	7.545659e-017	0.000000e+000	-8.330371e-029	5.195352e-016	5.195352e-016	7.797159e-018	7.797159e-018	1.721444e-016	1.721444e-016	-5.195361e-016	0.000000e+000	0.000000e+000	0.000000e+000
5.102310719994759e-004	-7.000004e-002	-7.000004e-002	0.000000e+000	-4.963853e-013	-4.963853e-013	-5.233096e-013	-5.233096e-013	-3.776212e-008	-3.776212e-008	-7.000004e-002	-7.000004e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	4.440803e-016	4.440803e-016	5.285572e-016	5.285572e-016	9.440400e-017	9.440400e-017	0.000000e+000	0.000000e+000	5.384849e-016	5.384849e-016	9.927707e-018	9.927707e-018	-6.279715e-017	-6.279715e-017	-5.384849e-016	0.000000e+000	0.000000e+000	0.000000e+000
6.126310719994229e-004	-7.000005e-002	-7.000005e-002	0.000000e+000	-6.063498e-013	-6.063498e-013	-6.342214e-013	-6.342214e-013	-4.534119e-008	-4.534119e-008	-7.000005e-002	-7.000005e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	4.440790e-016	4.440790e-016	5.453049e-016	5.453049e-016	1.133514e-016	1.133514e-016	0.000000e+000	1.262177e-030	5.574314e-016	5.574314e-016	1.212700e-017	1.212700e-017	1.459380e-016	1.459380e-016	-5.574319e-016	0.000000e+000	0.000000e+000	0.000000e+000
7.150310719993699e-004	-7.000005e-002	-7.000005e-002	0.000000e+000	-7.197372e-013	-7.197372e-013	-7.485561e-013	-7.485561e-013	-5.292027e-008	-5.292027e-008	-7.000005e-002	-7.000005e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	4.440799e-016	4.440799e-016	5.619839e-016	5.619839e-016	1.322988e-016	1.322988e-016	0.000000e+000	-2.524355e-028	5.763782e-016	5.763782e-016	1.439474e-017	1.439474e-017	1.322179e-016	1.322179e-016	-5.763786e-016	0.000000e+000	0.000000e+000	0.000000e+000
8.174310719993169e-004	-7.000006e-002	-7.000006e-002	0.000000e+000	-8.365336e-013	-8.365336e-013	-8.663000e-013	-8.663000e-013	-6.049935e-008	-6.049935e-008	-7.000006e-002	-7.000006e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	4.440799e-016	4.440799e-016	5.785953e-016	5.785953e-016	1.512462e-016	1.512462e-016	0.000000e+000	2.524355e-030	5.953268e-016	5.953268e-016	1.673067e-017	1.673067e-017	3.401332e-016	3.401332e-016	-5.953260e-016	0.000000e+000	0.000000e+000	0.000000e+000
9.198310719992638e-004	-7.000007e-002	-7.000007e-002	0.000000e+000	-9.567252e-013	-9.567252e-013	-9.874388e-013	-9.874388e-013	-6.807844e-008	-6.807844e-008	-7.000007e-002	-7.000007e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	4.440778e-016	4.440778e-016	5.951378e-016	5.951378e-016	1.701936e-016	1.701936e-016	0.000000e+000	0.000000e+000	6.142723e-016	6.142723e-016	1.913450e-017	1.913450e-017	-1.184927e-016	-1.184927e-016	-6.142723e-016	0.000000e+000	0.000000e+000	0.000000e+000
