time,"V(N012,N005)","V(N013,N007)"
0.00E+00,-0.07,-0.07
1.01E-03,-0.07000009,-0.07000007
2.03E-03,-0.07000009,-0.07000014
3.05E-03,-0.07000009,-0.07000018
4.08E-03,-0.07000009,-0.07000018
5.00E-03,-0.07000009,-0.07000018
5.00E-03,-0.07000181,-0.07000049
5.00E-03,-0.07000912,-0.07000186
5.00E-03,-0.07009101,-0.07001711
5.00E-03,-0.07061512,-0.07010984
5.00E-03,-0.07113963,-0.07019558
5.00E-03,-0.07204207,-0.07035153
5.00E-03,-0.07294078,-0.07051906
5.00E-03,-0.07383537,-0.07068581
5.01E-03,-0.07472585,-0.07085181
5.01E-03,-0.07561222,-0.07101703
5.01E-03,-0.07649453,-0.0711815
5.01E-03,-0.07737279,-0.07134521
5.01E-03,-0.07824701,-0.07150817
5.01E-03,-0.07911724,-0.07167038
5.01E-03,-0.07998341,-0.07183185
5.01E-03,-0.08084565,-0.07199258
5.01E-03,-0.08170393,-0.07215255
5.01E-03,-0.08255824,-0.0723118
5.02E-03,-0.08340865,-0.07247034
5.02E-03,-0.08425513,-0.07262813
5.02E-03,-0.08509773,-0.0727852
5.02E-03,-0.08677137,-0.07309715
5.02E-03,-0.08842963,-0.07340628
5.02E-03,-0.09007269,-0.07371256
5.03E-03,-0.09170073,-0.07401603
5.03E-03,-0.0941149,-0.07446603
5.03E-03,-0.09649599,-0.07490987
5.03E-03,-0.09884441,-0.0753476
5.04E-03,-0.1011606,-0.07577941
5.04E-03,-0.1032518,-0.07619354
5.04E-03,-0.1032366,-0.0761908
5.04E-03,-0.103206,-0.07618541
5.05E-03,-0.1016835,-0.07590619
5.06E-03,-0.09984457,-0.0755634
5.08E-03,-0.09785628,-0.07519275
5.08E-03,-0.09722376,-0.07507485
5.10E-03,-0.09522593,-0.07469875
5.12E-03,-0.09286785,-0.07426286
5.15E-03,-0.09039414,-0.07380176
5.18E-03,-0.08786261,-0.07332981
5.21E-03,-0.08557904,-0.07290411
