time,"V(N012,N005)","V(N013,N007)"
0.00E+00,-0.07,-0.07
1.01E-03,-0.07000007,-0.07000009
2.03E-03,-0.07000014,-0.07000009
3.05E-03,-0.07000018,-0.07000009
4.08E-03,-0.07000018,-0.07000009
5.00E-03,-0.07000018,-0.07000009
5.00E-03,-0.07001712,-0.07000943
5.00E-03,-0.07019319,-0.0701045
5.00E-03,-0.07036588,-0.07019779
5.00E-03,-0.07053488,-0.07029098
5.00E-03,-0.07070374,-0.07038407
5.01E-03,-0.0708724,-0.07047707
5.01E-03,-0.07104084,-0.07056995
5.01E-03,-0.0712091,-0.07066272
5.01E-03,-0.07137719,-0.07075539
5.01E-03,-0.07154512,-0.07084796
5.01E-03,-0.07171279,-0.07094043
5.01E-03,-0.07188022,-0.07103279
5.01E-03,-0.07204759,-0.07112506
5.01E-03,-0.07238173,-0.0713093
5.02E-03,-0.07271504,-0.07149309
5.02E-03,-0.07304764,-0.07167649
5.02E-03,-0.07337952,-0.07185948
5.02E-03,-0.07371056,-0.07204193
5.02E-03,-0.07404101,-0.07222408
5.03E-03,-0.07453513,-0.07249659
5.03E-03,-0.07502759,-0.07276821
5.03E-03,-0.07551837,-0.07303882
5.04E-03,-0.0760076,-0.07330859
5.04E-03,-0.07663083,-0.07365584
5.06E-03,-0.07645178,-0.07355714
5.09E-03,-0.07630157,-0.07347453
5.10E-03,-0.07619977,-0.07341826
5.14E-03,-0.07590628,-0.07325649
5.20E-03,-0.07556725,-0.07306957
5.26E-03,-0.07518482,-0.07285869
5.34E-03,-0.07477129,-0.07263088
5.42E-03,-0.07433498,-0.0723902
5.52E-03,-0.07388067,-0.07213962
5.64E-03,-0.07341695,-0.07188392
5.76E-03,-0.07299924,-0.07165372
5.88E-03,-0.07263625,-0.07145345
6.00E-03,-0.07232094,-0.07127964
6.11E-03,-0.07208526,-0.07114983
6.23E-03,-0.07184231,-0.07101572
6.35E-03,-0.07163119,-0.07089925
6.47E-03,-0.07144773,-0.07079816
6.59E-03,-0.07128823,-0.07071018
6.71E-03,-0.07114971,-0.07063377
6.83E-03,-0.07102942,-0.07056749
6.95E-03,-0.070925,-0.07050979
7.07E-03,-0.07083404,-0.07045972
7.13E-03,-0.07079625,-0.07043874
7.25E-03,-0.07072163,-0.07039762
7.37E-03,-0.07065701,-0.07036197
7.50E-03,-0.07060087,-0.0703311
7.62E-03,-0.07055211,-0.07030427
7.74E-03,-0.07050991,-0.07028079
7.86E-03,-0.07047319,-0.07026064
7.98E-03,-0.07044148,-0.07024312
8.11E-03,-0.07041383,-0.07022786
8.15E-03,-0.07040393,-0.07022238
8.28E-03,-0.07038105,-0.07020986
8.40E-03,-0.07036126,-0.07019889
8.52E-03,-0.07034409,-0.07018948
8.65E-03,-0.07032931,-0.07018113
8.77E-03,-0.0703162,-0.07017398
8.89E-03,-0.07030499,-0.07016778
9.02E-03,-0.07029521,-0.07016242
9.14E-03,-0.07028675,-0.07015777
9.18E-03,-0.07028449,-0.07015657
9.30E-03,-0.07027745,-0.07015264
9.43E-03,-0.07027125,-0.07014918
9.56E-03,-0.07026589,-0.07014632
9.69E-03,-0.07026124,-0.0701437
9.81E-03,-0.07025731,-0.07014155
9.95E-03,-0.07025373,-0.07013953
1.01E-02,-0.07025063,-0.07013774
1.02E-02,-0.07024825,-0.07013643
1.03E-02,-0.07024586,-0.07013512
1.05E-02,-0.07024384,-0.07013404
1.06E-02,-0.07024205,-0.07013309
1.08E-02,-0.07024062,-0.07013226
1.09E-02,-0.07023919,-0.07013154
1.11E-02,-0.07023811,-0.07013094
1.12E-02,-0.07023716,-0.07013035
