time,"V(N012,N005)","V(N013,N007)"
Step Information: X=500  (Run: 1/10),,
0.000000000000000e+000,-0.07,-0.07
1.006310719994777e-003,-0.07000009,-0.07000007
2.030310719994708e-003,-0.07000009,-0.07000014
3.054310719994844e-003,-0.07000009,-0.07000018
4.078310719994979e-003,-0.07000009,-0.07000018
5.000000000000000e-003,-0.07000009,-0.07000018
5.000001942590955e-003,-0.07000181,-0.07000049
5.000010011955098e-003,-0.07000912,-0.07000186
5.000100000000000e-003,-0.07009101,-0.07001711
5.000677044745715e-003,-0.07061512,-0.07010984
5.001256352412001e-003,-0.07113963,-0.07019558
5.002256352412002e-003,-0.07204207,-0.07035153
5.003256352412002e-003,-0.07294078,-0.07051906
5.004256352412002e-003,-0.07383537,-0.07068581
5.005256352412002e-003,-0.07472585,-0.07085181
5.006256352412002e-003,-0.07561222,-0.07101703
5.007256352412002e-003,-0.07649453,-0.0711815
5.008256352412002e-003,-0.07737279,-0.07134521
5.009256352412003e-003,-0.07824701,-0.07150817
5.010256352412003e-003,-0.07911724,-0.07167038
5.011256352412003e-003,-0.07998341,-0.07183185
5.012256352412003e-003,-0.08084565,-0.07199258
5.013256352412003e-003,-0.08170393,-0.07215255
5.014256352412003e-003,-0.08255824,-0.0723118
5.015256352412003e-003,-0.08340865,-0.07247034
5.016256352412003e-003,-0.08425513,-0.07262813
5.017256352412004e-003,-0.08509773,-0.0727852
5.019256352412004e-003,-0.08677137,-0.07309715
5.021256352412004e-003,-0.08842963,-0.07340628
5.023256352412004e-003,-0.09007269,-0.07371256
5.025256352412005e-003,-0.09170073,-0.07401603
5.028256352412005e-003,-0.0941149,-0.07446603
5.031256352412005e-003,-0.09649599,-0.07490987
5.034256352412006e-003,-0.09884441,-0.0753476
5.037256352412006e-003,-0.10116060000000002,-0.07577941
5.040000000000000e-003,-0.1032518,-0.07619354
5.040100000000001e-003,-0.1032366,-0.0761908
5.040300000000000e-003,-0.10320599999999999,-0.07618541
5.050500000000001e-003,-0.10168350000000001,-0.07590619
5.063500000000003e-003,-0.09984457,-0.0755634
5.078500000000005e-003,-0.09785628,-0.07519275
5.083500000000006e-003,-0.09722376,-0.07507485
5.100100000000001e-003,-0.09522593,-0.07469875
5.121500000000003e-003,-0.09286785,-0.07426286
5.146500000000006e-003,-0.09039414,-0.07380176
5.175500000000010e-003,-0.08786261,-0.07332981
5.205500000000014e-003,-0.08557904,-0.07290411
5.235500000000018e-003,-0.08359241,-0.07253385
5.265500000000022e-003,-0.08186448,-0.07221168
5.295500000000026e-003,-0.08036137,-0.0719316
5.325500000000030e-003,-0.07905388,-0.07168776
5.355500000000034e-003,-0.0779165,-0.07147586
5.385500000000038e-003,-0.07692719,-0.07129133
5.415500000000042e-003,-0.07606649,-0.07113087
5.445500000000046e-003,-0.07531786,-0.07099128
5.475500000000050e-003,-0.07466674,-0.07086992
5.505500000000054e-003,-0.07410014,-0.0707643
5.535500000000058e-003,-0.07360733,-0.07067239
5.565500000000062e-003,-0.07317865,-0.07059252
5.595500000000066e-003,-0.07280576,-0.0705229
5.625500000000070e-003,-0.07248151,-0.07046258
5.655500000000074e-003,-0.07219934,-0.07040989
5.685500000000078e-003,-0.07195389,-0.07036412
5.715500000000082e-003,-0.07174039,-0.0703243
5.745500000000086e-003,-0.07155466,-0.07028973
5.775500000000090e-003,-0.07139313,-0.07025957
5.805500000000094e-003,-0.07125258,-0.07023335
5.835500000000098e-003,-0.07113028,-0.07021058
5.865500000000102e-003,-0.07102394,-0.07019079
5.895500000000106e-003,-0.07093143,-0.0701735
5.925500000000110e-003,-0.07085097,-0.07015848
5.955500000000114e-003,-0.07078099,-0.07014549
5.985500000000118e-003,-0.07072008,-0.07013404
6.015500000000121e-003,-0.07066715,-0.07012415
6.045500000000125e-003,-0.07062101,-0.07011557
6.075500000000129e-003,-0.07058096,-0.07010806
6.104500000000133e-003,-0.07054722,-0.07010186
6.134500000000137e-003,-0.07051671,-0.07009602
6.164500000000141e-003,-0.07049024,-0.07009113
6.194500000000145e-003,-0.07046711,-0.07008684
6.224500000000149e-003,-0.07044697,-0.07008302
6.255500000000153e-003,-0.07042909,-0.07007968
6.286500000000157e-003,-0.07041347,-0.07007682
6.317500000000162e-003,-0.0704,-0.07007432
6.348500000000166e-003,-0.07038832,-0.07007205
6.379500000000170e-003,-0.07037818,-0.07007027
6.410500000000174e-003,-0.07036948,-0.0700686
6.441500000000178e-003,-0.07036185,-0.07006705
6.473500000000182e-003,-0.07035518,-0.07006586
6.505500000000187e-003,-0.07034934,-0.07006478
6.537500000000191e-003,-0.07034433,-0.07006383
6.569500000000195e-003,-0.07033992,-0.07006311
6.602500000000199e-003,-0.07033598,-0.07006228
6.635500000000204e-003,-0.07033277,-0.07006168
6.669500000000208e-003,-0.07032979,-0.07006109
6.703500000000213e-003,-0.07032728,-0.07006073
6.738500000000217e-003,-0.07032514,-0.07006025
6.774500000000222e-003,-0.07032323,-0.0700599
6.811500000000227e-003,-0.07032156,-0.07005954
6.849500000000232e-003,-0.07032025,-0.0700593
6.889500000000237e-003,-0.07031894,-0.07005894
6.931500000000243e-003,-0.07031786,-0.07005882
6.975500000000249e-003,-0.07031691,-0.07005858
7.021500000000255e-003,-0.0703162,-0.07005847
7.071500000000262e-003,-0.07031548,-0.07005835
7.125500000000269e-003,-0.07031476,-0.07005823
7.128500000000269e-003,-0.07031476,-0.07005811
7.187500000000277e-003,-0.07031429,-0.07005811
7.253500000000286e-003,-0.07031381,-0.07005811
7.329500000000296e-003,-0.07031357,-0.07005799
7.419500000000308e-003,-0.07031322,-0.07005787
7.530500000000323e-003,-0.0703131,-0.07005787
7.677500000000342e-003,-0.07031286,-0.07005787
7.898500000000296e-003,-0.07031262,-0.07005775
8.152500000000109e-003,-0.07031262,-0.07005775
9.176499999999357e-003,-0.0703125,-0.07005751
1.020049999999861e-002,-0.07031238,-0.07005751
1.122449999999785e-002,-0.07031238,-0.07005751
1.224849999999710e-002,-0.07031238,-0.07005739
1.327249999999635e-002,-0.07031238,-0.07005739
1.429649999999560e-002,-0.07031226,-0.07005739
1.532049999999484e-002,-0.07031226,-0.07005739
1.634449999999534e-002,-0.07031226,-0.07005739
1.736849999999636e-002,-0.07031226,-0.07005739
1.839249999999739e-002,-0.07031226,-0.07005739
1.941649999999841e-002,-0.07031226,-0.07005739
2.044049999999944e-002,-0.07031226,-0.07005739
2.146450000000046e-002,-0.07031226,-0.07005739
2.248850000000148e-002,-0.07031226,-0.07005739
2.351250000000251e-002,-0.07031226,-0.07005739
2.453650000000353e-002,-0.07031226,-0.07005739
2.500000000000000e-002,-0.07031226,-0.07005739
2.500002000000000e-002,-0.0702759,-0.0700506
2.500006000000000e-002,-0.0702033,-0.07003725
2.500020000000000e-002,-0.06994855,-0.06998956
2.500120799999999e-002,-0.0681206,-0.0696789
2.500420800000000e-002,-0.06272805,-0.0687021
2.500920800000000e-002,-0.0539028,-0.06705713
2.501020800000000e-002,-0.05216199,-0.06673253
2.501320800000001e-002,-0.04698744,-0.065768
2.502020800000001e-002,-0.03518783,-0.06356847
2.502920800000002e-002,-0.02056497,-0.06084263
2.503720800000003e-002,-0.008065581,-0.05851269
2.504000000000000e-002,-0.0038086179999999997,-0.05767059
2.504003760281625e-002,-0.003820062,-0.05767268
2.504011280844875e-002,-0.003843069,-0.05767685
2.505616568730371e-002,-0.008575678,-0.0585492
2.507116568730373e-002,-0.01269007,-0.05931619
2.508416568730374e-002,-0.01603115,-0.059939
2.509516568730375e-002,-0.01870489,-0.06043737
2.510416568730376e-002,-0.02079296,-0.06082663
2.511216568730377e-002,-0.02257717,-0.06115921
2.511816568730377e-002,-0.02387238,-0.06140067
2.512216568730378e-002,-0.02471614,-0.06155794
2.512316568730378e-002,-0.02492464,-0.0615968
2.512516568730378e-002,-0.02533865,-0.06167399
2.512616568730378e-002,-0.02554429,-0.06171231
2.512816568730378e-002,-0.02595258,-0.06178843
2.513216568730379e-002,-0.02675796,-0.06193856
2.513616568730379e-002,-0.02754843,-0.06208593
2.513716568730379e-002,-0.02774382,-0.06212234
2.513916568730380e-002,-0.02813184,-0.06219466
2.514316568730380e-002,-0.02889705,-0.06233732
2.514916568730381e-002,-0.03001857,-0.06254638
2.515716568730381e-002,-0.03146613,-0.06281622
2.516316568730382e-002,-0.03251708,-0.06301209
2.516716568730382e-002,-0.03320158,-0.06313971
2.516916568730383e-002,-0.03353918,-0.06320262
2.517116568730383e-002,-0.03387344,-0.06326495
2.517516568730383e-002,-0.0345329,-0.06338789
2.518116568730384e-002,-0.03549957,-0.06356806
2.518916568730385e-002,-0.0367471,-0.0638006
2.520000000000000e-002,-0.03836453,-0.06410682
2.521250000000001e-002,-0.04013181,-0.06443158
2.522750000000002e-002,-0.04212165,-0.0648025
2.524550000000004e-002,-0.04433334,-0.06521481
2.526650000000006e-002,-0.04669046,-0.06565422
2.529050000000009e-002,-0.04911721,-0.06610662
2.531850000000012e-002,-0.05162668,-0.06657439
2.534850000000015e-002,-0.05397654,-0.06701243
2.537850000000018e-002,-0.05602074,-0.06739354
2.540850000000021e-002,-0.05779898,-0.067725
2.543850000000024e-002,-0.05934584,-0.06801337
2.546850000000027e-002,-0.06069136,-0.06826419
2.549850000000030e-002,-0.06186163,-0.06848234
2.552850000000033e-002,-0.06288004,-0.06867212
2.554450000000034e-002,-0.06336761,-0.06876308
2.557450000000037e-002,-0.06418991,-0.06891644
2.560450000000040e-002,-0.06490505,-0.06904972
2.563450000000043e-002,-0.0655272,-0.06916583
2.566450000000046e-002,-0.06606841,-0.06926656
2.569450000000049e-002,-0.06653917,-0.06935441
2.572450000000052e-002,-0.06694865,-0.06943083
2.575450000000055e-002,-0.06730497,-0.06949723
2.578450000000058e-002,-0.06761479,-0.06955504
2.581450000000061e-002,-0.06788445,-0.06960523
2.584450000000064e-002,-0.06811893,-0.06964898
2.587450000000067e-002,-0.0683229,-0.06968701
2.590450000000070e-002,-0.06850028,-0.06972015
2.593450000000073e-002,-0.06865478,-0.069749
2.596450000000076e-002,-0.06878901,-0.06977403
2.599450000000079e-002,-0.06890571,-0.06979573
2.602450000000082e-002,-0.06900728,-0.0698148
2.605450000000085e-002,-0.06909573,-0.06983113
2.608450000000088e-002,-0.06917262,-0.06984556
2.611450000000091e-002,-0.0692395,-0.06985807
2.614450000000094e-002,-0.06929767,-0.06986892
2.617450000000097e-002,-0.06934834,-0.06987846
2.620450000000100e-002,-0.06939232,-0.06988668
2.623450000000103e-002,-0.06943059,-0.06989372
2.626450000000106e-002,-0.06946397,-0.06990004
2.629450000000109e-002,-0.06949294,-0.0699054
2.632450000000112e-002,-0.06951821,-0.06991017
2.635450000000115e-002,-0.06954014,-0.06991434
2.638450000000118e-002,-0.06955922,-0.06991792
2.641550000000121e-002,-0.06957626,-0.06992102
2.644650000000124e-002,-0.06959116,-0.06992388
2.647750000000127e-002,-0.06960404,-0.06992626
2.650850000000131e-002,-0.06961513,-0.06992829
2.653950000000134e-002,-0.06962478,-0.0699302
2.656850000000137e-002,-0.06963253,-0.06993163
2.659950000000140e-002,-0.0696398,-0.06993306
2.663150000000143e-002,-0.06964636,-0.06993425
2.666350000000146e-002,-0.06965208,-0.0699352
2.669550000000149e-002,-0.06965685,-0.06993628
2.672850000000153e-002,-0.06966114,-0.06993711
2.676150000000156e-002,-0.06966484,-0.06993771
2.679450000000159e-002,-0.06966794,-0.06993842
2.682850000000163e-002,-0.06967068,-0.0699389
2.686350000000166e-002,-0.0696733,-0.06993937
2.689850000000170e-002,-0.06967533,-0.06993985
2.693450000000173e-002,-0.06967711,-0.06994009
2.697150000000177e-002,-0.06967866,-0.06994045
2.701050000000181e-002,-0.06968009,-0.06994069
2.705050000000185e-002,-0.06968129,-0.06994092
2.709250000000189e-002,-0.06968236,-0.06994116
2.713650000000193e-002,-0.06968331,-0.06994128
2.718350000000198e-002,-0.06968403,-0.0699414
2.723450000000203e-002,-0.06968462,-0.06994164
2.728950000000209e-002,-0.06968522,-0.06994176
2.735050000000215e-002,-0.06968582,-0.06994188
2.741850000000222e-002,-0.06968617,-0.069942
2.749750000000229e-002,-0.06968653,-0.06994212
2.759150000000239e-002,-0.06968677,-0.06994212
2.759250000000239e-002,-0.06968677,-0.06994224
2.771050000000251e-002,-0.06968713,-0.06994224
2.787050000000267e-002,-0.06968725,-0.06994236
2.812250000000292e-002,-0.06968749,-0.06994247
2.861650000000341e-002,-0.0696876,-0.06994259
2.964050000000444e-002,-0.06968784,-0.06994283
3.066450000000546e-002,-0.06968796,-0.06994295
3.168850000000648e-002,-0.06968808,-0.06994307
3.271250000000751e-002,-0.06968808,-0.06994307
3.373650000000853e-002,-0.0696882,-0.06994307
3.476050000000956e-002,-0.0696882,-0.06994319
3.578450000001058e-002,-0.0696882,-0.06994319
3.680850000001160e-002,-0.0696882,-0.06994319
3.783250000001263e-002,-0.0696882,-0.06994319
3.885650000001365e-002,-0.06968832,-0.06994319
3.988050000001468e-002,-0.06968832,-0.06994319
4.090450000001570e-002,-0.06968832,-0.06994319
4.192850000001672e-002,-0.06968832,-0.06994319
4.295250000001775e-002,-0.06968832,-0.06994319
4.397650000001877e-002,-0.06968832,-0.06994319
4.500000000000000e-002,-0.06968832,-0.06994319
4.500001000000000e-002,-0.06969726,-0.06994486
4.500003000000000e-002,-0.0697155,-0.06994832
4.500010000000000e-002,-0.06977916,-0.06996012
4.500034800000001e-002,-0.0700047,-0.07000124
4.500111600000003e-002,-0.07070076,-0.070117
4.500411600000003e-002,-0.07339823,-0.07060564
4.500911600000004e-002,-0.07781273,-0.07142842
4.501611600000004e-002,-0.08382481,-0.07254899
4.502011600000005e-002,-0.08717424,-0.0731734
4.502211600000005e-002,-0.08882591,-0.07348132
4.502811600000006e-002,-0.09369087,-0.07438827
4.503811600000007e-002,-0.1015065,-0.07584506
4.504000000000000e-002,-0.1029401,-0.07613659
4.504010000000000e-002,-0.10292480000000001,-0.07613385
4.504030000000000e-002,-0.1028943,-0.07612848
4.506950000000003e-002,-0.09872083,-0.07535511
4.509850000000006e-002,-0.09510011,-0.07468015
4.510000000000000e-002,-0.09492564,-0.07464385
4.512850000000003e-002,-0.09183417,-0.07407135
4.515650000000006e-002,-0.08917053,-0.07357481
4.518450000000009e-002,-0.08683187,-0.07313886
4.521250000000011e-002,-0.08477852,-0.07275611
4.523950000000014e-002,-0.08303611,-0.07243133
4.526650000000017e-002,-0.08149915,-0.07214478
4.529250000000019e-002,-0.08019066,-0.07190087
4.531850000000022e-002,-0.07903108,-0.07168469
4.534350000000025e-002,-0.07804073,-0.07150009
4.536850000000027e-002,-0.077159,-0.07133572
4.539250000000029e-002,-0.07640366,-0.07119489
4.541550000000032e-002,-0.07575469,-0.07107392
4.543750000000034e-002,-0.0751956,-0.07096969
4.545850000000036e-002,-0.07471267,-0.07087968
4.547850000000038e-002,-0.07429454,-0.07080172
4.549750000000040e-002,-0.07393175,-0.07073409
4.551550000000042e-002,-0.07361636,-0.07067529
4.553250000000043e-002,-0.07334178,-0.07062409
4.554750000000045e-002,-0.07311686,-0.07058217
4.556150000000046e-002,-0.07292064,-0.07054558
4.557350000000048e-002,-0.0727623,-0.07051607
4.558350000000049e-002,-0.07263694,-0.07049269
4.559150000000049e-002,-0.07254076,-0.07047477
4.559850000000050e-002,-0.07245948,-0.07045961
4.560750000000051e-002,-0.0723588,-0.07044084
4.561850000000052e-002,-0.07224132,-0.07041894
4.563250000000053e-002,-0.07210023,-0.07039263
4.564850000000055e-002,-0.07194983,-0.07036459
4.566750000000057e-002,-0.07178517,-0.07033389
4.568950000000059e-002,-0.07161181,-0.07030156
4.571550000000062e-002,-0.07142852,-0.07026739
4.574550000000065e-002,-0.07124279,-0.07023275
4.577550000000068e-002,-0.07108123,-0.07020263
4.580550000000071e-002,-0.07094069,-0.07017642
4.583550000000074e-002,-0.07081844,-0.07015362
4.586550000000077e-002,-0.0707121,-0.07013379
4.589550000000080e-002,-0.07061958,-0.07011653
4.592550000000083e-002,-0.07053911,-0.07010152
4.595550000000086e-002,-0.07046911,-0.07008846
4.598550000000089e-002,-0.07040821,-0.0700771
4.600850000000091e-002,-0.07036695,-0.0700694
4.603850000000094e-002,-0.07031934,-0.07006052
4.606850000000097e-002,-0.07027793,-0.07005279
4.609850000000100e-002,-0.07024191,-0.07004606
4.612850000000103e-002,-0.07021057,-0.07004022
4.615850000000106e-002,-0.07018331,-0.07003513
4.618850000000109e-002,-0.0701596,-0.07003069
4.621850000000112e-002,-0.07013896,-0.07002684
4.624950000000115e-002,-0.07012046,-0.07002338
4.628050000000118e-002,-0.07010443,-0.07002039
4.631150000000121e-002,-0.07009056,-0.07001779
4.634250000000124e-002,-0.07007855,-0.07001554
4.637350000000128e-002,-0.07006814,-0.07001359
4.640450000000131e-002,-0.07005914,-0.0700119
4.643550000000134e-002,-0.07005134,-0.07001044
4.646750000000137e-002,-0.07004437,-0.07000914
4.649950000000140e-002,-0.07003838,-0.07000801
4.653150000000143e-002,-0.0700332,-0.07000704
4.656350000000147e-002,-0.07002875,-0.0700062
4.659650000000150e-002,-0.0700248,-0.07000545
4.662950000000153e-002,-0.0700214,-0.07000481
4.666350000000157e-002,-0.07001841,-0.07000425
4.669750000000160e-002,-0.07001585,-0.07000376
4.673250000000163e-002,-0.0700136,-0.07000333
4.676850000000167e-002,-0.07001165,-0.07000296
4.680550000000171e-002,-0.07000995,-0.07000263
4.684350000000175e-002,-0.07000848,-0.07000235
4.688250000000178e-002,-0.07000722,-0.07000211
4.692350000000183e-002,-0.07000611,-0.0700019
4.696650000000187e-002,-0.07000516,-0.07000171
4.701250000000191e-002,-0.07000432,-0.07000154
4.703250000000193e-002,-0.07000402,-0.07000148
4.708250000000198e-002,-0.07000335,-0.07000135
4.713750000000204e-002,-0.07000278,-0.07000122
4.719750000000210e-002,-0.07000229,-0.07000112
4.726550000000217e-002,-0.07000188,-0.07000103
4.734350000000225e-002,-0.07000154,-0.07000095
4.743650000000234e-002,-0.07000126,-0.07000088
4.755250000000245e-002,-0.07000104,-0.07000082
4.770850000000261e-002,-0.07000086,-0.07000076
4.795150000000285e-002,-0.07000072,-0.0700007
4.805650000000296e-002,-0.07000069,-0.07000068
4.908050000000398e-002,-0.07000052,-0.07000054
4.999950000000490e-002,-0.07000044,-0.07000045
5.000000000000000e-002,-0.07000044,-0.07000045
Step Information: X=1K  (Run: 2/10),,
0.000000000000000e+000,-0.07,-0.07
1.005310719994778e-003,-0.0700001,-0.07000009
2.029310719994708e-003,-0.07000013,-0.07000013
3.053310719994844e-003,-0.07000016,-0.07000016
4.077310719994979e-003,-0.07000016,-0.07000016
5.000000000000000e-003,-0.07000016,-0.07000016
5.000002730473426e-003,-0.0700018,-0.07000058
5.000019364772255e-003,-0.07001197,-0.07000316
5.000100000000000e-003,-0.07006137,-0.0700157
5.000615461723055e-003,-0.0703779,-0.07009345
5.001134276893439e-003,-0.0706979,-0.07016733
5.002134276893439e-003,-0.07131112,-0.07031382
5.003134276893439e-003,-0.07191858,-0.07046802
5.004134276893439e-003,-0.07252404,-0.0706217
5.005134276893439e-003,-0.07312752,-0.07077489
5.006134276893439e-003,-0.07372904,-0.07092758
5.007134276893440e-003,-0.07432857,-0.07107976
5.008134276893440e-003,-0.07492614,-0.07123145
5.009134276893440e-003,-0.07552177,-0.07138263
5.010134276893440e-003,-0.07611546,-0.07153334
5.011134276893440e-003,-0.07670718,-0.07168353
5.012134276893440e-003,-0.07729697,-0.07183325
5.013134276893440e-003,-0.07788485,-0.07198246
5.014134276893440e-003,-0.07847077,-0.07213119
5.015134276893441e-003,-0.07905483,-0.07227944
5.016134276893441e-003,-0.07963693,-0.07242721
5.017134276893441e-003,-0.08021718,-0.07257448
5.019134276893441e-003,-0.08137196,-0.07286759
5.021134276893441e-003,-0.08251911,-0.07315879
5.023134276893442e-003,-0.08365887,-0.07344809
5.025134276893442e-003,-0.08479118,-0.07373551
5.028134276893442e-003,-0.08647561,-0.07416311
5.031134276893443e-003,-0.08814383,-0.07458657
5.034134276893443e-003,-0.08979571,-0.07500586
5.037134276893444e-003,-0.09143138,-0.07542104
5.040000000000000e-003,-0.09297192,-0.07582885
5.040100000000001e-003,-0.09296453,-0.07582694
5.040700000000000e-003,-0.09291911,-0.07581618
5.053500000000002e-003,-0.09197783,-0.07557887
5.069500000000004e-003,-0.09085691,-0.07529426
5.084500000000006e-003,-0.08985865,-0.07504094
5.100100000000001e-003,-0.08887267,-0.07478875
5.125500000000003e-003,-0.08737063,-0.07440937
5.154500000000007e-003,-0.08580422,-0.07401174
5.188500000000012e-003,-0.08414984,-0.07359183
5.227500000000017e-003,-0.08246827,-0.073165
5.269500000000022e-003,-0.08088493,-0.07276309
5.311500000000028e-003,-0.07950759,-0.07241338
5.353500000000034e-003,-0.0783093,-0.07210922
5.395500000000039e-003,-0.07726693,-0.0718447
5.437500000000045e-003,-0.07636011,-0.0716145
5.479500000000050e-003,-0.07557118,-0.07141423
5.521500000000056e-003,-0.07488501,-0.07123995
5.563500000000062e-003,-0.07428789,-0.07108843
5.605500000000067e-003,-0.07376873,-0.07095659
5.647500000000073e-003,-0.07331693,-0.07084191
5.689500000000078e-003,-0.07292378,-0.07074213
5.731500000000084e-003,-0.07258189,-0.07065535
5.773500000000089e-003,-0.07228446,-0.07057989
5.815500000000095e-003,-0.07202566,-0.07051408
5.857500000000101e-003,-0.07180059,-0.07045698
5.899500000000106e-003,-0.07160473,-0.07040727
5.941500000000112e-003,-0.0714345,-0.070364
5.983500000000117e-003,-0.07128632,-0.07032645
6.025500000000123e-003,-0.07115722,-0.07029366
6.067500000000128e-003,-0.07104516,-0.07026517
6.105500000000133e-003,-0.07095635,-0.07024252
6.147500000000139e-003,-0.07087028,-0.07022083
6.189500000000145e-003,-0.07079554,-0.07020175
6.231500000000150e-003,-0.07073045,-0.07018518
6.273500000000156e-003,-0.07067382,-0.07017088
6.315500000000161e-003,-0.07062447,-0.07015836
6.357500000000167e-003,-0.07058167,-0.0701474
6.399500000000172e-003,-0.07054436,-0.07013786
6.442500000000178e-003,-0.0705111,-0.07012951
6.485500000000184e-003,-0.07048249,-0.07012224
6.528500000000190e-003,-0.07045758,-0.07011592
6.571500000000195e-003,-0.07043588,-0.07011044
6.614500000000201e-003,-0.07041717,-0.07010567
6.657500000000207e-003,-0.07040083,-0.0701015
6.700500000000212e-003,-0.07038689,-0.07009792
6.743500000000218e-003,-0.07037449,-0.07009482
6.786500000000224e-003,-0.070364,-0.07009208
6.830500000000230e-003,-0.07035458,-0.0700897
6.874500000000236e-003,-0.07034647,-0.07008767
6.918500000000241e-003,-0.07033944,-0.07008576
6.962500000000247e-003,-0.07033348,-0.07008421
7.007500000000253e-003,-0.070328,-0.0700829
7.052500000000259e-003,-0.07032347,-0.07008171
7.098500000000265e-003,-0.07031941,-0.07008064
7.129500000000269e-003,-0.07031703,-0.07008004
7.176500000000276e-003,-0.07031381,-0.07007933
7.224500000000282e-003,-0.07031095,-0.07007849
7.272500000000288e-003,-0.07030869,-0.0700779
7.321500000000295e-003,-0.07030654,-0.07007742
7.372500000000302e-003,-0.07030463,-0.07007694
