time,"V(N008,N005)"
Step Information: X=500 Y=500  (Run: 1/361),
0.000000000000000e+000,-0.07
1.006310719994777e-003,-0.07000009
2.030310719994708e-003,-0.07000009
3.054310719994844e-003,-0.07000009
4.078310719994979e-003,-0.07000009
5.000000000000000e-003,-0.07000009
5.000002304318532e-003,-0.07000213
5.000011470138907e-003,-0.07001046
5.000100000000000e-003,-0.07009101
5.000541997911469e-003,-0.07049273
5.000985729148079e-003,-0.07089516
5.001873191621300e-003,-0.07169801
5.002873191621300e-003,-0.07259977
5.003873191621300e-003,-0.07349812
5.004873191621300e-003,-0.07439299
5.005873191621301e-003,-0.07528439
5.006873191621301e-003,-0.07617235
5.007873191621301e-003,-0.07705685
5.008873191621301e-003,-0.07793793
5.009873191621301e-003,-0.07881561
5.010873191621301e-003,-0.07968989
5.011873191621301e-003,-0.08056077
5.012873191621301e-003,-0.08142826
5.013873191621302e-003,-0.08229244
5.014873191621302e-003,-0.08315325
5.015873191621302e-003,-0.08401072
5.016873191621302e-003,-0.08486485
5.018873191621302e-003,-0.08656323
5.020873191621303e-003,-0.08824843
5.022873191621303e-003,-0.0899207
5.024873191621303e-003,-0.09157991
5.026873191621303e-003,-0.09322643
5.029873191621304e-003,-0.09567225
5.032873191621304e-003,-0.09808987
5.035873191621305e-003,-0.1004795
5.040000000000000e-003,-0.10372229999999999
5.040100000000001e-003,-0.1037093
5.040300000000000e-003,-0.10368310000000001
5.051500000000001e-003,-0.1022512
5.065500000000003e-003,-0.1005472
5.082500000000005e-003,-0.09860015
5.100100000000001e-003,-0.09671652
5.123500000000003e-003,-0.09440553
5.150500000000007e-003,-0.09198976
5.181500000000011e-003,-0.0895139
5.217500000000016e-003,-0.08699238
5.253500000000020e-003,-0.08480287
5.289500000000025e-003,-0.08290184
5.325500000000030e-003,-0.08125114
5.361500000000035e-003,-0.07981801
5.397500000000039e-003,-0.0785737
5.433500000000044e-003,-0.07749319
5.469500000000049e-003,-0.07655501
5.505500000000054e-003,-0.07574034
5.541500000000059e-003,-0.07503307
5.577500000000063e-003,-0.0744189
5.613500000000068e-003,-0.07388568
5.649500000000073e-003,-0.07342279
5.685500000000078e-003,-0.07302082
5.721500000000082e-003,-0.07267177
5.757500000000087e-003,-0.07236862
5.793500000000092e-003,-0.07210553
5.829500000000097e-003,-0.07187688
5.865500000000102e-003,-0.07167852
5.901500000000106e-003,-0.07150626
5.937500000000111e-003,-0.07135677
5.973500000000116e-003,-0.07122684
6.009500000000121e-003,-0.07111406
6.045500000000125e-003,-0.07101619
6.081500000000130e-003,-0.0709312
6.103500000000133e-003,-0.07088482
6.139500000000138e-003,-0.07081711
6.175500000000143e-003,-0.07075822
6.211500000000148e-003,-0.0707072
6.247500000000152e-003,-0.07066286
6.283500000000157e-003,-0.07062435
6.319500000000162e-003,-0.07059097
6.355500000000167e-003,-0.07056201
6.391500000000171e-003,-0.07053685
6.427500000000176e-003,-0.07051492
6.463500000000181e-003,-0.07049596
6.499500000000186e-003,-0.07047939
6.536500000000191e-003,-0.07046473
6.573500000000196e-003,-0.07045209
6.610500000000200e-003,-0.07044101
6.647500000000205e-003,-0.07043147
6.684500000000210e-003,-0.07042325
6.722500000000215e-003,-0.07041597
6.760500000000220e-003,-0.07040966
6.798500000000225e-003,-0.07040429
6.837500000000231e-003,-0.07039952
6.876500000000236e-003,-0.07039535
6.916500000000241e-003,-0.07039177
6.957500000000247e-003,-0.07038867
6.998500000000252e-003,-0.07038593
7.040500000000258e-003,-0.07038367
7.084500000000263e-003,-0.07038164
7.127500000000269e-003,-0.07037973
7.174500000000275e-003,-0.07037818
7.223500000000282e-003,-0.07037687
7.274500000000289e-003,-0.07037568
7.328500000000296e-003,-0.07037473
7.385500000000303e-003,-0.07037389
7.447500000000312e-003,-0.07037318
7.515500000000321e-003,-0.07037258
7.590500000000331e-003,-0.07037199
7.675500000000342e-003,-0.07037163
7.774500000000355e-003,-0.07037115
7.894500000000299e-003,-0.07037079
8.048500000000186e-003,-0.07037067
8.151500000000110e-003,-0.07037055
8.432499999999904e-003,-0.07037044
9.079499999999428e-003,-0.07037032
9.175499999999358e-003,-0.07037032
1.019949999999861e-002,-0.0703702
1.122349999999785e-002,-0.0703702
1.224749999999710e-002,-0.07037008
1.327149999999635e-002,-0.07037008
1.429549999999560e-002,-0.07037008
1.531949999999484e-002,-0.07037008
1.634349999999534e-002,-0.07037008
1.736749999999636e-002,-0.07037008
1.839149999999739e-002,-0.07037008
1.941549999999841e-002,-0.07037008
2.043949999999943e-002,-0.07037008
2.146350000000046e-002,-0.07037008
2.248750000000148e-002,-0.07037008
2.351150000000251e-002,-0.07037008
2.453550000000353e-002,-0.07037008
2.500000000000000e-002,-0.07037008
2.500002000000000e-002,-0.07033384
2.500006000000000e-002,-0.070261
2.500020000000000e-002,-0.07000637
2.500120799999999e-002,-0.06817722
2.500420800000000e-002,-0.06277394
2.500920800000000e-002,-0.0539059
2.501020800000000e-002,-0.05215287
2.501320800000001e-002,-0.04693431
2.502120800000001e-002,-0.03331168
2.503120800000002e-002,-0.01686734
2.504000000000000e-002,-0.0029256340000000003
2.504002891484438e-002,-0.002933025
2.504008674453315e-002,-0.002948165
2.506382163519627e-002,-0.008877039
2.508582163519629e-002,-0.013901
2.510582163519631e-002,-0.0181067
2.512382163519633e-002,-0.0216198
2.514082163519635e-002,-0.02471733
2.515582163519636e-002,-0.02728438
2.516782163519638e-002,-0.02923179
2.517782163519639e-002,-0.03078604
2.518582163519639e-002,-0.03198624
2.519182163519640e-002,-0.03286207
2.519582163519640e-002,-0.03343451
