time,"V(N012,N005)","V(N013,N007)",V(n001),V(n002),V(n003),V(n004),V(n005),V(n006),V(n007),V(n008),V(n009),V(n010),V(n011),V(n012),V(n013),V(n014),V(n015),V(nc_01),V(nc_02),V(nc_03),V(nc_04),V(nc_05),V(nc_06),V(nc_07),V(nc_08),V(nc_09),V(nc_10),V(nc_11),V(nc_12),V(nc_13),V(nc_14),I(C1),I(C2),I(C3),I(C4),I(C5),I(C6),I(R1),I(R2),I(R3),I(R4),I(R5),I(R6),I(R7),I(R8),I(R9),I(R10),I(R11),I(R12),I(R13),I(R14),I(V1),I(V2),I(V3),I(V4),I(V5),I(V6),I(V7),I(V8),I(V9),I(V10),I(V11),I(V12)
Step Information: X=500  (Run: 1/10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000000000000e+000,-0.07,-0.07,-4.18529e-20,0.0,-4.21471e-20,-4.2205709999999996e-20,-4.221428e-20,-4.251004e-20,-4.250139e-20,-4.2209970000000005e-20,-4.2209970000000005e-20,-4.250568e-20,-4.250568e-20,-0.07,-0.07,-0.07,-0.07,0.0,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.199999999999999e-25,4.199999999999999e-25,2.0926449999999997e-38,2.107355e-38,4.199999999999999e-25,4.199999999999999e-25,1.06274e-32,-1.079483e-32,0.0,-2.856297e-25,7.056297e-25,1.343703e-25,8.370579999999999e-25,8.429420000000001e-25,-1.0905739999999999e-32,1.0737139999999998e-32,0.0,2.8857169999999997e-25,1.314283e-25,7.085716999999999e-25,-1.0785209999999998e-32,1.0785209999999998e-32,0.0,-2.5503629999999998e-43,0.0,0.0,-8.370579999999999e-25,-2.5503629999999998e-43,0.0,0.0,0.0,0.0
1.006310719994777e-003,-0.07000009,-0.07000007,-2.236491e-12,0.0,-2.6472630000000003e-12,-2.550409e-12,-2.562373e-12,-3.1946150000000003e-12,-3.181463e-12,-9.161388e-08,-9.161388e-08,-7.440971e-08,-7.440971e-08,-0.07000009,-0.07000007,-0.07000009,-0.07000007,0.0,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293956e-23,0.0,7.747317999999999e-16,8.456755000000001e-16,4.439966e-16,4.439967e-16,2.290283e-16,2.290283e-16,0.0,-3.9880830000000003e-16,6.278366e-16,-1.6978e-16,4.472981e-17,5.2945259999999993e-17,1.860161e-16,1.860161e-16,3.469447e-16,4.3838790000000004e-16,1.916249e-16,1.068401e-15,-2.290292e-16,-2.290292e-16,0.0,1.8370919999999998e-16,0.0,0.0,-8.194616e-16,-4.822668e-16,0.0,0.0,0.0,0.0
2.030310719994708e-003,-0.07000009,-0.07000014,-3.914591e-12,0.0,-4.3387910000000005e-12,-4.235028e-12,-4.2473830000000005e-12,-4.830155e-12,-4.818511e-12,-9.161557e-08,-9.161557e-08,-1.3971570000000003e-07,-1.3971570000000003e-07,-0.07000009,-0.07000014,-0.07000009,-0.07000014,0.0,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.456942999999999e-16,6.898460000000001e-16,2.219983e-16,2.2199840000000003e-16,2.290283e-16,2.290283e-16,0.0,-4.1184500000000004e-16,6.408733e-16,-1.8281669999999998e-16,7.829182e-17,8.677583000000001e-17,3.492774e-16,3.492774e-16,0.0,3.881628e-16,1.831129e-16,9.594385000000001e-16,-2.290297e-16,-2.290276e-16,0.0,-5.796187e-17,0.0,0.0,-8.239861999999999e-16,3.862671e-16,0.0,0.0,0.0,0.0
3.054310719994844e-003,-0.07000009,-0.07000018,-5.436221e-12,0.0,-5.889115e-12,-5.770586e-12,-5.783776999999999e-12,-6.465939e-12,-6.452138e-12,-9.161710000000001e-08,-9.161710000000001e-08,-1.77605e-07,-1.77605e-07,-0.07000009,-0.07000018,-0.07000009,-0.07000018,0.0,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293956e-23,-1.0587909999999999e-22,7.659502000000001e-16,7.975897999999999e-16,2.2199840000000003e-16,2.2199840000000003e-16,2.290283e-16,2.290283e-16,0.0,-4.3970260000000005e-16,6.687309e-16,-2.106744e-16,1.0872440000000002e-16,1.1778230000000002e-16,4.439967e-16,4.439967e-16,0.0,4.600514e-16,2.059437e-16,1.126046e-15,-2.290288e-16,-2.290274e-16,0.0,-7.759126999999999e-17,0.0,0.0,-8.746746e-16,3.666635e-16,0.0,0.0,0.0,0.0
4.078310719994979e-003,-0.07000009,-0.07000018,-6.674245e-12,0.0,-6.992053999999999e-12,-6.943036e-12,-6.952292e-12,-7.381802000000001e-12,-7.372511e-12,-9.161828e-08,-9.161828e-08,-1.8049210000000002e-07,-1.8049210000000002e-07,-0.07000009,-0.07000018,-0.07000009,-0.07000018,0.0,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0587909999999999e-22,5.456074e-16,5.415462000000001e-16,-1.0587909999999999e-22,2.646978e-23,2.290283e-16,2.290283e-16,0.0,-3.085528e-16,5.3758109999999995e-16,-7.952465e-17,1.334849e-16,1.3984110000000002e-16,4.512116000000001e-16,4.512117e-16,0.0,3.097003e-16,1.415113e-16,7.60912e-16,-2.290298e-16,-2.290278e-16,0.0,-8.858161e-17,0.0,0.0,-6.790924e-16,-8.847011999999999e-17,0.0,0.0,0.0,0.0
5.000000000000000e-003,-0.07000009,-0.07000018,-7.658874e-12,0.0,-7.974716000000001e-12,-7.948491e-12,-7.95769e-12,-8.232916999999999e-12,-8.225624000000001e-12,-9.162127e-08,-9.162127e-08,-1.804804e-07,-1.804804e-07,-0.07000009,-0.07000018,-0.07000009,-0.07000018,0.0,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3558459999999993e-17,4.3558029999999997e-17,5.408643e-16,3.0827249999999997e-16,-9.327082e-17,-1.9246430000000002e-16,2.2903330000000004e-16,2.2903330000000004e-16,0.0,-3.066416e-16,5.792333e-16,-3.4050229999999995e-17,1.5317750000000001e-16,1.594943e-16,4.511802999999999e-16,4.511802999999999e-16,0.0,2.4310110000000004e-16,1.148085e-16,5.01817e-16,-2.290336e-16,-2.290311e-16,0.0,-1.4333069999999998e-16,0.0,0.0,-6.940417999999999e-16,-1.432038e-16,0.0,0.0,0.0,0.0
5.000001942590955e-003,-0.07000181,-0.07000049,-0.00012141120000000001,-0.0001214119,-7.329447e-10,-6.242226e-05,-5.898969e-05,-1.161885e-05,-1.0979970000000001e-05,-6.0797609999999996e-05,-6.079755999999999e-05,-1.147596e-05,-1.147595e-05,-0.0700608,-0.07001147,-0.0700608,-0.07001147,-4.856477e-05,0.0,-0.07,0.0,-0.006993327,0.0,-9.130177e-05,0.0,-5.244996e-05,0.0,-0.006993327,0.0,-0.0004856477,0.0,-3.5589699999999998e-09,3.5589709999999997e-09,-1.3993639999999999e-07,1.3993639999999999e-07,-6.625122e-10,6.625123e-10,-4.061632e-15,4.5197000000000005e-15,3.5589759999999996e-09,1.144189e-07,-1.179779e-07,1.179779e-07,-1.434622e-14,1.465889e-14,-3.474099e-16,1.2497710000000002e-15,6.625131e-10,2.1295959999999998e-08,-2.195847e-08,2.195847e-08,4.06144e-15,-4.519733e-15,0.0,7.122499e-16,0.0,0.0,1.3993639999999999e-07,-8.330447999999998e-16,0.0,0.0,0.0,0.0
5.000010011955098e-003,-0.07000912,-0.07000186,-0.000625739,-0.0006257472,-8.234874e-09,-0.0003219066,-0.00030384060000000003,-5.995121999999999e-05,-5.658701e-05,-0.0003129652,-0.0003129652,-5.844945e-05,-5.8449440000000006e-05,-0.07031296,-0.07005845,-0.07031296,-0.07005845,-0.0002502989,0.0,-0.07,0.0,-0.03604304,0.0,-0.0004705619,0.0,-0.0002703228,0.0,-0.03604304,0.0,-0.0025029889999999997,0.0,-5.462416999999999e-09,5.462418000000001e-09,-7.208221000000001e-07,7.208221000000001e-07,-1.017426e-09,1.017426e-09,-2.235348e-14,2.281155e-14,5.462439999999999e-09,6.022022e-07,-6.076647e-07,6.076647e-07,-1.643848e-13,1.646975e-13,-3.754061e-15,4.656423e-15,1.01743e-09,1.121401e-07,-1.131575e-07,1.131575e-07,2.234988e-14,-2.281235e-14,0.0,4.121456e-15,0.0,0.0,7.208221999999999e-07,-4.049259e-15,0.0,0.0,0.0,0.0
5.000100000000000e-003,-0.07009101,-0.07001711,-0.00624928,-0.00625,-7.200128e-07,-0.0032159159999999997,-0.0030340840000000003,-0.000599559,-0.0005656920999999999,-0.0031250920000000003,-0.0031250920000000003,-0.000582806,-0.000582806,-0.07312509,-0.07058281,-0.07312509,-0.07058281,-0.0025,0.0,-0.07,0.0,-0.36,0.0,-0.0047,0.0,-0.0027,0.0,-0.36,0.0,-0.025,0.0,-5.627916999999999e-09,5.627916999999999e-09,-7.196657e-06,7.196657e-06,-1.048715e-09,1.048715e-09,-2.2706210000000002e-13,2.2752020000000004e-13,5.628145e-09,6.061099e-06,-6.0667269999999996e-06,6.0667269999999996e-06,-1.439994e-11,1.440026e-11,-4.188238e-14,4.2784750000000005e-14,1.048757e-09,1.128895e-06,-1.129944e-06,1.129944e-06,2.2707629999999999e-13,-2.2756e-13,0.0,4.097842e-14,0.0,0.0,7.196671e-06,-4.167595e-14,0.0,0.0,0.0,0.0
