time	V(N012,N005)	V(N013,N007)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002
1.006310719994777e-003	-7.000007e-002	-7.000010e-002
2.030310719994708e-003	-7.000014e-002	-7.000013e-002
3.054310719994844e-003	-7.000018e-002	-7.000016e-002
4.078310719994979e-003	-7.000018e-002	-7.000016e-002
5.000000000000000e-003	-7.000018e-002	-7.000016e-002
5.000100000000000e-003	-7.001712e-002	-7.000639e-002
5.005578680369668e-003	-7.094602e-002	-7.034826e-002
5.011057360739335e-003	-7.186935e-002	-7.068806e-002
5.016536041109003e-003	-7.278708e-002	-7.102579e-002
5.022014721478670e-003	-7.369923e-002	-7.136144e-002
5.027493401848338e-003	-7.460580e-002	-7.169503e-002
5.032972082218005e-003	-7.550679e-002	-7.202654e-002
5.038450762587673e-003	-7.640219e-002	-7.235599e-002
5.040100000000001e-003	-7.664824e-002	-7.244623e-002
5.046442857142858e-003	-7.660659e-002	-7.243084e-002
5.052785714285716e-003	-7.656524e-002	-7.241559e-002
5.059128571428574e-003	-7.652417e-002	-7.240046e-002
5.065471428571432e-003	-7.648341e-002	-7.238545e-002
5.071814285714290e-003	-7.644293e-002	-7.237058e-002
5.078157142857148e-003	-7.640274e-002	-7.235583e-002
5.084500000000006e-003	-7.636285e-002	-7.234120e-002
5.085500000000006e-003	-7.635665e-002	-7.233882e-002
5.100100000000001e-003	-7.626581e-002	-7.230544e-002
5.153728571428579e-003	-7.594543e-002	-7.218753e-002
5.207357142857158e-003	-7.564021e-002	-7.207520e-002
5.260985714285736e-003	-7.535015e-002	-7.196845e-002
5.314614285714315e-003	-7.507526e-002	-7.186730e-002
5.368242857142893e-003	-7.481552e-002	-7.177172e-002
5.421871428571472e-003	-7.457095e-002	-7.168174e-002
5.475500000000050e-003	-7.434154e-002	-7.159734e-002
5.564500000000062e-003	-7.399033e-002	-7.146812e-002
5.653500000000073e-003	-7.366423e-002	-7.134813e-002
5.742500000000085e-003	-7.336324e-002	-7.123738e-002
5.831500000000097e-003	-7.308736e-002	-7.113587e-002
5.920500000000109e-003	-7.283658e-002	-7.104359e-002
6.009500000000121e-003	-7.261091e-002	-7.096054e-002
6.098500000000133e-003	-7.241035e-002	-7.088673e-002
6.106500000000134e-003	-7.239282e-002	-7.088017e-002
6.195500000000145e-003	-7.220939e-002	-7.081271e-002
6.284500000000157e-003	-7.203909e-002	-7.075006e-002
6.373500000000169e-003	-7.188190e-002	-7.069223e-002
6.462500000000181e-003	-7.173782e-002	-7.063922e-002
6.551500000000193e-003	-7.160687e-002	-7.059102e-002
6.640500000000204e-003	-7.148903e-002	-7.054764e-002
6.729500000000216e-003	-7.138431e-002	-7.050908e-002
6.786642857143081e-003	-7.132072e-002	-7.048564e-002
6.843785714285945e-003	-7.126029e-002	-7.046337e-002
6.900928571428810e-003	-7.120302e-002	-7.044229e-002
6.958071428571675e-003	-7.114892e-002	-7.042238e-002
7.015214285714540e-003	-7.109798e-002	-7.040365e-002
7.072357142857404e-003	-7.105020e-002	-7.038610e-002
7.129500000000269e-003	-7.100558e-002	-7.036972e-002
7.130500000000269e-003	-7.100487e-002	-7.036936e-002
7.219642857143139e-003	-7.094086e-002	-7.034580e-002
7.308785714286007e-003	-7.088144e-002	-7.032392e-002
7.397928571428876e-003	-7.082660e-002	-7.030373e-002
7.487071428571746e-003	-7.077635e-002	-7.028522e-002
7.576214285714615e-003	-7.073067e-002	-7.026839e-002
7.665357142857484e-003	-7.068959e-002	-7.025324e-002
7.754500000000352e-003	-7.065308e-002	-7.023978e-002
7.811500000000317e-003	-7.063095e-002	-7.023165e-002
7.868500000000283e-003	-7.060993e-002	-7.022393e-002
7.925500000000248e-003	-7.059002e-002	-7.021659e-002
7.982500000000213e-003	-7.057122e-002	-7.020966e-002
8.039500000000178e-003	-7.055353e-002	-7.020313e-002
8.096500000000144e-003	-7.053695e-002	-7.019700e-002
8.153500000000109e-003	-7.052147e-002	-7.019126e-002
8.154500000000108e-003	-7.052124e-002	-7.019126e-002
8.244214285714327e-003	-7.049878e-002	-7.018299e-002
8.333928571428548e-003	-7.047794e-002	-7.017532e-002
8.423642857142767e-003	-7.045872e-002	-7.016824e-002
8.513357142856988e-003	-7.044111e-002	-7.016175e-002
8.603071428571207e-003	-7.042511e-002	-7.015585e-002
8.692785714285427e-003	-7.041074e-002	-7.015055e-002
8.782499999999647e-003	-7.039797e-002	-7.014585e-002
8.838928571428177e-003	-7.039039e-002	-7.014311e-002
8.895357142856707e-003	-7.038318e-002	-7.014049e-002
8.951785714285237e-003	-7.037634e-002	-7.013799e-002
9.008214285713766e-003	-7.036987e-002	-7.013561e-002
9.064642857142296e-003	-7.036377e-002	-7.013334e-002
9.121071428570826e-003	-7.035804e-002	-7.013119e-002
9.177499999999356e-003	-7.035267e-002	-7.012916e-002
9.178499999999356e-003	-7.035255e-002	-7.012916e-002
9.269499999999289e-003	-7.034459e-002	-7.012623e-002
9.360499999999222e-003	-7.033722e-002	-7.012352e-002
