time	V(N012,N005)	V(N013,N007)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002
1.006310719994777e-003	-7.000009e-002	-7.000009e-002
2.030310719994708e-003	-7.000009e-002	-7.000009e-002
3.054310719994844e-003	-7.000009e-002	-7.000009e-002
4.078310719994979e-003	-7.000009e-002	-7.000009e-002
5.000000000000000e-003	-7.000009e-002	-7.000009e-002
5.000002089774759e-003	-7.000194e-002	-7.000028e-002
5.000010609138402e-003	-7.000967e-002	-7.000107e-002
5.000100000000000e-003	-7.009101e-002	-7.000943e-002
5.002535754992393e-003	-7.229455e-002	-7.023573e-002
5.004971509984787e-003	-7.447590e-002	-7.045975e-002
5.007407264977179e-003	-7.663507e-002	-7.068148e-002
5.009843019969573e-003	-7.877206e-002	-7.090092e-002
5.012278774961966e-003	-8.088686e-002	-7.111808e-002
5.014714529954359e-003	-8.297949e-002	-7.133295e-002
5.017150284946752e-003	-8.504993e-002	-7.154554e-002
5.019150284946752e-003	-8.673424e-002	-7.171851e-002
5.021150284946752e-003	-8.840418e-002	-7.189006e-002
5.023150284946753e-003	-9.005994e-002	-7.206005e-002
5.025150284946753e-003	-9.170157e-002	-7.222861e-002
5.028150284946753e-003	-9.413785e-002	-7.247883e-002
5.031150284946754e-003	-9.654307e-002	-7.272589e-002
5.034150284946754e-003	-9.891760e-002	-7.296968e-002
5.037150284946754e-003	-1.012619e-001	-7.321048e-002
5.040000000000000e-003	-1.034619e-001	-7.343626e-002
5.040100000000001e-003	-1.034476e-001	-7.343483e-002
5.040300000000000e-003	-1.034189e-001	-7.343185e-002
5.046328571428572e-003	-1.025695e-001	-7.334461e-002
5.052357142857145e-003	-1.017405e-001	-7.325947e-002
5.058385714285717e-003	-1.009321e-001	-7.317645e-002
5.064414285714289e-003	-1.001441e-001	-7.309554e-002
5.070442857142861e-003	-9.937664e-002	-7.301675e-002
5.076471428571434e-003	-9.862970e-002	-7.294006e-002
5.082500000000005e-003	-9.790325e-002	-7.286549e-002
5.083500000000006e-003	-9.778428e-002	-7.285321e-002
5.100100000000001e-003	-9.588385e-002	-7.265806e-002
5.119871428571432e-003	-9.382233e-002	-7.244636e-002
5.139642857142863e-003	-9.190031e-002	-7.224897e-002
5.159414285714294e-003	-9.011778e-002	-7.206592e-002
