time	V(N012,N005)	V(N013,N007)
Step Information: X=500  (Run: 1/10)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002
1.006310719994777e-003	-7.000009e-002	-7.000007e-002
2.030310719994708e-003	-7.000009e-002	-7.000014e-002
3.054310719994844e-003	-7.000009e-002	-7.000018e-002
4.078310719994979e-003	-7.000009e-002	-7.000018e-002
5.000000000000000e-003	-7.000009e-002	-7.000018e-002
5.000001942590955e-003	-7.000181e-002	-7.000049e-002
5.000010011955098e-003	-7.000912e-002	-7.000186e-002
5.000100000000000e-003	-7.009101e-002	-7.001711e-002
5.000677044745715e-003	-7.061512e-002	-7.010984e-002
5.001256352412001e-003	-7.113963e-002	-7.019558e-002
5.002256352412002e-003	-7.204207e-002	-7.035153e-002
5.003256352412002e-003	-7.294078e-002	-7.051906e-002
5.004256352412002e-003	-7.383537e-002	-7.068581e-002
5.005256352412002e-003	-7.472585e-002	-7.085181e-002
5.006256352412002e-003	-7.561222e-002	-7.101703e-002
5.007256352412002e-003	-7.649453e-002	-7.118150e-002
5.008256352412002e-003	-7.737279e-002	-7.134521e-002
5.009256352412003e-003	-7.824701e-002	-7.150817e-002
5.010256352412003e-003	-7.911724e-002	-7.167038e-002
5.011256352412003e-003	-7.998341e-002	-7.183185e-002
5.012256352412003e-003	-8.084565e-002	-7.199258e-002
5.013256352412003e-003	-8.170393e-002	-7.215255e-002
5.014256352412003e-003	-8.255824e-002	-7.231180e-002
5.015256352412003e-003	-8.340865e-002	-7.247034e-002
5.016256352412003e-003	-8.425513e-002	-7.262813e-002
5.017256352412004e-003	-8.509773e-002	-7.278520e-002
5.019256352412004e-003	-8.677137e-002	-7.309715e-002
5.021256352412004e-003	-8.842963e-002	-7.340628e-002
5.023256352412004e-003	-9.007269e-002	-7.371256e-002
5.025256352412005e-003	-9.170073e-002	-7.401603e-002
5.028256352412005e-003	-9.411490e-002	-7.446603e-002
5.031256352412005e-003	-9.649599e-002	-7.490987e-002
5.034256352412006e-003	-9.884441e-002	-7.534760e-002
5.037256352412006e-003	-1.011606e-001	-7.577941e-002
5.040000000000000e-003	-1.032518e-001	-7.619354e-002
5.040100000000001e-003	-1.032366e-001	-7.619080e-002
5.040300000000000e-003	-1.032060e-001	-7.618541e-002
5.050500000000001e-003	-1.016835e-001	-7.590619e-002
5.063500000000003e-003	-9.984457e-002	-7.556340e-002
5.078500000000005e-003	-9.785628e-002	-7.519275e-002
5.083500000000006e-003	-9.722376e-002	-7.507485e-002
5.100100000000001e-003	-9.522593e-002	-7.469875e-002
5.121500000000003e-003	-9.286785e-002	-7.426286e-002
5.146500000000006e-003	-9.039414e-002	-7.380176e-002
5.175500000000010e-003	-8.786261e-002	-7.332981e-002
5.205500000000014e-003	-8.557904e-002	-7.290411e-002
5.235500000000018e-003	-8.359241e-002	-7.253385e-002
5.265500000000022e-003	-8.186448e-002	-7.221168e-002
5.295500000000026e-003	-8.036137e-002	-7.193160e-002
5.325500000000030e-003	-7.905388e-002	-7.168776e-002
5.355500000000034e-003	-7.791650e-002	-7.147586e-002
5.385500000000038e-003	-7.692719e-002	-7.129133e-002
5.415500000000042e-003	-7.606649e-002	-7.113087e-002
5.445500000000046e-003	-7.531786e-002	-7.099128e-002
5.475500000000050e-003	-7.466674e-002	-7.086992e-002
5.505500000000054e-003	-7.410014e-002	-7.076430e-002
5.535500000000058e-003	-7.360733e-002	-7.067239e-002
5.565500000000062e-003	-7.317865e-002	-7.059252e-002
5.595500000000066e-003	-7.280576e-002	-7.052290e-002
5.625500000000070e-003	-7.248151e-002	-7.046258e-002
5.655500000000074e-003	-7.219934e-002	-7.040989e-002
5.685500000000078e-003	-7.195389e-002	-7.036412e-002
5.715500000000082e-003	-7.174039e-002	-7.032430e-002
5.745500000000086e-003	-7.155466e-002	-7.028973e-002
5.775500000000090e-003	-7.139313e-002	-7.025957e-002
5.805500000000094e-003	-7.125258e-002	-7.023335e-002
5.835500000000098e-003	-7.113028e-002	-7.021058e-002
5.865500000000102e-003	-7.102394e-002	-7.019079e-002
5.895500000000106e-003	-7.093143e-002	-7.017350e-002
5.925500000000110e-003	-7.085097e-002	-7.015848e-002
5.955500000000114e-003	-7.078099e-002	-7.014549e-002
5.985500000000118e-003	-7.072008e-002	-7.013404e-002
6.015500000000121e-003	-7.066715e-002	-7.012415e-002
6.045500000000125e-003	-7.062101e-002	-7.011557e-002
6.075500000000129e-003	-7.058096e-002	-7.010806e-002
6.104500000000133e-003	-7.054722e-002	-7.010186e-002
6.134500000000137e-003	-7.051671e-002	-7.009602e-002
6.164500000000141e-003	-7.049024e-002	-7.009113e-002
6.194500000000145e-003	-7.046711e-002	-7.008684e-002
6.224500000000149e-003	-7.044697e-002	-7.008302e-002
6.255500000000153e-003	-7.042909e-002	-7.007968e-002
6.286500000000157e-003	-7.041347e-002	-7.007682e-002
6.317500000000162e-003	-7.040000e-002	-7.007432e-002
6.348500000000166e-003	-7.038832e-002	-7.007205e-002
6.379500000000170e-003	-7.037818e-002	-7.007027e-002
6.410500000000174e-003	-7.036948e-002	-7.006860e-002
6.441500000000178e-003	-7.036185e-002	-7.006705e-002
6.473500000000182e-003	-7.035518e-002	-7.006586e-002
6.505500000000187e-003	-7.034934e-002	-7.006478e-002
6.537500000000191e-003	-7.034433e-002	-7.006383e-002
6.569500000000195e-003	-7.033992e-002	-7.006311e-002
6.602500000000199e-003	-7.033598e-002	-7.006228e-002
6.635500000000204e-003	-7.033277e-002	-7.006168e-002
6.669500000000208e-003	-7.032979e-002	-7.006109e-002
6.703500000000213e-003	-7.032728e-002	-7.006073e-002
6.738500000000217e-003	-7.032514e-002	-7.006025e-002
6.774500000000222e-003	-7.032323e-002	-7.005990e-002
6.811500000000227e-003	-7.032156e-002	-7.005954e-002
6.849500000000232e-003	-7.032025e-002	-7.005930e-002
6.889500000000237e-003	-7.031894e-002	-7.005894e-002
6.931500000000243e-003	-7.031786e-002	-7.005882e-002
6.975500000000249e-003	-7.031691e-002	-7.005858e-002
7.021500000000255e-003	-7.031620e-002	-7.005847e-002
7.071500000000262e-003	-7.031548e-002	-7.005835e-002
7.125500000000269e-003	-7.031476e-002	-7.005823e-002
7.128500000000269e-003	-7.031476e-002	-7.005811e-002
7.187500000000277e-003	-7.031429e-002	-7.005811e-002
7.253500000000286e-003	-7.031381e-002	-7.005811e-002
7.329500000000296e-003	-7.031357e-002	-7.005799e-002
7.419500000000308e-003	-7.031322e-002	-7.005787e-002
7.530500000000323e-003	-7.031310e-002	-7.005787e-002
7.677500000000342e-003	-7.031286e-002	-7.005787e-002
7.898500000000296e-003	-7.031262e-002	-7.005775e-002
8.152500000000109e-003	-7.031262e-002	-7.005775e-002
9.176499999999357e-003	-7.031250e-002	-7.005751e-002
1.020049999999861e-002	-7.031238e-002	-7.005751e-002
1.122449999999785e-002	-7.031238e-002	-7.005751e-002
1.224849999999710e-002	-7.031238e-002	-7.005739e-002
1.327249999999635e-002	-7.031238e-002	-7.005739e-002
1.429649999999560e-002	-7.031226e-002	-7.005739e-002
1.532049999999484e-002	-7.031226e-002	-7.005739e-002
1.634449999999534e-002	-7.031226e-002	-7.005739e-002
1.736849999999636e-002	-7.031226e-002	-7.005739e-002
1.839249999999739e-002	-7.031226e-002	-7.005739e-002
1.941649999999841e-002	-7.031226e-002	-7.005739e-002
2.044049999999944e-002	-7.031226e-002	-7.005739e-002
2.146450000000046e-002	-7.031226e-002	-7.005739e-002
