time	V(N008,N005)
Step Information: X=500 Y=500  (Run: 1/361)
0.000000000000000e+000	-7.000000e-002
1.006310719994777e-003	-7.000009e-002
2.030310719994708e-003	-7.000009e-002
3.054310719994844e-003	-7.000009e-002
4.078310719994979e-003	-7.000009e-002
5.000000000000000e-003	-7.000009e-002
5.000002304318532e-003	-7.000213e-002
5.000011470138907e-003	-7.001046e-002
5.000100000000000e-003	-7.009101e-002
5.000541997911469e-003	-7.049273e-002
5.000985729148079e-003	-7.089516e-002
5.001873191621300e-003	-7.169801e-002
5.002873191621300e-003	-7.259977e-002
5.003873191621300e-003	-7.349812e-002
5.004873191621300e-003	-7.439299e-002
5.005873191621301e-003	-7.528439e-002
5.006873191621301e-003	-7.617235e-002
5.007873191621301e-003	-7.705685e-002
5.008873191621301e-003	-7.793793e-002
5.009873191621301e-003	-7.881561e-002
5.010873191621301e-003	-7.968989e-002
5.011873191621301e-003	-8.056077e-002
5.012873191621301e-003	-8.142826e-002
5.013873191621302e-003	-8.229244e-002
5.014873191621302e-003	-8.315325e-002
5.015873191621302e-003	-8.401072e-002
5.016873191621302e-003	-8.486485e-002
5.018873191621302e-003	-8.656323e-002
5.020873191621303e-003	-8.824843e-002
5.022873191621303e-003	-8.992070e-002
5.024873191621303e-003	-9.157991e-002
5.026873191621303e-003	-9.322643e-002
5.029873191621304e-003	-9.567225e-002
5.032873191621304e-003	-9.808987e-002
5.035873191621305e-003	-1.004795e-001
5.040000000000000e-003	-1.037223e-001
5.040100000000001e-003	-1.037093e-001
5.040300000000000e-003	-1.036831e-001
5.051500000000001e-003	-1.022512e-001
5.065500000000003e-003	-1.005472e-001
5.082500000000005e-003	-9.860015e-002
5.100100000000001e-003	-9.671652e-002
5.123500000000003e-003	-9.440553e-002
5.150500000000007e-003	-9.198976e-002
5.181500000000011e-003	-8.951390e-002
5.217500000000016e-003	-8.699238e-002
5.253500000000020e-003	-8.480287e-002
5.289500000000025e-003	-8.290184e-002
5.325500000000030e-003	-8.125114e-002
5.361500000000035e-003	-7.981801e-002
5.397500000000039e-003	-7.857370e-002
5.433500000000044e-003	-7.749319e-002
5.469500000000049e-003	-7.655501e-002
5.505500000000054e-003	-7.574034e-002
5.541500000000059e-003	-7.503307e-002
5.577500000000063e-003	-7.441890e-002
5.613500000000068e-003	-7.388568e-002
5.649500000000073e-003	-7.342279e-002
5.685500000000078e-003	-7.302082e-002
5.721500000000082e-003	-7.267177e-002
5.757500000000087e-003	-7.236862e-002
5.793500000000092e-003	-7.210553e-002
5.829500000000097e-003	-7.187688e-002
5.865500000000102e-003	-7.167852e-002
5.901500000000106e-003	-7.150626e-002
5.937500000000111e-003	-7.135677e-002
5.973500000000116e-003	-7.122684e-002
6.009500000000121e-003	-7.111406e-002
6.045500000000125e-003	-7.101619e-002
6.081500000000130e-003	-7.093120e-002
6.103500000000133e-003	-7.088482e-002
6.139500000000138e-003	-7.081711e-002
6.175500000000143e-003	-7.075822e-002
6.211500000000148e-003	-7.070720e-002
6.247500000000152e-003	-7.066286e-002
6.283500000000157e-003	-7.062435e-002
6.319500000000162e-003	-7.059097e-002
6.355500000000167e-003	-7.056201e-002
6.391500000000171e-003	-7.053685e-002
6.427500000000176e-003	-7.051492e-002
6.463500000000181e-003	-7.049596e-002
6.499500000000186e-003	-7.047939e-002
6.536500000000191e-003	-7.046473e-002
6.573500000000196e-003	-7.045209e-002
6.610500000000200e-003	-7.044101e-002
6.647500000000205e-003	-7.043147e-002
6.684500000000210e-003	-7.042325e-002
6.722500000000215e-003	-7.041597e-002
6.760500000000220e-003	-7.040966e-002
6.798500000000225e-003	-7.040429e-002
6.837500000000231e-003	-7.039952e-002
6.876500000000236e-003	-7.039535e-002
6.916500000000241e-003	-7.039177e-002
6.957500000000247e-003	-7.038867e-002
6.998500000000252e-003	-7.038593e-002
7.040500000000258e-003	-7.038367e-002
7.084500000000263e-003	-7.038164e-002
7.127500000000269e-003	-7.037973e-002
7.174500000000275e-003	-7.037818e-002
7.223500000000282e-003	-7.037687e-002
7.274500000000289e-003	-7.037568e-002
7.328500000000296e-003	-7.037473e-002
7.385500000000303e-003	-7.037389e-002
7.447500000000312e-003	-7.037318e-002
7.515500000000321e-003	-7.037258e-002
7.590500000000331e-003	-7.037199e-002
7.675500000000342e-003	-7.037163e-002
7.774500000000355e-003	-7.037115e-002
7.894500000000299e-003	-7.037079e-002
8.048500000000186e-003	-7.037067e-002
8.151500000000110e-003	-7.037055e-002
8.432499999999904e-003	-7.037044e-002
9.079499999999428e-003	-7.037032e-002
