time	V(N012,N005)	V(N013,N007)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	V(n010)	V(n011)	V(n012)	V(n013)	V(n014)	V(n015)	V(nc_01)	V(nc_02)	V(nc_03)	V(nc_04)	V(nc_05)	V(nc_06)	V(nc_07)	V(nc_08)	V(nc_09)	V(nc_10)	V(nc_11)	V(nc_12)	V(nc_13)	V(nc_14)	I(C1)	I(C2)	I(C3)	I(C4)	I(C5)	I(C6)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(R9)	I(R10)	I(R11)	I(R12)	I(R13)	I(R14)	I(V1)	I(V2)	I(V3)	I(V4)	I(V5)	I(V6)	I(V7)	I(V8)	I(V9)	I(V10)	I(V11)	I(V12)
Step Information: X=500  (Run: 1/10)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	-4.185290e-020	0.000000e+000	-4.214710e-020	-4.220571e-020	-4.221428e-020	-4.251004e-020	-4.250139e-020	-4.220997e-020	-4.220997e-020	-4.250568e-020	-4.250568e-020	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.200000e-025	4.200000e-025	2.092645e-038	2.107355e-038	4.200000e-025	4.200000e-025	1.062740e-032	-1.079483e-032	0.000000e+000	-2.856297e-025	7.056297e-025	1.343703e-025	8.370580e-025	8.429420e-025	-1.090574e-032	1.073714e-032	0.000000e+000	2.885717e-025	1.314283e-025	7.085717e-025	-1.078521e-032	1.078521e-032	0.000000e+000	-2.550363e-043	0.000000e+000	0.000000e+000	-8.370580e-025	-2.550363e-043	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.006310719994777e-003	-7.000009e-002	-7.000007e-002	-2.236491e-012	0.000000e+000	-2.647263e-012	-2.550409e-012	-2.562373e-012	-3.194615e-012	-3.181463e-012	-9.161388e-008	-9.161388e-008	-7.440971e-008	-7.440971e-008	-7.000009e-002	-7.000007e-002	-7.000009e-002	-7.000007e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.293956e-023	0.000000e+000	7.747318e-016	8.456755e-016	4.439966e-016	4.439967e-016	2.290283e-016	2.290283e-016	0.000000e+000	-3.988083e-016	6.278366e-016	-1.697800e-016	4.472981e-017	5.294526e-017	1.860161e-016	1.860161e-016	3.469447e-016	4.383879e-016	1.916249e-016	1.068401e-015	-2.290292e-016	-2.290292e-016	0.000000e+000	1.837092e-016	0.000000e+000	0.000000e+000	-8.194616e-016	-4.822668e-016	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
2.030310719994708e-003	-7.000009e-002	-7.000014e-002	-3.914591e-012	0.000000e+000	-4.338791e-012	-4.235028e-012	-4.247383e-012	-4.830155e-012	-4.818511e-012	-9.161557e-008	-9.161557e-008	-1.397157e-007	-1.397157e-007	-7.000009e-002	-7.000014e-002	-7.000009e-002	-7.000014e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	7.456943e-016	6.898460e-016	2.219983e-016	2.219984e-016	2.290283e-016	2.290283e-016	0.000000e+000	-4.118450e-016	6.408733e-016	-1.828167e-016	7.829182e-017	8.677583e-017	3.492774e-016	3.492774e-016	0.000000e+000	3.881628e-016	1.831129e-016	9.594385e-016	-2.290297e-016	-2.290276e-016	0.000000e+000	-5.796187e-017	0.000000e+000	0.000000e+000	-8.239862e-016	3.862671e-016	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.054310719994844e-003	-7.000009e-002	-7.000018e-002	-5.436221e-012	0.000000e+000	-5.889115e-012	-5.770586e-012	-5.783777e-012	-6.465939e-012	-6.452138e-012	-9.161710e-008	-9.161710e-008	-1.776050e-007	-1.776050e-007	-7.000009e-002	-7.000018e-002	-7.000009e-002	-7.000018e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.293956e-023	-1.058791e-022	7.659502e-016	7.975898e-016	2.219984e-016	2.219984e-016	2.290283e-016	2.290283e-016	0.000000e+000	-4.397026e-016	6.687309e-016	-2.106744e-016	1.087244e-016	1.177823e-016	4.439967e-016	4.439967e-016	0.000000e+000	4.600514e-016	2.059437e-016	1.126046e-015	-2.290288e-016	-2.290274e-016	0.000000e+000	-7.759127e-017	0.000000e+000	0.000000e+000	-8.746746e-016	3.666635e-016	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
4.078310719994979e-003	-7.000009e-002	-7.000018e-002	-6.674245e-012	0.000000e+000	-6.992054e-012	-6.943036e-012	-6.952292e-012	-7.381802e-012	-7.372511e-012	-9.161828e-008	-9.161828e-008	-1.804921e-007	-1.804921e-007	-7.000009e-002	-7.000018e-002	-7.000009e-002	-7.000018e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-1.058791e-022	5.456074e-016	5.415462e-016	-1.058791e-022	2.646978e-023	2.290283e-016	2.290283e-016	0.000000e+000	-3.085528e-016	5.375811e-016	-7.952465e-017	1.334849e-016	1.398411e-016	4.512116e-016	4.512117e-016	0.000000e+000	3.097003e-016	1.415113e-016	7.609120e-016	-2.290298e-016	-2.290278e-016	0.000000e+000	-8.858161e-017	0.000000e+000	0.000000e+000	-6.790924e-016	-8.847012e-017	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000000000000000e-003	-7.000009e-002	-7.000018e-002	-7.658874e-012	0.000000e+000	-7.974716e-012	-7.948491e-012	-7.957690e-012	-8.232917e-012	-8.225624e-012	-9.162127e-008	-9.162127e-008	-1.804804e-007	-1.804804e-007	-7.000009e-002	-7.000018e-002	-7.000009e-002	-7.000018e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.355846e-017	4.355803e-017	5.408643e-016	3.082725e-016	-9.327082e-017	-1.924643e-016	2.290333e-016	2.290333e-016	0.000000e+000	-3.066416e-016	5.792333e-016	-3.405023e-017	1.531775e-016	1.594943e-016	4.511803e-016	4.511803e-016	0.000000e+000	2.431011e-016	1.148085e-016	5.018170e-016	-2.290336e-016	-2.290311e-016	0.000000e+000	-1.433307e-016	0.000000e+000	0.000000e+000	-6.940418e-016	-1.432038e-016	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000001942590955e-003	-7.000181e-002	-7.000049e-002	-1.214112e-004	-1.214119e-004	-7.329447e-010	-6.242226e-005	-5.898969e-005	-1.161885e-005	-1.097997e-005	-6.079761e-005	-6.079756e-005	-1.147596e-005	-1.147595e-005	-7.006080e-002	-7.001147e-002	-7.006080e-002	-7.001147e-002	-4.856477e-005	0.000000e+000	-7.000000e-002	0.000000e+000	-6.993327e-003	0.000000e+000	-9.130177e-005	0.000000e+000	-5.244996e-005	0.000000e+000	-6.993327e-003	0.000000e+000	-4.856477e-004	0.000000e+000	-3.558970e-009	3.558971e-009	-1.399364e-007	1.399364e-007	-6.625122e-010	6.625123e-010	-4.061632e-015	4.519700e-015	3.558976e-009	1.144189e-007	-1.179779e-007	1.179779e-007	-1.434622e-014	1.465889e-014	-3.474099e-016	1.249771e-015	6.625131e-010	2.129596e-008	-2.195847e-008	2.195847e-008	4.061440e-015	-4.519733e-015	0.000000e+000	7.122499e-016	0.000000e+000	0.000000e+000	1.399364e-007	-8.330448e-016	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000010011955098e-003	-7.000912e-002	-7.000186e-002	-6.257390e-004	-6.257472e-004	-8.234874e-009	-3.219066e-004	-3.038406e-004	-5.995122e-005	-5.658701e-005	-3.129652e-004	-3.129652e-004	-5.844945e-005	-5.844944e-005	-7.031296e-002	-7.005845e-002	-7.031296e-002	-7.005845e-002	-2.502989e-004	0.000000e+000	-7.000000e-002	0.000000e+000	-3.604304e-002	0.000000e+000	-4.705619e-004	0.000000e+000	-2.703228e-004	0.000000e+000	-3.604304e-002	0.000000e+000	-2.502989e-003	0.000000e+000	-5.462417e-009	5.462418e-009	-7.208221e-007	7.208221e-007	-1.017426e-009	1.017426e-009	-2.235348e-014	2.281155e-014	5.462440e-009	6.022022e-007	-6.076647e-007	6.076647e-007	-1.643848e-013	1.646975e-013	-3.754061e-015	4.656423e-015	1.017430e-009	1.121401e-007	-1.131575e-007	1.131575e-007	2.234988e-014	-2.281235e-014	0.000000e+000	4.121456e-015	0.000000e+000	0.000000e+000	7.208222e-007	-4.049259e-015	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000100000000000e-003	-7.009101e-002	-7.001711e-002	-6.249280e-003	-6.250000e-003	-7.200128e-007	-3.215916e-003	-3.034084e-003	-5.995590e-004	-5.656921e-004	-3.125092e-003	-3.125092e-003	-5.828060e-004	-5.828060e-004	-7.312509e-002	-7.058281e-002	-7.312509e-002	-7.058281e-002	-2.500000e-003	0.000000e+000	-7.000000e-002	0.000000e+000	-3.600000e-001	0.000000e+000	-4.700000e-003	0.000000e+000	-2.700000e-003	0.000000e+000	-3.600000e-001	0.000000e+000	-2.500000e-002	0.000000e+000	-5.627917e-009	5.627917e-009	-7.196657e-006	7.196657e-006	-1.048715e-009	1.048715e-009	-2.270621e-013	2.275202e-013	5.628145e-009	6.061099e-006	-6.066727e-006	6.066727e-006	-1.439994e-011	1.440026e-011	-4.188238e-014	4.278475e-014	1.048757e-009	1.128895e-006	-1.129944e-006	1.129944e-006	2.270763e-013	-2.275600e-013	0.000000e+000	4.097842e-014	0.000000e+000	0.000000e+000	7.196671e-006	-4.167595e-014	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000677044745715e-003	-7.061512e-002	-7.010984e-002	-4.227632e-002	-4.231530e-002	-3.897656e-005	-2.177268e-002	-2.054262e-002	-4.087013e-003	-3.857907e-003	-2.115774e-002	-2.115774e-002	-3.967745e-003	-3.967745e-003	-9.115774e-002	-7.396775e-002	-9.115774e-002	-7.396775e-002	-1.692612e-002	0.000000e+000	-7.000000e-002	0.000000e+000	-3.600000e-001	0.000000e+000	-3.182110e-002	0.000000e+000	-1.828021e-002	0.000000e+000	-3.600000e-001	0.000000e+000	-1.692612e-001	0.000000e+000	-5.444167e-009	5.444166e-009	-4.864437e-005	4.864437e-005	-1.014014e-009	1.014012e-009	-1.537340e-012	1.537798e-012	5.445706e-009	4.100184e-005	-4.100729e-005	4.100729e-005	-7.795308e-010	7.795312e-010	-2.859307e-013	2.868328e-013	1.014299e-009	7.636847e-006	-7.637862e-006	7.637862e-006	1.537299e-012	-1.537678e-012	0.000000e+000	2.867901e-013	0.000000e+000	0.000000e+000	4.864515e-005	-2.870816e-013	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.001256352412001e-003	-7.113963e-002	-7.019558e-002	-7.838793e-002	-7.852203e-002	-1.340935e-004	-4.040055e-002	-3.812147e-002	-7.633982e-003	-7.209489e-003	-3.926110e-002	-3.926110e-002	-7.405065e-003	-7.405065e-003	-1.092611e-001	-7.740507e-002	-1.092611e-001	-7.740507e-002	-3.140881e-002	0.000000e+000	-7.000000e-002	0.000000e+000	-3.600000e-001	0.000000e+000	-5.904856e-002	0.000000e+000	-3.392151e-002	0.000000e+000	-3.600000e-001	0.000000e+000	-3.140881e-001	0.000000e+000	-5.429667e-009	5.429667e-009	-9.012286e-005	9.012286e-005	-1.011313e-009	1.011312e-009	-2.848621e-012	2.849079e-012	5.432517e-009	7.596933e-005	-7.597476e-005	7.597476e-005	-2.681869e-009	2.681869e-009	-5.301657e-013	5.310676e-013	1.011843e-009	1.414978e-005	-1.415079e-005	1.415079e-005	2.848673e-012	-2.849297e-012	0.000000e+000	5.312637e-013	0.000000e+000	0.000000e+000	9.012555e-005	-5.314991e-013	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.002256352412002e-003	-7.204207e-002	-7.035153e-002	-1.406213e-001	-1.410220e-001	-4.007395e-004	-7.255298e-002	-6.846904e-002	-1.383957e-002	-1.307891e-002	-7.051110e-002	-7.051110e-002	-1.343044e-002	-1.343044e-002	-1.405111e-001	-8.343044e-002	-1.405111e-001	-8.343044e-002	-5.640881e-002	0.000000e+000	-7.000000e-002	0.000000e+000	-3.600000e-001	0.000000e+000	-1.060486e-001	0.000000e+000	-6.092152e-002	0.000000e+000	-3.600000e-001	0.000000e+000	-5.640881e-001	0.000000e+000	-5.404726e-009	5.404726e-009	-1.614849e-004	1.614849e-004	-1.006667e-009	1.006667e-009	-5.104691e-012	5.105149e-012	5.409830e-009	1.361312e-004	-1.361366e-004	1.361366e-004	-8.014790e-009	8.014791e-009	-9.503741e-013	9.512760e-013	1.007618e-009	2.535534e-005	-2.535634e-005	2.535634e-005	5.104632e-012	-5.105809e-012	0.000000e+000	9.511558e-013	0.000000e+000	0.000000e+000	1.614929e-004	-9.510628e-013	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.003256352412002e-003	-7.294078e-002	-7.051906e-002	-2.027273e-001	-2.035220e-001	-7.947755e-004	-1.047017e-001	-9.882033e-002	-2.014813e-002	-1.905269e-002	-1.017611e-001	-1.017611e-001	-1.957174e-002	-1.957174e-002	-1.717611e-001	-8.957174e-002	-1.717611e-001	-8.957174e-002	-8.140881e-002	0.000000e+000	-7.000000e-002	0.000000e+000	-3.600000e-001	0.000000e+000	-1.530486e-001	0.000000e+000	-8.792152e-002	0.000000e+000	-3.600000e-001	0.000000e+000	-8.140881e-001	0.000000e+000	-5.379887e-009	5.379888e-009	-2.325510e-004	2.325510e-004	-1.002040e-009	1.002041e-009	-7.351485e-012	7.351943e-012	5.387238e-009	1.960457e-004	-1.960511e-004	1.960511e-004	-1.589551e-008	1.589551e-008	-1.368855e-012	1.369757e-012	1.003410e-009	3.651482e-005	-3.651582e-005	3.651582e-005	7.351034e-012	-7.352329e-012	0.000000e+000	1.370007e-012	0.000000e+000	0.000000e+000	2.325669e-004	-1.369774e-012	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.004256352412002e-003	-7.383537e-002	-7.068581e-002	-2.646914e-001	-2.660220e-001	-1.330614e-003	-1.368463e-001	-1.291757e-001	-2.657131e-002	-2.514262e-002	-1.330111e-001	-1.330111e-001	-2.582844e-002	-2.582844e-002	-2.030111e-001	-9.582844e-002	-2.030111e-001	-9.582844e-002	-1.064088e-001	0.000000e+000	-7.000000e-002	0.000000e+000	-3.600000e-001	0.000000e+000	-2.000486e-001	0.000000e+000	-1.149215e-001	0.000000e+000	-3.600000e-001	0.000000e+000	-1.064088e+000	0.000000e+000	-5.355163e-009	5.355164e-009	-3.032877e-004	3.032877e-004	-9.974352e-010	9.974358e-010	-9.587954e-012	9.588412e-012	5.364751e-009	2.556849e-004	-2.556902e-004	2.556902e-004	-2.661228e-008	2.661228e-008	-1.785412e-012	1.786314e-012	9.992216e-010	4.762302e-005	-4.762402e-005	4.762402e-005	9.587654e-012	-9.587958e-012	0.000000e+000	1.785868e-012	0.000000e+000	0.000000e+000	3.033143e-004	-1.786439e-012	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
