time	V(N012,N005)	V(N013,N007)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002
1.006310719994777e-003	-7.000009e-002	-7.000009e-002
2.030310719994708e-003	-7.000009e-002	-7.000009e-002
3.054310719994844e-003	-7.000009e-002	-7.000009e-002
4.078310719994979e-003	-7.000009e-002	-7.000009e-002
5.000000000000000e-003	-7.000009e-002	-7.000009e-002
5.000001399712213e-003	-7.000131e-002	-7.000131e-002
5.000004199136640e-003	-7.000384e-002	-7.000384e-002
5.000100000000000e-003	-7.009100e-002	-7.009100e-002
5.001772920080102e-003	-7.160132e-002	-7.160132e-002
5.003445840160205e-003	-7.309291e-002	-7.309291e-002
5.005118760240307e-003	-7.456578e-002	-7.456578e-002
5.006791680320409e-003	-7.601993e-002	-7.601993e-002
5.008464600400510e-003	-7.745535e-002	-7.745535e-002
5.010137520480613e-003	-7.887205e-002	-7.887205e-002
5.011810440560715e-003	-8.027002e-002	-8.027002e-002
5.012810440560715e-003	-8.109725e-002	-8.109725e-002
5.013810440560715e-003	-8.191809e-002	-8.191809e-002
5.014810440560715e-003	-8.273259e-002	-8.273259e-002
5.015810440560715e-003	-8.354080e-002	-8.354080e-002
5.016810440560716e-003	-8.434272e-002	-8.434272e-002
5.017810440560716e-003	-8.513844e-002	-8.513844e-002
5.019810440560716e-003	-8.671159e-002	-8.671159e-002
5.021810440560716e-003	-8.826041e-002	-8.826041e-002
5.023810440560717e-003	-8.978540e-002	-8.978540e-002
5.025810440560717e-003	-9.128696e-002	-9.128696e-002
5.028810440560717e-003	-9.349597e-002	-9.349597e-002
5.031810440560718e-003	-9.565419e-002	-9.565419e-002
5.034810440560718e-003	-9.776270e-002	-9.776270e-002
5.035551806194901e-003	-9.827606e-002	-9.827606e-002
5.036293171829085e-003	-9.878663e-002	-9.878663e-002
5.037034537463268e-003	-9.929442e-002	-9.929442e-002
5.037775903097451e-003	-9.979942e-002	-9.979942e-002
5.038517268731634e-003	-1.003016e-001	-1.003016e-001
5.039258634365817e-003	-1.008011e-001	-1.008011e-001
5.040000000000000e-003	-1.012977e-001	-1.012977e-001
5.040100000000001e-003	-1.012737e-001	-1.012737e-001
5.040300000000000e-003	-1.012251e-001	-1.012251e-001
5.046328571428572e-003	-9.980536e-002	-9.980536e-002
