time	V(N012,N005)	V(N013,N007)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002
1.006310719994777e-003	-7.000009e-002	-7.000009e-002
2.030310719994708e-003	-7.000009e-002	-7.000009e-002
3.054310719994844e-003	-7.000009e-002	-7.000009e-002
4.078310719994979e-003	-7.000009e-002	-7.000009e-002
5.000000000000000e-003	-7.000009e-002	-7.000009e-002
5.000001528777893e-003	-7.000143e-002	-7.000077e-002
5.000004586333677e-003	-7.000419e-002	-7.000217e-002
5.000100000000000e-003	-7.009100e-002	-7.004622e-002
5.002166367881656e-003	-7.195814e-002	-7.099359e-002
5.004232735763312e-003	-7.380362e-002	-7.192996e-002
5.006299103644968e-003	-7.562744e-002	-7.285535e-002
5.008365471526625e-003	-7.742961e-002	-7.376975e-002
5.010431839408281e-003	-7.921011e-002	-7.467316e-002
5.012498207289937e-003	-8.096896e-002	-7.556558e-002
5.014564575171593e-003	-8.270615e-002	-7.644701e-002
5.015564575171593e-003	-8.353955e-002	-7.686988e-002
5.016564575171593e-003	-8.436811e-002	-7.729024e-002
5.017564575171593e-003	-8.519179e-002	-7.770818e-002
5.019564575171593e-003	-8.682477e-002	-7.853681e-002
5.021564575171594e-003	-8.843881e-002	-7.935572e-002
5.023564575171594e-003	-9.003407e-002	-8.016515e-002
5.025564575171594e-003	-9.161085e-002	-8.096510e-002
5.028564575171595e-003	-9.394157e-002	-8.214778e-002
5.031564575171595e-003	-9.623170e-002	-8.330977e-002
5.034564575171595e-003	-9.848213e-002	-8.445156e-002
5.035341064432796e-003	-9.905806e-002	-8.474376e-002
5.036117553693997e-003	-9.963150e-002	-8.503470e-002
5.036894042955198e-003	-1.002025e-001	-8.532439e-002
5.037670532216398e-003	-1.007709e-001	-8.561283e-002
5.038447021477599e-003	-1.013369e-001	-8.590001e-002
5.039223510738799e-003	-1.019004e-001	-8.618593e-002
5.040000000000000e-003	-1.024613e-001	-8.647060e-002
5.040100000000001e-003	-1.024425e-001	-8.646095e-002
5.040300000000000e-003	-1.024046e-001	-8.644176e-002
5.046328571428572e-003	-1.012854e-001	-8.587387e-002
5.052357142857145e-003	-1.002020e-001	-8.532419e-002
5.058385714285717e-003	-9.915453e-002	-8.479272e-002
5.064414285714289e-003	-9.814295e-002	-8.427945e-002
