time	V(N012,N005)	V(N013,N007)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002
1.006310719994777e-003	-7.000009e-002	-7.000009e-002
2.030310719994708e-003	-7.000009e-002	-7.000009e-002
3.054310719994844e-003	-7.000009e-002	-7.000009e-002
4.078310719994979e-003	-7.000009e-002	-7.000009e-002
5.000000000000000e-003	-7.000009e-002	-7.000009e-002
5.000001399937283e-003	-7.000131e-002	-7.000091e-002
5.000004199811848e-003	-7.000384e-002	-7.000261e-002
5.000100000000000e-003	-7.009100e-002	-7.006129e-002
5.002040673822956e-003	-7.184387e-002	-7.124133e-002
5.003981347645911e-003	-7.357557e-002	-7.240712e-002
5.005922021468866e-003	-7.528613e-002	-7.355867e-002
5.007862695291821e-003	-7.697553e-002	-7.469598e-002
5.009803369114776e-003	-7.864378e-002	-7.581904e-002
5.011744042937731e-003	-8.029087e-002	-7.692787e-002
5.013684716760686e-003	-8.191681e-002	-7.802245e-002
5.014684716760687e-003	-8.274686e-002	-7.858127e-002
5.015684716760687e-003	-8.357158e-002	-7.913646e-002
5.016684716760687e-003	-8.439094e-002	-7.968807e-002
5.017684716760687e-003	-8.520502e-002	-8.023608e-002
5.019684716760687e-003	-8.681744e-002	-8.132154e-002
5.021684716760688e-003	-8.840901e-002	-8.239299e-002
5.023684716760688e-003	-8.998007e-002	-8.345062e-002
5.025684716760688e-003	-9.153080e-002	-8.449459e-002
5.028684716760688e-003	-9.381956e-002	-8.603543e-002
5.031684716760689e-003	-9.606421e-002	-8.754653e-002
5.034684716760689e-003	-9.826553e-002	-8.902848e-002
5.035444042937733e-003	-9.881579e-002	-8.939896e-002
5.036203369114778e-003	-9.936347e-002	-8.976768e-002
5.036962695291822e-003	-9.990857e-002	-9.013466e-002
5.037722021468867e-003	-1.004511e-001	-9.049988e-002
5.038481347645911e-003	-1.009910e-001	-9.086335e-002
5.039240673822956e-003	-1.015284e-001	-9.122507e-002
5.040000000000000e-003	-1.020632e-001	-9.158504e-002
5.040100000000001e-003	-1.020426e-001	-9.157109e-002
5.040300000000000e-003	-1.020010e-001	-9.154308e-002
5.046328571428572e-003	-1.007773e-001	-9.071935e-002
5.052357142857145e-003	-9.959660e-002	-8.992458e-002
5.058385714285717e-003	-9.845901e-002	-8.915877e-002
