time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	V(nc_01)	V(nc_02)	V(nc_03)	V(nc_04)	V(nc_05)	V(nc_06)	I(C1)	I(C2)	I(C3)	I(C4)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(V1)	I(V2)	I(V3)	I(V4)	I(V5)	I(V6)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	0.000000e+000	-2.100000e-020	-2.100000e-020	-2.121000e-020	-2.121000e-020	-2.120998e-020	-2.120998e-020	-7.000000e-002	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	4.200000e-025	4.200000e-025	1.050000e-038	1.050000e-038	-4.206447e-035	-4.206447e-035	0.000000e+000	0.000000e+000	4.200000e-025	4.200000e-025	4.200000e-025	4.200000e-025	-1.275182e-043	-1.275182e-043	-4.200000e-025	0.000000e+000	0.000000e+000	0.000000e+000
1.006310719994777e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-1.382160e-012	-1.382160e-012	-1.496674e-012	-1.496674e-012	-9.161283e-008	-9.161283e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	2.013852e-016	2.013852e-016	2.290283e-016	2.290283e-016	0.000000e+000	-9.929129e-029	2.290284e-016	2.290284e-016	2.764320e-017	2.764320e-017	6.481738e-016	6.481738e-016	-2.290284e-016	0.000000e+000	0.000000e+000	0.000000e+000
2.030310719994708e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-1.786264e-012	-1.786264e-012	-1.900778e-012	-1.900778e-012	-9.161322e-008	-9.161322e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	1.933031e-016	1.933031e-016	2.290283e-016	2.290283e-016	0.000000e+000	-9.424258e-029	2.290283e-016	2.290283e-016	3.572529e-017	3.572529e-017	-2.280934e-017	-2.280934e-017	-2.290283e-016	0.000000e+000	0.000000e+000	0.000000e+000
3.054310719994844e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-2.174151e-012	-2.174151e-012	-2.288665e-012	-2.288665e-012	-9.161361e-008	-9.161361e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	1.855453e-016	1.855453e-016	2.290283e-016	2.290283e-016	0.000000e+000	-9.424258e-029	2.290283e-016	2.290283e-016	4.348302e-017	4.348302e-017	1.945806e-016	1.945806e-016	-2.290283e-016	0.000000e+000	0.000000e+000	0.000000e+000
4.078310719994979e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-2.546470e-012	-2.546470e-012	-2.660984e-012	-2.660984e-012	-9.161398e-008	-9.161398e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	1.780989e-016	1.780989e-016	2.290283e-016	2.290283e-016	0.000000e+000	-9.424258e-029	2.290283e-016	2.290283e-016	5.092941e-017	5.092941e-017	-3.193181e-017	-3.193181e-017	-2.290283e-016	0.000000e+000	0.000000e+000	0.000000e+000
5.000000000000000e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-2.868820e-012	-2.868820e-012	-3.005173e-012	-3.005173e-012	-9.161633e-008	-9.161633e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	4.367238e-017	4.367238e-017	2.153293e-016	2.153293e-016	2.290333e-016	2.290333e-016	0.000000e+000	-9.424258e-029	2.727057e-016	2.727057e-016	5.737640e-017	5.737640e-017	-5.231847e-017	-5.231847e-017	-2.727057e-016	0.000000e+000	0.000000e+000	0.000000e+000
5.000002304318532e-003	-7.000213e-002	-6.999804e-002	-1.440199e-004	-1.440191e-004	-8.627785e-010	-7.405529e-005	-6.996462e-005	-7.210160e-005	-7.210155e-005	-7.007210e-002	-7.007210e-002	-5.760796e-005	0.000000e+000	-5.760796e-002	0.000000e+000	-7.000000e-002	0.000000e+000	-3.571769e-009	3.571769e-009	-1.399275e-007	1.399275e-007	-4.884263e-015	5.342329e-015	3.571774e-009	1.363557e-007	-1.399275e-007	1.399275e-007	-1.714082e-014	1.725557e-014	4.944977e-015	-5.618531e-015	1.399275e-007	0.000000e+000	0.000000e+000	0.000000e+000
5.000011470138907e-003	-7.001046e-002	-6.998974e-002	-7.168837e-004	-7.168746e-004	-9.067413e-009	-3.688021e-004	-3.480816e-004	-3.585335e-004	-3.585334e-004	-7.035854e-002	-7.035854e-002	-2.867535e-004	0.000000e+000	-2.867535e-001	0.000000e+000	-7.000000e-002	0.000000e+000	-5.462236e-009	5.462236e-009	-6.961449e-007	6.961449e-007	-2.567150e-014	2.612957e-014	5.462261e-009	6.906828e-007	-6.961451e-007	6.961451e-007	-1.812335e-013	1.813482e-013	2.616348e-014	-2.598885e-014	6.961451e-007	0.000000e+000	0.000000e+000	0.000000e+000
5.000100000000000e-003	-7.009101e-002	-6.990917e-002	-6.250000e-003	-6.249393e-003	-6.070697e-007	-3.215920e-003	-3.034080e-003	-3.125092e-003	-3.125092e-003	-7.312509e-002	-7.312509e-002	-2.500000e-003	0.000000e+000	-2.500000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	-5.603106e-009	5.603105e-009	-6.066934e-006	6.066934e-006	-2.270712e-013	2.275293e-013	5.603332e-009	6.061342e-006	-6.066945e-006	6.066945e-006	-1.214128e-011	1.214139e-011	2.259017e-013	-2.269378e-013	6.066945e-006	0.000000e+000	0.000000e+000	0.000000e+000
5.002639027374472e-003	-7.238884e-002	-6.761133e-002	-1.649392e-001	-1.644862e-001	-4.530037e-004	-8.485837e-002	-8.008085e-002	-8.246970e-002	-8.246970e-002	-1.524697e-001	-1.524697e-001	-6.597568e-002	0.000000e+000	-2.500000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	-5.483424e-009	5.483423e-009	-1.592466e-004	1.592466e-004	-5.971653e-012	5.972112e-012	5.489393e-009	1.592502e-004	-1.592557e-004	1.592557e-004	-9.060072e-009	9.060072e-009	5.968069e-012	-5.969990e-012	1.592557e-004	0.000000e+000	0.000000e+000	0.000000e+000
5.005178054748944e-003	-7.466476e-002	-6.533540e-002	-3.236284e-001	-3.219707e-001	-1.657742e-003	-1.664789e-001	-1.571495e-001	-1.618143e-001	-1.618143e-001	-2.318143e-001	-2.318143e-001	-1.294514e-001	0.000000e+000	-2.500000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	-5.379446e-009	5.379445e-009	-3.109504e-004	3.109504e-004	-1.166145e-011	1.166191e-011	5.391104e-009	3.109782e-004	-3.109836e-004	3.109836e-004	-3.315483e-008	3.315483e-008	1.165646e-011	-1.165926e-011	3.109836e-004	0.000000e+000	0.000000e+000	0.000000e+000
5.007717082123416e-003	-7.691877e-002	-6.308139e-002	-4.823177e-001	-4.787028e-001	-3.614822e-003	-2.480775e-001	-2.342401e-001	-2.411589e-001	-2.411589e-001	-3.111589e-001	-3.111589e-001	-1.929271e-001	0.000000e+000	-2.500000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	-5.291171e-009	5.291171e-009	-4.611783e-004	4.611783e-004	-1.729647e-011	1.729693e-011	5.308465e-009	4.612453e-004	-4.612506e-004	4.612506e-004	-7.229643e-008	7.229643e-008	1.729106e-011	-1.729475e-011	4.612506e-004	0.000000e+000	0.000000e+000	0.000000e+000
