time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	V(nc_01)	V(nc_02)	V(nc_03)	V(nc_04)	V(nc_05)	V(nc_06)	V(nc_07)	V(nc_08)	I(C1)	I(C2)	I(C3)	I(C4)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(V1)	I(V2)	I(V3)	I(V4)	I(V5)	I(V6)	I(V7)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	0.000000e+000	-2.100000e-020	-2.100000e-020	-2.121000e-020	-2.121000e-020	-2.120998e-020	-2.120998e-020	-7.000000e-002	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	4.200000e-025	4.200000e-025	1.050000e-038	1.050000e-038	-4.206447e-035	-4.206447e-035	0.000000e+000	0.000000e+000	4.200000e-025	4.200000e-025	4.200000e-025	4.200000e-025	-1.275182e-043	-1.275182e-043	-4.200000e-025	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.006310719994777e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-1.382160e-012	-1.382160e-012	-1.496674e-012	-1.496674e-012	-9.161283e-008	-9.161283e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.013852e-016	2.013852e-016	2.290283e-016	2.290283e-016	0.000000e+000	1.009742e-028	2.290284e-016	2.290284e-016	2.764320e-017	2.764320e-017	6.481738e-016	6.481738e-016	-2.290284e-016	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
2.030310719994708e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-1.786264e-012	-1.786264e-012	-1.900778e-012	-1.900778e-012	-9.161322e-008	-9.161322e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.933031e-016	1.933031e-016	2.290283e-016	2.290283e-016	0.000000e+000	9.424258e-029	2.290283e-016	2.290283e-016	3.572529e-017	3.572529e-017	-2.280934e-017	-2.280934e-017	-2.290283e-016	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.054310719994844e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-2.174151e-012	-2.174151e-012	-2.288665e-012	-2.288665e-012	-9.161361e-008	-9.161361e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.855453e-016	1.855453e-016	2.290283e-016	2.290283e-016	0.000000e+000	9.760839e-029	2.290283e-016	2.290283e-016	4.348302e-017	4.348302e-017	1.945806e-016	1.945806e-016	-2.290283e-016	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
4.078310719994979e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-2.546470e-012	-2.546470e-012	-2.660984e-012	-2.660984e-012	-9.161398e-008	-9.161398e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.780989e-016	1.780989e-016	2.290283e-016	2.290283e-016	0.000000e+000	9.760839e-029	2.290283e-016	2.290283e-016	5.092941e-017	5.092941e-017	-3.193181e-017	-3.193181e-017	-2.290283e-016	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000000000000000e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-2.868820e-012	-2.868820e-012	-3.005173e-012	-3.005173e-012	-9.161633e-008	-9.161633e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	4.367238e-017	4.367238e-017	2.153293e-016	2.153293e-016	2.290333e-016	2.290333e-016	0.000000e+000	1.211690e-028	2.727057e-016	2.727057e-016	5.737640e-017	5.737640e-017	-5.231847e-017	-5.231847e-017	-2.727057e-016	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000001000000000e-003	-7.343788e-002	-6.656229e-002	-2.500000e-001	-2.499993e-001	-6.484505e-007	-1.284379e-001	-1.215621e-001	-1.250002e-001	-1.250000e-001	-1.950000e-001	-1.950002e-001	-2.500000e-005	0.000000e+000	-2.500000e-002	0.000000e+000	-7.000000e-002	0.000000e+000	-6.250000e-005	0.000000e+000	-1.393067e-005	1.393067e-005	-2.431229e-004	2.431229e-004	-8.594307e-012	8.594765e-012	1.393068e-005	2.291923e-004	-2.431229e-004	2.431229e-004	-1.296889e-011	1.296901e-011	8.595173e-012	-8.595119e-012	2.431229e-004	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000003000000000e-003	-8.060372e-002	-5.939645e-002	-7.500000e-001	-7.499972e-001	-2.800720e-006	-3.856038e-001	-3.643962e-001	-3.750002e-001	-3.750000e-001	-4.450000e-001	-4.450002e-001	-7.500000e-005	0.000000e+000	-7.500000e-002	0.000000e+000	-7.000000e-002	0.000000e+000	-1.875000e-004	0.000000e+000	-2.186946e-005	2.186946e-005	-7.287868e-004	7.287868e-004	-2.650890e-011	2.650936e-011	2.186949e-005	7.069174e-004	-7.287869e-004	7.287869e-004	-5.601428e-011	5.601439e-011	2.649983e-011	-2.650408e-011	7.287869e-004	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000009070830180e-003	-1.027074e-001	-3.729272e-002	-2.267708e+000	-2.267687e+000	-2.056658e-005	-1.166561e+000	-1.101146e+000	-1.133854e+000	-1.133854e+000	-1.203854e+000	-1.203854e+000	-2.267708e-004	0.000000e+000	-2.267708e-001	0.000000e+000	-7.000000e-002	0.000000e+000	-5.669269e-004	0.000000e+000	-2.175553e-005	2.175553e-005	-2.202251e-003	2.202251e-003	-8.176810e-011	8.176856e-011	2.175562e-005	2.180496e-003	-2.202252e-003	2.202252e-003	-4.113315e-010	4.113316e-010	8.176343e-011	-8.176444e-011	2.202252e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000010000000000e-003	-1.060807e-001	-3.391945e-002	-2.500000e+000	-2.499975e+000	-2.452684e-005	-1.286081e+000	-1.213919e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-2.500000e-004	0.000000e+000	-2.500000e-001	0.000000e+000	-7.000000e-002	0.000000e+000	-6.250000e-004	0.000000e+000	-2.240893e-005	2.240893e-005	-2.427789e-003	2.427789e-003	-9.020126e-011	9.020172e-011	2.240902e-005	2.405381e-003	-2.427790e-003	2.427790e-003	-4.905367e-010	4.905368e-010	9.019858e-011	-9.020168e-011	2.427790e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
