,A,B
2839,Step Information: X=650  (Run: 7/11),
2840,0.000000000000000e+000,-0.07
2841,9.999999960041972e-012,-0.07
2842,1.999999992008394e-011,-0.07
2843,3.999999984016789e-011,-0.07
2844,4.499999982018887e-011,-0.07
2845,5.499999978023085e-011,-0.07
2846,7.499999970031479e-011,-0.07
2847,7.999999968033578e-011,-0.07
2848,8.999999964037775e-011,-0.07
2849,1.099999995604617e-010,-0.07
2850,1.499999994006296e-010,-0.07
2851,1.599999993606716e-010,-0.07
2852,1.799999992807555e-010,-0.07
2853,2.199999991209234e-010,-0.07
2854,2.999999988012592e-010,-0.07
2855,4.599999981619307e-010,-0.07
2856,7.799999968832738e-010,-0.07
2857,1.419999994325960e-009,-0.07
2858,2.699999989211332e-009,-0.07
2859,5.259999978982077e-009,-0.07
2860,1.037999995852357e-008,-0.07
2861,2.061999991760655e-008,-0.07
2862,4.109999983577251e-008,-0.07
2863,8.205999967210442e-008,-0.07
2864,1.639799993447683e-007,-0.07
2865,3.278199986900959e-007,-0.07
2866,6.554999973807513e-007,-0.07
2867,1.310859994762062e-006,-0.07
2868,2.310859994762062e-006,-0.07
2869,2.031085999476207e-005,-0.07
2870,7.303108599947733e-004,-0.07000007
2871,9.963108599947777e-004,-0.07000009
2872,1.837310859994707e-003,-0.07000013
2873,2.020310859994706e-003,-0.07000014
2874,3.044310859994842e-003,-0.07000018
2875,4.068310859994978e-003,-0.07000022
2876,4.998310859995101e-003,-0.07000025
2877,4.999310859995101e-003,-0.07000025
2878,5.000000000000000e-003,-0.07000025
2879,5.000004026604591e-003,-0.07000164
2880,5.000012079813771e-003,-0.07000443
2881,5.000019647478404e-003,-0.07000706
2882,5.000026985196438e-003,-0.0700096
2883,5.000041660632506e-003,-0.0700147
2884,5.000071011504642e-003,-0.07002489
2885,5.000100000000000e-003,-0.07003494
2886,5.000103284232630e-003,-0.07003609
2887,5.000109852697891e-003,-0.07003837
2888,5.000122989628411e-003,-0.07004293
2889,5.000149263489452e-003,-0.07005206
2890,5.000201811211534e-003,-0.07007034
2891,5.000306906655698e-003,-0.07010701
2892,5.000517097544025e-003,-0.07018075
2893,5.000937479320680e-003,-0.07032981
2894,5.001778242873989e-003,-0.07062628
2895,5.002778242873989e-003,-0.07097126
2896,5.003778242873990e-003,-0.07131214
2897,5.004778242873990e-003,-0.07165113
2898,5.005778242873990e-003,-0.07198827
2899,5.006778242873990e-003,-0.0723235
2900,5.007778242873990e-003,-0.0726569
2901,5.008778242873990e-003,-0.07298845
2902,5.009778242873990e-003,-0.07331815
2903,5.010778242873991e-003,-0.07364601
2904,5.011778242873991e-003,-0.07397211
2905,5.012778242873991e-003,-0.07429636
2906,5.013778242873991e-003,-0.07461882
2907,5.014778242873991e-003,-0.07493949
2908,5.015778242873991e-003,-0.07525843
2909,5.017778242873991e-003,-0.07589093
2910,5.019778242873992e-003,-0.07651645
2911,5.021778242873992e-003,-0.07713509
2912,5.023778242873992e-003,-0.07774693
2913,5.026778242873993e-003,-0.07865196
2914,5.029778242873993e-003,-0.0795421
2915,5.032778242873993e-003,-0.08041751
2916,5.035778242873994e-003,-0.0812785
2917,5.039778242873994e-003,-0.08240443
2918,5.043778242873995e-003,-0.08350563
2919,5.048778242873996e-003,-0.08484828
2920,5.053778242873996e-003,-0.08615422
2921,5.059778242873997e-003,-0.08767414
2922,5.066778242873998e-003,-0.08938503
2923,5.074778242873999e-003,-0.09126055
2924,5.077778242873999e-003,-0.09194291
2925,5.086778242874001e-003,-0.09392285
2926,5.097778242874002e-003,-0.09621286
2927,5.098778242874002e-003,-0.09641409
2928,5.099778242874002e-003,-0.09660816
2929,5.100000000000000e-003,-0.0966506
2930,5.100100000000001e-003,-0.09663582
2931,5.100300000000000e-003,-0.09660578
2932,5.100700000000001e-003,-0.09654546
2933,5.101500000000000e-003,-0.09642529
2934,5.102500000000000e-003,-0.09627819
2935,5.103500000000000e-003,-0.09613276
2936,5.118500000000002e-003,-0.09404898
2937,5.136500000000005e-003,-0.09176862
2938,5.157500000000008e-003,-0.08938289
2939,5.181500000000011e-003,-0.08697832
2940,5.206500000000014e-003,-0.08479439999999999
2941,5.231500000000017e-003,-0.08289564
2942,5.256500000000021e-003,-0.08124471
2943,5.281500000000024e-003,-0.07980931
2944,5.306500000000027e-003,-0.07856119
2945,5.331500000000031e-003,-0.07747626
2946,5.356500000000034e-003,-0.07653284
2947,5.381500000000037e-003,-0.07571256
2948,5.406500000000041e-003,-0.07499945
2949,5.431500000000044e-003,-0.07437932
2950,5.456500000000047e-003,-0.07384026
2951,5.481500000000051e-003,-0.07337141
2952,5.506500000000054e-003,-0.07296395
2953,5.531500000000057e-003,-0.07260954
2954,5.556500000000061e-003,-0.07230151
2955,5.581500000000064e-003,-0.07203376
2956,5.606500000000067e-003,-0.07180083
2957,5.631500000000071e-003,-0.07159829
2958,5.656500000000074e-003,-0.07142222
2959,5.681500000000077e-003,-0.07126915
2960,5.706500000000080e-003,-0.07113624
2961,5.731500000000084e-003,-0.07102036
2962,5.756500000000087e-003,-0.07091987
2963,5.781500000000090e-003,-0.07083249
2964,5.806500000000094e-003,-0.07075644
2965,5.831500000000097e-003,-0.07069016
2966,5.856500000000100e-003,-0.07063282
2967,5.881500000000104e-003,-0.07058275
2968,5.906500000000107e-003,-0.07053936
2969,5.931500000000110e-003,-0.07050157
2970,5.956500000000114e-003,-0.07046878
2971,5.981500000000117e-003,-0.07044017
2972,6.006500000000120e-003,-0.07041538
2973,6.031500000000124e-003,-0.07039392
2974,6.056500000000127e-003,-0.0703752
2975,6.081500000000130e-003,-0.07035875
2976,6.098500000000133e-003,-0.07034898
2977,6.123500000000136e-003,-0.07033598
2978,6.148500000000139e-003,-0.0703249
2979,6.173500000000142e-003,-0.07031512
2980,6.199500000000146e-003,-0.07030642
2981,6.225500000000149e-003,-0.07029879
2982,6.251500000000153e-003,-0.07029235
2983,6.277500000000156e-003,-0.07028651
2984,6.303500000000160e-003,-0.07028174
2985,6.329500000000163e-003,-0.07027745
2986,6.356500000000167e-003,-0.07027364
2987,6.383500000000170e-003,-0.07027054
2988,6.410500000000174e-003,-0.07026768
2989,6.438500000000178e-003,-0.07026517
2990,6.466500000000181e-003,-0.07026315
2991,6.495500000000185e-003,-0.07026112
2992,6.524500000000189e-003,-0.07025957
2993,6.554500000000193e-003,-0.07025826
2994,6.585500000000197e-003,-0.07025707
2995,6.617500000000201e-003,-0.07025599
2996,6.650500000000206e-003,-0.07025504
2997,6.685500000000210e-003,-0.07025433
2998,6.722500000000215e-003,-0.07025373
2999,6.761500000000221e-003,-0.07025301
3000,6.803500000000226e-003,-0.07025266
3001,6.849500000000232e-003,-0.07025218
3002,6.900500000000239e-003,-0.07025194
3003,6.957500000000247e-003,-0.0702517
3004,7.023500000000255e-003,-0.07025146
3005,7.102500000000266e-003,-0.07025135
3006,7.122500000000268e-003,-0.07025123
3007,7.227500000000282e-003,-0.07025123
3008,7.374500000000302e-003,-0.07025123
3009,7.623500000000335e-003,-0.07025135
3010,8.146500000000114e-003,-0.07025146
3011,9.170499999999362e-003,-0.07025182
3012,1.019449999999861e-002,-0.07025206
3013,1.121849999999786e-002,-0.0702523
3014,1.224249999999711e-002,-0.07025242
3015,1.326649999999635e-002,-0.07025242
3016,1.429049999999560e-002,-0.07025242
3017,1.531449999999485e-002,-0.07025254
3018,1.633849999999533e-002,-0.07025254
3019,1.736249999999636e-002,-0.07025254
3020,1.838649999999738e-002,-0.07025254
3021,1.941049999999841e-002,-0.07025254
3022,2.043449999999943e-002,-0.07025254
3023,2.145850000000045e-002,-0.07025254
3024,2.248250000000148e-002,-0.07025254
3025,2.350650000000250e-002,-0.07025254
3026,2.453050000000353e-002,-0.07025254
3027,2.499850000000399e-002,-0.07025254
3028,2.499950000000399e-002,-0.07025254
3029,2.500000000000000e-002,-0.07025254
3030,2.500002000000000e-002,-0.07024562
3031,2.500006000000000e-002,-0.0702318
3032,2.500014000000000e-002,-0.0702039
3033,2.500020000000000e-002,-0.07018316
3034,2.500021600000000e-002,-0.07017767
3035,2.500024800000000e-002,-0.07016659
3036,2.500031200000000e-002,-0.07014418
3037,2.500044000000000e-002,-0.07009959
3038,2.500069600000000e-002,-0.07000959
3039,2.500120799999999e-002,-0.06982744
3040,2.500220800000000e-002,-0.06947684
3041,2.500320800000000e-002,-0.06913483
3042,2.500720800000000e-002,-0.06778586
3043,2.501220800000001e-002,-0.06614119
3044,2.501920800000001e-002,-0.063914
3045,2.502820800000002e-002,-0.06117481
3046,2.503920800000003e-002,-0.05800742
3047,2.504820800000004e-002,-0.05555582
3048,2.505320800000005e-002,-0.05424578
3049,2.505420800000005e-002,-0.0539881
3050,2.505720800000005e-002,-0.05322357
3051,2.505920800000005e-002,-0.05272089
3052,2.506120800000005e-002,-0.05222375
3053,2.506220800000006e-002,-0.05197724
3054,2.506520800000006e-002,-0.05124585
3055,2.507320800000007e-002,-0.04935385
3056,2.508620800000008e-002,-0.04645252
3057,2.510520800000010e-002,-0.04257029
3058,2.512620800000012e-002,-0.03872776
3059,2.514720800000014e-002,-0.03530538
3060,2.516720800000016e-002,-0.03239405
3061,2.518520800000018e-002,-0.03003359
3062,2.519820800000019e-002,-0.02846837
3063,2.519920800000019e-002,-0.02835345
3064,2.520000000000000e-002,-0.02826595
3065,2.520010000000000e-002,-0.02828932
3066,2.520030000000000e-002,-0.02833605
3067,2.520070000000000e-002,-0.02843118
3068,2.520150000000000e-002,-0.02862
3069,2.520250000000000e-002,-0.02885151
3070,2.520350000000000e-002,-0.02907968
3071,2.521250000000001e-002,-0.03107738
3072,2.521950000000002e-002,-0.03256297
3073,2.522550000000002e-002,-0.03379107
3074,2.522950000000003e-002,-0.03458691
3075,2.523150000000003e-002,-0.03497815
3076,2.523350000000003e-002,-0.03536534
3077,2.523550000000003e-002,-0.035748
3078,2.523950000000004e-002,-0.03650069
3079,2.524550000000004e-002,-0.03759861
3080,2.525250000000005e-002,-0.03883362
3081,2.526150000000006e-002,-0.04035234
3082,2.527250000000007e-002,-0.04210734
3083,2.528550000000008e-002,-0.04404712
3084,2.530150000000010e-002,-0.04624879
3085,2.531950000000012e-002,-0.04850101
3086,2.534050000000014e-002,-0.05085731
3087,2.536450000000016e-002,-0.05323195
3088,2.538950000000019e-002,-0.05538893
3089,2.541450000000021e-002,-0.05726421
3090,2.543950000000024e-002,-0.05889487
3091,2.546450000000026e-002,-0.06031227
3092,2.548950000000029e-002,-0.06154501
3093,2.551450000000031e-002,-0.06261659
3094,2.553950000000034e-002,-0.06354833
3095,2.554250000000034e-002,-0.06365168
3096,2.556750000000036e-002,-0.06444824
3097,2.559250000000039e-002,-0.06514084
3098,2.561750000000041e-002,-0.06574309
3099,2.564250000000044e-002,-0.06626666
3100,2.566750000000046e-002,-0.06672180000000001
3101,2.569250000000049e-002,-0.06711757
3102,2.571750000000051e-002,-0.06746173
3103,2.574250000000054e-002,-0.06776083
3104,2.576750000000056e-002,-0.06802094
3105,2.579250000000059e-002,-0.0682472
3106,2.581750000000061e-002,-0.06844366
3107,2.584250000000064e-002,-0.06861472
3108,2.586750000000066e-002,-0.06876326
3109,2.589250000000069e-002,-0.06889248
3110,2.591750000000071e-002,-0.06900489
3111,2.594250000000074e-002,-0.06910253
3112,2.596750000000076e-002,-0.0691874
3113,2.599250000000079e-002,-0.06926131
3114,2.601750000000081e-002,-0.06932545
3115,2.604250000000084e-002,-0.06938124
3116,2.606750000000086e-002,-0.06942976
3117,2.609250000000089e-002,-0.06947184
3118,2.611750000000091e-002,-0.06950855
3119,2.614250000000094e-002,-0.06954038
3120,2.616750000000096e-002,-0.06956804
3121,2.619250000000099e-002,-0.069592
3122,2.621750000000101e-002,-0.06961310000000001
3123,2.624250000000104e-002,-0.06963122
3124,2.626750000000106e-002,-0.06964707
3125,2.629250000000109e-002,-0.06966078
3126,2.631750000000111e-002,-0.0696727
3127,2.634250000000114e-002,-0.06968307
3128,2.636850000000117e-002,-0.06969237
3129,2.639450000000119e-002,-0.06970048
3130,2.642050000000122e-002,-0.06970751
3131,2.644650000000124e-002,-0.06971359
3132,2.647250000000127e-002,-0.06971872
3133,2.649850000000130e-002,-0.06972325
3134,2.652550000000132e-002,-0.0697273
3135,2.655250000000135e-002,-0.06973064
3136,2.656650000000136e-002,-0.06973231
3137,2.659350000000139e-002,-0.06973505
3138,2.662150000000142e-002,-0.06973755
3139,2.664950000000145e-002,-0.06973946
3140,2.667850000000148e-002,-0.06974137
3141,2.670750000000150e-002,-0.06974292
3142,2.673750000000153e-002,-0.06974423
3143,2.676850000000157e-002,-0.06974542
3144,2.680050000000160e-002,-0.06974638
3145,2.683450000000163e-002,-0.06974721
3146,2.686950000000167e-002,-0.06974804
3147,2.690650000000170e-002,-0.06974864
3148,2.694550000000174e-002,-0.06974912
3149,2.698750000000178e-002,-0.06974959
3150,2.703350000000183e-002,-0.06974995
3151,2.708450000000188e-002,-0.06975019
3152,2.714150000000194e-002,-0.06975043
3153,2.720750000000200e-002,-0.06975055
3154,2.728650000000208e-002,-0.06975067
3155,2.738650000000218e-002,-0.06975079
3156,2.752350000000232e-002,-0.06975055
3157,2.759050000000239e-002,-0.06975055
3158,2.787750000000267e-002,-0.06975031
3159,2.861450000000341e-002,-0.06974971
3160,2.963850000000444e-002,-0.06974912
3161,3.066250000000546e-002,-0.06974876
3162,3.168650000000648e-002,-0.06974852
3163,3.271050000000750e-002,-0.06974828
3164,3.373450000000853e-002,-0.06974816
3165,3.475850000000955e-002,-0.06974816
3166,3.578250000001058e-002,-0.06974804
3167,3.680650000001160e-002,-0.06974804
3168,3.783050000001263e-002,-0.06974804
3169,3.885450000001365e-002,-0.06974804
3170,3.987850000001467e-002,-0.06974804
3171,4.090250000001570e-002,-0.06974804
3172,4.192650000001672e-002,-0.06974804
3173,4.295050000001775e-002,-0.06974792
3174,4.397450000001877e-002,-0.06974792
3175,4.499850000001979e-002,-0.06974792
3176,4.499950000001979e-002,-0.06974792
3177,4.500000000000000e-002,-0.06974792
3178,4.500001000000000e-002,-0.06975138
3179,4.500003000000000e-002,-0.06975842
3180,4.500007000000000e-002,-0.06977224
3181,4.500010000000000e-002,-0.06978261
3182,4.500010800000000e-002,-0.06978548
3183,4.500012400000000e-002,-0.06979096
3184,4.500015600000001e-002,-0.06980205
3185,4.500022000000001e-002,-0.06982434
3186,4.500034800000001e-002,-0.06986904
3187,4.500060400000001e-002,-0.06995904
3188,4.500111600000003e-002,-0.07014143
3189,4.500211600000003e-002,-0.07049215
3190,4.500311600000003e-002,-0.07083439999999999
3191,4.500711600000003e-002,-0.07218409
3192,4.501211600000004e-002,-0.07382947
3193,4.501911600000005e-002,-0.07605779
3194,4.502811600000006e-002,-0.07879841
3195,4.503911600000007e-002,-0.08196744
3196,4.504811600000008e-002,-0.08442025
3197,4.505311600000008e-002,-0.08573096
3198,4.505411600000008e-002,-0.08598879
3199,4.505511600000008e-002,-0.08624518
3200,4.505811600000009e-002,-0.08700587
3201,4.506011600000009e-002,-0.08750603
3202,4.506511600000009e-002,-0.08873244
3203,4.507511600000010e-002,-0.09108569999999999
3204,4.509011600000012e-002,-0.09438014
3205,4.509811600000013e-002,-0.09602863
3206,4.509911600000013e-002,-0.09622866
3207,4.510000000000000e-002,-0.09639835
3208,4.510010000000000e-002,-0.09638351
3209,4.510030000000000e-002,-0.09635365
3210,4.510070000000000e-002,-0.09629327
3211,4.510150000000000e-002,-0.09617293
3212,4.510250000000000e-002,-0.09602571
3213,4.510350000000001e-002,-0.09588045
3214,4.512850000000003e-002,-0.09250146
3215,4.515350000000006e-002,-0.08956355
3216,4.517850000000008e-002,-0.08700922
3217,4.520350000000011e-002,-0.08478832
3218,4.522850000000013e-002,-0.0828574
3219,4.525350000000016e-002,-0.08117855
3220,4.527850000000018e-002,-0.07971883
3221,4.530350000000021e-002,-0.07844971
3222,4.532850000000023e-002,-0.07734625
3223,4.535350000000026e-002,-0.07638685
3224,4.537850000000028e-002,-0.07555269999999999
3225,4.540350000000031e-002,-0.07482746
3226,4.542850000000033e-002,-0.0741969
3227,4.545350000000036e-002,-0.07364865
3228,4.547850000000038e-002,-0.07317197
3229,4.550350000000041e-002,-0.07275754
3230,4.552850000000043e-002,-0.0723972
3231,4.555350000000046e-002,-0.07208393
3232,4.557850000000048e-002,-0.07181153
3233,4.560350000000051e-002,-0.07157471
3234,4.562850000000053e-002,-0.07136881
3235,4.565350000000056e-002,-0.07118979
3236,4.567850000000058e-002,-0.07103415
3237,4.570350000000061e-002,-0.07089882
3238,4.572850000000063e-002,-0.07078117
3239,4.575350000000066e-002,-0.07067888
3240,4.577850000000068e-002,-0.07058994
3241,4.580350000000071e-002,-0.07051262
3242,4.582850000000073e-002,-0.07044539999999999
3243,4.585350000000076e-002,-0.07038696
3244,4.587850000000078e-002,-0.07033614
3245,4.590350000000081e-002,-0.07029197
3246,4.592850000000083e-002,-0.07025357
3247,4.595350000000086e-002,-0.07022018
3248,4.597850000000088e-002,-0.07019115
3249,4.600350000000091e-002,-0.07016592
3250,4.600950000000091e-002,-0.07016037
3251,4.603450000000094e-002,-0.07013916
3252,4.605950000000096e-002,-0.07012072
3253,4.608450000000099e-002,-0.0701047
3254,4.610950000000101e-002,-0.07009076
3255,4.613450000000104e-002,-0.07007865
3256,4.615950000000106e-002,-0.07006812
3257,4.618550000000109e-002,-0.07005864
3258,4.621150000000111e-002,-0.07005044
3259,4.623750000000114e-002,-0.07004334
3260,4.626350000000117e-002,-0.07003723
3261,4.628950000000119e-002,-0.07003193
3262,4.631550000000122e-002,-0.07002736
3263,4.634250000000124e-002,-0.07002327
3264,4.636950000000127e-002,-0.07001975
3265,4.639650000000130e-002,-0.07001674
3266,4.642450000000133e-002,-0.07001405
3267,4.645250000000135e-002,-0.07001176
3268,4.648050000000138e-002,-0.07000981
3269,4.650950000000141e-002,-0.07000809
3270,4.653950000000144e-002,-0.07000659
3271,4.657050000000147e-002,-0.07000528
3272,4.660250000000150e-002,-0.07000415
3273,4.663550000000154e-002,-0.07000318
3274,4.666950000000157e-002,-0.07000236
3275,4.670550000000161e-002,-0.07000165
3276,4.674350000000165e-002,-0.07000105
3277,4.678450000000169e-002,-0.07000053
3278,4.682850000000173e-002,-0.07000010000000001
3279,4.687650000000178e-002,-0.06999974
3280,4.693050000000183e-002,-0.06999946
3281,4.699150000000189e-002,-0.06999923
3282,4.703350000000194e-002,-0.06999911
3283,4.711450000000202e-002,-0.06999898
3284,4.721750000000212e-002,-0.06999889999999999
3285,4.735950000000226e-002,-0.06999888
3286,4.759450000000250e-002,-0.06999896
3287,4.805750000000296e-002,-0.06999917
3288,4.908150000000398e-002,-0.06999955
3289,4.999850000000490e-002,-0.06999978
3290,4.999950000000490e-002,-0.06999978
3291,5.000000000000000e-002,-0.06999978
