time	V(N016,N007)	V(N017,N004)	V(N018,N005)	V(N019,N006)	V(N020,N008)	V(N021,N009)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	V(n010)	V(n011)	V(n012)	V(n013)	V(n014)	V(n015)	V(n016)	V(n017)	V(n018)	V(n019)	V(n020)	V(n021)	I(C1)	I(C2)	I(C3)	I(C4)	I(C5)	I(C6)	I(C7)	I(C8)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(R9)	I(R10)	I(R11)	I(R12)	I(R15)	I(R16)	I(R18)	I(R19)	I(R21)	I(R22)	I(R24)	I(R25)	I(R27)	I(R28)	I(R30)	I(R31)	I(V1)	I(V2)	I(V3)	I(V4)	I(V5)	I(V6)	I(V7)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	0.000000e+000	-1.050000e-020	-1.050000e-020	-1.050420e-020	-1.050420e-020	-1.050420e-020	-1.050420e-020	-1.050420e-020	-1.050420e-020	-1.050420e-020	-1.050420e-020	-1.050420e-020	-1.050420e-020	-1.050420e-020	-1.050420e-020	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	7.000000e-026	7.000000e-026	5.250000e-039	5.250000e-039	7.000000e-026	7.000000e-026	7.000000e-026	7.000000e-026	3.463376e-039	3.463376e-039	0.000000e+000	8.850781e-037	7.000000e-026	7.000000e-026	3.463376e-039	2.100000e-025	2.100000e-025	3.463379e-039	3.463381e-039	3.463378e-039	7.000000e-026	7.000000e-026	7.000000e-026	7.000000e-026	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-8.850781e-037	-8.850781e-037	1.770156e-036	1.770156e-036	0.000000e+000	-2.350989e-038	-2.100000e-025	-1.235788e-022	-1.235788e-022	6.178941e-023	6.178941e-023
1.006310719994777e-003	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	0.000000e+000	1.667035e-016	1.667035e-016	1.672663e-016	1.672663e-016	1.672663e-016	1.672663e-016	1.672663e-016	1.672663e-016	2.250623e-011	2.250623e-011	2.250623e-011	2.250622e-011	2.250622e-011	2.250623e-011	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	0.000000e+000	0.000000e+000	-2.480324e-020	-2.480337e-020	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-9.377524e-021	-9.377523e-021	-8.163405e-020	1.259128e-023	-9.379184e-021	-9.379165e-021	-9.377524e-021	-3.334070e-021	-3.334071e-021	-9.377523e-021	-9.377524e-021	-9.377527e-021	-9.379035e-021	-9.379090e-021	-9.379241e-021	-9.379037e-021	0.000000e+000	8.163405e-020	0.000000e+000	0.000000e+000	5.244802e-024	-1.956792e-024	2.662084e-024	-7.193402e-024	9.377524e-021	9.377523e-021	2.813731e-020	-2.534027e-020	2.892507e-020	-4.557916e-020	3.576822e-020
2.030310719994708e-003	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	0.000000e+000	2.250811e-016	2.250810e-016	2.256704e-016	2.256703e-016	2.256703e-016	2.256703e-016	2.256703e-016	2.256703e-016	2.359027e-011	2.359026e-011	2.359026e-011	2.359026e-011	2.359026e-011	2.359026e-011	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-6.617445e-024	0.000000e+000	-2.495582e-020	-2.495606e-020	-1.323489e-023	0.000000e+000	-1.323489e-023	-2.646978e-023	-9.829182e-021	-9.829180e-021	-4.081702e-020	-1.699254e-023	-9.821162e-021	-9.821497e-021	-9.829182e-021	-4.501621e-021	-4.501620e-021	-9.829180e-021	-9.829182e-021	-9.829184e-021	-9.821437e-021	-9.821702e-021	-9.821267e-021	-9.821282e-021	0.000000e+000	4.081702e-020	0.000000e+000	-4.081702e-020	-9.713718e-024	-9.331606e-024	-8.106612e-024	5.476840e-025	9.829182e-021	9.829180e-021	2.945744e-020	1.722815e-020	1.728338e-020	-3.924826e-020	-1.211098e-020
3.054310719994844e-003	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	0.000000e+000	2.751706e-016	2.751706e-016	2.757599e-016	2.757599e-016	2.757598e-016	2.757598e-016	2.757598e-016	2.757598e-016	2.359032e-011	2.359031e-011	2.359031e-011	2.359031e-011	2.359031e-011	2.359031e-011	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	0.000000e+000	0.000000e+000	-2.395745e-020	-2.395745e-020	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-9.829182e-021	-9.829180e-021	0.000000e+000	-1.380984e-023	-9.819964e-021	-9.820387e-021	-9.829182e-021	-5.503413e-021	-5.503412e-021	-9.829180e-021	-9.829182e-021	-9.829184e-021	-9.820303e-021	-9.820598e-021	-9.820216e-021	-9.820261e-021	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-1.195050e-023	-1.043449e-023	-6.033814e-024	1.569543e-024	9.829182e-021	9.829180e-021	2.946086e-020	1.030724e-020	-4.384763e-020	-8.632662e-021	-3.570549e-020
4.078310719994979e-003	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	0.000000e+000	3.315576e-016	3.315576e-016	3.335353e-016	3.335353e-016	3.335353e-016	3.335352e-016	3.335352e-016	3.335352e-016	2.491824e-011	2.491823e-011	2.491824e-011	2.491824e-011	2.491824e-011	2.491824e-011	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-1.807224e-020	-1.806562e-020	-7.874051e-020	-7.873442e-020	-1.809209e-020	-1.806562e-020	-1.806562e-020	-1.808548e-020	-1.038340e-020	-1.038340e-020	4.081702e-020	-2.835315e-023	-3.296165e-020	-3.296096e-020	-1.038340e-020	-6.631152e-021	-6.631152e-021	-1.038340e-020	-1.038340e-020	-1.038340e-020	-3.296230e-020	-3.296267e-020	-3.296060e-020	-3.296078e-020	0.000000e+000	-4.081702e-020	0.000000e+000	2.040851e-020	-2.307361e-023	-1.289107e-023	-1.246284e-023	6.148319e-024	1.038246e-020	1.038246e-020	8.537139e-020	-6.266767e-020	1.863828e-020	1.396954e-021	1.494258e-020
5.000000000000000e-003	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	0.000000e+000	3.868920e-016	3.868920e-016	3.892881e-016	3.892878e-016	3.892748e-016	3.892880e-016	3.893040e-016	3.893253e-016	2.641743e-011	2.641743e-011	2.641744e-011	2.641743e-011	2.641743e-011	2.641743e-011	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-7.000000e-002	-1.328783e-020	-2.729034e-020	-1.118387e-019	-1.129518e-019	-3.642242e-020	-2.601979e-020	-4.208695e-020	-2.909029e-020	-1.100710e-020	-1.100710e-020	0.000000e+000	7.750385e-021	-3.971338e-020	-3.993291e-020	-1.100710e-020	-7.737840e-021	-7.737841e-021	-1.100710e-020	-1.100710e-020	-1.100710e-020	-3.993062e-020	-3.993486e-020	-4.019920e-020	-4.055523e-020	-8.163405e-020	0.000000e+000	0.000000e+000	0.000000e+000	-7.667217e-021	-1.499556e-022	9.398406e-021	1.256574e-020	1.100710e-020	1.100710e-020	1.195765e-019	-3.436154e-020	1.992916e-020	-4.808938e-020	3.327276e-020
5.000007140257146e-003	-7.000323e-002	-6.999066e-002	-6.999265e-002	-6.999677e-002	-7.000735e-002	-7.000935e-002	-1.785064e-004	-1.784741e-004	-3.235014e-008	-9.950334e-005	-9.726832e-005	-9.273440e-005	-8.577203e-005	-8.123811e-005	-7.900309e-005	-9.015659e-005	-8.992145e-005	-8.950257e-005	-8.900381e-005	-8.858492e-005	-8.834979e-005	-7.008900e-002	-7.009016e-002	-7.008992e-002	-7.008950e-002	-7.008859e-002	-7.008835e-002	-4.936019e-010	4.936019e-010	-4.098602e-006	4.098602e-006	-1.139094e-009	1.139094e-009	1.458166e-009	-1.458166e-009	-1.341037e-015	1.341015e-015	3.090871e-009	4.095512e-006	-1.428995e-006	1.428995e-006	-3.046196e-015	-6.470028e-013	6.470028e-013	3.046174e-015	3.874147e-015	-3.874169e-015	-1.353429e-006	-1.316179e-006	1.353429e-006	1.316179e-006	2.597268e-009	1.458170e-009	2.597268e-009	1.458170e-009	2.667011e-006	1.314721e-006	2.667011e-006	1.314721e-006	1.341037e-015	-1.341015e-015	4.098603e-006	3.046169e-015	-3.046163e-015	-3.874170e-015	3.874163e-015
5.000181728296952e-003	-7.008738e-002	-6.974286e-002	-6.979890e-002	-6.991262e-002	-7.020110e-002	-7.025714e-002	-4.543207e-003	-4.515974e-003	-2.723357e-005	-2.529656e-003	-2.473380e-003	-2.359231e-003	-2.183976e-003	-2.069828e-003	-2.013551e-003	-2.272514e-003	-2.272277e-003	-2.271855e-003	-2.271352e-003	-2.270930e-003	-2.270693e-003	-7.227135e-002	-7.227252e-002	-7.227228e-002	-7.227186e-002	-7.227093e-002	-7.227069e-002	-4.821112e-010	4.821112e-010	-1.030937e-004	1.030937e-004	-1.111035e-009	1.111035e-009	1.421403e-009	-1.421403e-009	-3.640471e-014	3.640469e-014	3.014777e-009	1.030912e-004	-3.594571e-005	3.594571e-005	-8.378707e-014	-5.446712e-010	5.446712e-010	8.378706e-014	1.071349e-013	-1.071350e-013	-3.404324e-005	-3.310530e-005	3.404324e-005	3.310530e-005	2.532629e-009	1.421510e-009	2.532629e-009	1.421510e-009	6.714601e-005	3.310387e-005	6.714601e-005	3.310387e-005	3.640471e-014	-3.640469e-014	1.030943e-004	8.378707e-014	-8.378703e-014	-1.071350e-013	1.071350e-013
5.000356316336757e-003	-7.017005e-002	-6.949939e-002	-6.960853e-002	-6.982995e-002	-7.039147e-002	-7.050060e-002	-8.907909e-003	-8.815757e-003	-9.215093e-005	-4.955472e-003	-4.846100e-003	-4.624256e-003	-4.283653e-003	-4.061809e-003	-3.952436e-003	-4.454866e-003	-4.454629e-003	-4.454206e-003	-4.453702e-003	-4.453279e-003	-4.453042e-003	-7.445370e-002	-7.445487e-002	-7.445463e-002	-7.445421e-002	-7.445328e-002	-7.445304e-002	-4.717307e-010	4.717307e-010	-2.003556e-004	2.003556e-004	-1.085947e-009	1.085947e-009	1.388668e-009	-1.388668e-009	-7.085451e-014	7.085450e-014	2.946788e-009	2.003545e-004	-6.985836e-005	6.985836e-005	-1.631143e-013	-1.843018e-009	1.843018e-009	1.631143e-013	2.085877e-013	-2.085878e-013	-6.616096e-005	-6.433809e-005	6.616096e-005	6.433809e-005	2.474987e-009	1.388877e-009	2.474987e-009	1.388877e-009	1.304966e-004	6.433670e-005	1.304966e-004	6.433670e-005	7.085451e-014	-7.085450e-014	2.003574e-004	1.631143e-013	-1.631142e-013	-2.085877e-013	2.085877e-013
5.000530904376563e-003	-7.025125e-002	-6.926026e-002	-6.942155e-002	-6.974875e-002	-7.057845e-002	-7.073974e-002	-1.327261e-002	-1.307782e-002	-1.947844e-004	-7.376951e-003	-7.215429e-003	-6.887807e-003	-6.384802e-003	-6.057181e-003	-5.895658e-003	-6.637213e-003	-6.636977e-003	-6.636555e-003	-6.636054e-003	-6.635632e-003	-6.635396e-003	-7.663605e-002	-7.663721e-002	-7.663698e-002	-7.663655e-002	-7.663563e-002	-7.663539e-002	-4.624606e-010	4.624606e-010	-2.958842e-004	2.958842e-004	-1.063831e-009	1.063831e-009	1.359961e-009	-1.359961e-009	-1.046904e-013	1.046904e-013	2.886906e-009	2.958852e-004	-1.031670e-004	1.031670e-004	-2.410278e-013	-3.895689e-009	3.895689e-009	2.410278e-013	3.082325e-013	-3.082325e-013	-9.770660e-005	-9.501456e-005	9.770660e-005	9.501456e-005	2.424341e-009	1.360269e-009	2.424341e-009	1.360269e-009	1.927187e-004	9.501319e-005	1.927187e-004	9.501319e-005	1.046904e-013	-1.046904e-013	2.958881e-004	2.410279e-013	-2.410278e-013	-3.082325e-013	3.082325e-013
