time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	I(C1)	I(C2)	I(C3)	I(C4)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(R9)	I(V1)	I(V2)	I(V3)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	0.000000e+000	-2.100000e-020	-2.100000e-020	-2.102100e-020	-2.102100e-020	-2.102100e-020	-2.102100e-020	-7.000000e-002	-7.000000e-002	4.200000e-025	4.200000e-025	2.100000e-038	2.100000e-038	2.536958e-037	2.536958e-037	0.000000e+000	0.000000e+000	4.200000e-025	4.200000e-025	0.000000e+000	4.200000e-025	4.200000e-025	-1.261169e-043	-1.261169e-043	-4.200000e-025
1.000000000000000e-003	-7.000000e-002	-7.000000e-002	0.000000e+000	-8.268006e-015	-8.268006e-015	-8.234877e-015	-8.234877e-015	-1.151710e-009	-1.151710e-009	-7.000000e-002	-7.000000e-002	-3.541868e-018	-3.541868e-018	-8.281634e-019	-8.281634e-019	2.879255e-018	2.879255e-018	0.000000e+000	1.577722e-030	-6.625915e-019	-6.625915e-019	4.056999e-031	1.653601e-019	1.653601e-019	-2.879255e-018	-2.879255e-018	6.628033e-019
1.000000100000000e-003	-7.235759e-002	-6.764242e-002	-5.000000e-001	-4.999984e-001	-1.612579e-006	-2.524277e-001	-2.475723e-001	-2.500701e-001	-2.499299e-001	-3.199299e-001	-3.200701e-001	-9.606300e-005	9.606300e-005	-1.209422e-002	1.209422e-002	-5.949107e-012	5.949113e-012	9.606301e-005	4.855351e-003	-4.951414e-003	4.951414e-003	7.142811e-003	-3.225157e-011	3.225157e-011	5.949128e-012	-5.949108e-012	1.209422e-002
1.000000300000000e-003	-7.727408e-002	-6.272584e-002	-1.500000e+000	-1.499993e+000	-6.967808e-006	-7.573521e-001	-7.426479e-001	-7.500780e-001	-7.499220e-001	-8.199220e-001	-8.200780e-001	-1.486155e-004	1.486155e-004	-3.628119e-002	3.628119e-002	-1.819448e-011	1.819449e-011	1.486155e-004	1.470420e-002	-1.485282e-002	1.485282e-002	2.142837e-002	-1.393562e-010	1.393562e-010	1.819452e-011	-1.819439e-011	3.628119e-002
1.000000906678666e-003	-9.229684e-002	-4.770303e-002	-4.533393e+000	-4.533342e+000	-5.116758e-005	-2.289065e+000	-2.244328e+000	-2.266768e+000	-2.266625e+000	-2.336625e+000	-2.336768e+000	-1.481226e-004	1.481226e-004	-1.096468e-001	1.096468e-001	-5.573661e-011	5.573662e-011	1.481226e-004	4.473741e-002	-4.488553e-002	4.488553e-002	6.476130e-002	-1.023352e-009	1.023352e-009	5.573683e-011	-5.573675e-011	1.096468e-001
1.000001000000000e-003	-9.460020e-002	-4.539990e-002	-5.000000e+000	-4.999939e+000	-6.107186e-005	-2.524676e+000	-2.475324e+000	-2.500076e+000	-2.499924e+000	-2.569924e+000	-2.570076e+000	-1.523784e-004	1.523784e-004	-1.209321e-001	1.209321e-001	-6.150061e-011	6.150062e-011	1.523785e-004	4.935287e-002	-4.950525e-002	4.950525e-002	7.142682e-002	-1.221437e-009	1.221437e-009	6.150080e-011	-6.150108e-011	1.209321e-001
1.000001010306496e-003	-9.468603e-002	-4.531384e-002	-5.000000e+000	-4.999938e+000	-6.231823e-005	-2.524714e+000	-2.475286e+000	-2.500028e+000	-2.499972e+000	-2.569972e+000	-2.570028e+000	-7.625364e-005	7.625364e-005	-1.209313e-001	1.209313e-001	-6.168995e-011	6.168996e-011	7.625370e-005	4.942822e-002	-4.950447e-002	4.950447e-002	7.142679e-002	-1.246365e-009	1.246365e-009	6.169010e-011	-6.169052e-011	1.209313e-001
1.000001030919489e-003	-9.475327e-002	-4.524684e-002	-5.000000e+000	-4.999935e+000	-6.481098e-005	-2.524746e+000	-2.475254e+000	-2.499993e+000	-2.500007e+000	-2.570008e+000	-2.569993e+000	-1.254613e-005	1.254613e-005	-1.209305e-001	1.209305e-001	-6.184837e-011	6.184837e-011	1.254619e-005	4.949125e-002	-4.950379e-002	4.950379e-002	7.142672e-002	-1.296220e-009	1.296220e-009	6.184838e-011	-6.184882e-011	1.209305e-001
1.000001072145474e-003	-9.474850e-002	-4.525137e-002	-5.000000e+000	-4.999930e+000	-6.979644e-005	-2.524753e+000	-2.475247e+000	-2.500004e+000	-2.499996e+000	-2.569996e+000	-2.570004e+000	1.890831e-006	-1.890831e-006	-1.209301e-001	1.209301e-001	-6.188416e-011	6.188416e-011	-1.890769e-006	4.950544e-002	-4.950355e-002	4.950355e-002	7.142658e-002	-1.395929e-009	1.395929e-009	6.188416e-011	-6.188428e-011	1.209301e-001
1.000001154597445e-003	-9.475446e-002	-4.524541e-002	-5.000000e+000	-4.999920e+000	-7.976734e-005	-2.524751e+000	-2.475249e+000	-2.499997e+000	-2.500003e+000	-2.570003e+000	-2.569997e+000	-3.636669e-007	3.636669e-007	-1.209297e-001	1.209297e-001	-6.187831e-011	6.187831e-011	3.637288e-007	4.950301e-002	-4.950337e-002	4.950337e-002	7.142629e-002	-1.595347e-009	1.595347e-009	6.187841e-011	-6.187826e-011	1.209297e-001
1.000001270972199e-003	-9.474921e-002	-4.525089e-002	-5.000000e+000	-4.999906e+000	-9.384044e-005	-2.524752e+000	-2.475248e+000	-2.500002e+000	-2.499998e+000	-2.569998e+000	-2.570003e+000	3.061725e-007	-3.061725e-007	-1.209290e-001	1.209290e-001	-6.187963e-011	6.187963e-011	-3.061107e-007	4.950339e-002	-4.950309e-002	4.950309e-002	7.142589e-002	-1.876809e-009	1.876809e-009	6.187990e-011	-6.187963e-011	1.209290e-001
1.000001503721707e-003	-9.475350e-002	-4.524660e-002	-5.000000e+000	-4.999878e+000	-1.219863e-004	-2.524751e+000	-2.475249e+000	-2.499998e+000	-2.500002e+000	-2.570002e+000	-2.569998e+000	-1.175307e-007	1.175307e-007	-1.209276e-001	1.209276e-001	-6.187787e-011	6.187788e-011	1.175925e-007	4.950242e-002	-4.950254e-002	4.950254e-002	7.142509e-002	-2.439726e-009	2.439726e-009	6.187837e-011	-6.187802e-011	1.209276e-001
