time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	I(C1)	I(C2)	I(C3)	I(C4)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(R9)	I(V1)	I(V2)	I(V3)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	0.000000e+000	-2.100000e-020	-2.100000e-020	-2.102100e-020	-2.102100e-020	-2.102100e-020	-2.102100e-020	-7.000000e-002	-7.000000e-002	4.200000e-025	4.200000e-025	2.100000e-038	2.100000e-038	2.536958e-037	2.536958e-037	0.000000e+000	0.000000e+000	4.200000e-025	4.200000e-025	-4.298951e-038	4.200000e-025	4.200000e-025	-1.261169e-043	-1.261169e-043	-4.200000e-025
1.000000000000000e-003	-7.000000e-002	-7.000000e-002	0.000000e+000	-8.268006e-015	-8.268006e-015	-8.234877e-015	-8.234877e-015	-1.151710e-009	-1.151710e-009	-7.000000e-002	-7.000000e-002	-3.541868e-018	-3.541868e-018	-8.281634e-019	-8.281634e-019	2.879255e-018	2.879255e-018	0.000000e+000	0.000000e+000	-6.625915e-019	-6.625915e-019	-1.803111e-031	1.653601e-019	1.653601e-019	-2.879255e-018	-2.879255e-018	6.628033e-019
1.000000100000000e-003	-7.048258e-002	-6.951740e-002	-5.000000e-001	-4.999984e-001	-1.617713e-006	-2.504970e-001	-2.495030e-001	-2.500145e-001	-2.499855e-001	-3.199855e-001	-3.200144e-001	-1.960121e-005	1.960121e-005	-1.213284e-002	1.213284e-002	-1.218102e-012	1.218108e-012	1.960121e-005	4.970426e-003	-4.990027e-003	4.990027e-003	7.142811e-003	-3.235426e-011	3.235426e-011	1.218131e-012	-1.218110e-012	1.213284e-002
1.000000300000000e-003	-7.147861e-002	-6.852138e-002	-1.500000e+000	-1.499993e+000	-6.990138e-006	-7.514941e-001	-7.485059e-001	-7.500154e-001	-7.499846e-001	-8.199846e-001	-8.200154e-001	-2.994887e-005	2.994887e-005	-3.639835e-002	3.639835e-002	-3.697569e-012	3.697575e-012	2.994888e-005	1.494003e-002	-1.496998e-002	1.496998e-002	2.142837e-002	-1.398028e-010	1.398028e-010	3.697656e-012	-3.697645e-012	3.639835e-002
1.000000906660785e-003	-7.450652e-002	-6.549358e-002	-4.533304e+000	-4.533253e+000	-5.133170e-005	-2.271173e+000	-2.262131e+000	-2.266667e+000	-2.266637e+000	-2.336637e+000	-2.336667e+000	-2.990140e-005	2.990140e-005	-1.100016e-001	1.100016e-001	-1.126554e-011	1.126555e-011	2.990142e-005	4.521169e-002	-4.524159e-002	4.524159e-002	6.476002e-002	-1.026634e-009	1.026634e-009	1.126546e-011	-1.126522e-011	1.100016e-001
1.000001000000000e-003	-7.497144e-002	-6.502843e-002	-5.000000e+000	-4.999939e+000	-6.127005e-005	-2.504987e+000	-2.495013e+000	-2.500015e+000	-2.499985e+000	-2.569985e+000	-2.570015e+000	-3.059276e-005	3.059276e-005	-1.213259e-001	1.213259e-001	-1.242887e-011	1.242887e-011	3.059277e-005	4.986845e-002	-4.989904e-002	4.989904e-002	7.142682e-002	-1.225401e-009	1.225401e-009	1.242895e-011	-1.242850e-011	1.213259e-001
1.000001060585476e-003	-7.498789e-002	-6.501222e-002	-5.000000e+000	-4.999931e+000	-6.862060e-005	-2.504989e+000	-2.495011e+000	-2.500001e+000	-2.499999e+000	-2.569999e+000	-2.570001e+000	-1.080048e-005	1.080048e-005	-1.213255e-001	1.213255e-001	-1.245851e-011	1.245852e-011	1.080050e-005	4.988805e-002	-4.989885e-002	4.989885e-002	7.142661e-002	-1.372412e-009	1.372412e-009	1.245842e-011	-1.245804e-011	1.213255e-001
1.000001181756428e-003	-7.499051e-002	-6.500936e-002	-5.000000e+000	-4.999917e+000	-8.332165e-005	-2.504990e+000	-2.495010e+000	-2.499999e+000	-2.500001e+000	-2.570001e+000	-2.569999e+000	-4.802557e-008	4.802557e-008	-1.213247e-001	1.213247e-001	-1.247456e-011	1.247456e-011	4.803807e-008	4.989849e-002	-4.989854e-002	4.989854e-002	7.142619e-002	-1.666433e-009	1.666433e-009	1.247440e-011	-1.247433e-011	1.213247e-001
1.000001424098331e-003	-7.498908e-002	-6.501079e-002	-5.000000e+000	-4.999887e+000	-1.127234e-004	-2.504990e+000	-2.495010e+000	-2.500001e+000	-2.499999e+000	-2.569999e+000	-2.570001e+000	2.373946e-008	-2.373946e-008	-1.213233e-001	1.213233e-001	-1.247452e-011	1.247453e-011	-2.372695e-008	4.989797e-002	-4.989795e-002	4.989795e-002	7.142535e-002	-2.254468e-009	2.254468e-009	1.247432e-011	-1.247435e-011	1.213233e-001
1.000001908782138e-003	-7.499027e-002	-6.500959e-002	-5.000000e+000	-4.999828e+000	-1.715256e-004	-2.504990e+000	-2.495010e+000	-2.499999e+000	-2.500001e+000	-2.570001e+000	-2.569999e+000	-9.124847e-009	9.124847e-009	-1.213204e-001	1.213204e-001	-1.247418e-011	1.247418e-011	9.137334e-009	4.989677e-002	-4.989678e-002	4.989678e-002	7.142367e-002	-3.430513e-009	3.430513e-009	1.247402e-011	-1.247401e-011	1.213204e-001
1.000002878149751e-003	-7.498884e-002	-6.501102e-002	-5.000000e+000	-4.999711e+000	-2.891249e-004	-2.504990e+000	-2.495010e+000	-2.500001e+000	-2.499999e+000	-2.569999e+000	-2.570001e+000	6.605944e-009	-6.605963e-009	-1.213147e-001	1.213147e-001	-1.247361e-011	1.247362e-011	-6.593515e-009	4.989443e-002	-4.989443e-002	4.989443e-002	7.142031e-002	-5.782498e-009	5.782498e-009	1.247355e-011	-1.247369e-011	1.213147e-001
1.000004816884978e-003	-7.498980e-002	-6.501007e-002	-5.000000e+000	-4.999475e+000	-5.243027e-004	-2.504989e+000	-2.495011e+000	-2.499999e+000	-2.500001e+000	-2.570001e+000	-2.569999e+000	-1.090579e-009	1.090522e-009	-1.213033e-001	1.213033e-001	-1.247243e-011	1.247243e-011	1.102990e-009	4.988973e-002	-4.988974e-002	4.988974e-002	7.141359e-002	-1.048605e-008	1.048605e-008	1.247253e-011	-1.247255e-011	1.213033e-001
