time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	I(C1)	I(C2)	I(C3)	I(C4)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(R9)	I(V1)	I(V2)	I(V3)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	0.000000e+000	-2.100000e-020	-2.100000e-020	-2.102100e-020	-2.102100e-020	-2.102100e-020	-2.102100e-020	-7.000000e-002	-7.000000e-002	4.200000e-025	4.200000e-025	2.100000e-038	2.100000e-038	-4.361351e-036	-4.361351e-036	0.000000e+000	-3.009266e-036	4.200000e-025	4.200000e-025	0.000000e+000	4.200000e-025	4.200000e-025	-1.261169e-043	-1.261169e-043	-4.200000e-025
1.000000000000000e-003	-7.000000e-002	-7.000000e-002	0.000000e+000	-7.919646e-017	-7.919646e-017	-1.309967e-015	-1.309967e-015	-9.565618e-012	-9.565618e-012	-7.000000e-002	-7.000000e-002	2.459170e-017	2.459170e-017	2.461404e-017	2.461404e-017	2.391077e-020	2.391077e-020	0.000000e+000	1.972152e-031	2.461541e-017	2.461541e-017	-1.144553e-032	1.583929e-021	1.583929e-021	-2.391077e-020	-2.391077e-020	-2.461562e-017
1.000000100000000e-003	-7.241274e-002	-6.758723e-002	-5.000000e-001	-4.999984e-001	-1.612581e-006	-2.524271e-001	-2.475729e-001	-2.500143e-001	-2.499857e-001	-3.199857e-001	-3.200143e-001	-9.724383e-005	9.724383e-005	-1.209424e-002	1.209424e-002	-6.043417e-012	6.043417e-012	9.724384e-005	4.854182e-003	-4.951426e-003	4.951426e-003	7.142811e-003	-3.225162e-011	3.225162e-011	6.043404e-012	-6.043405e-012	1.209424e-002
1.000000300000000e-003	-7.733679e-002	-6.266320e-002	-1.500000e+000	-1.499993e+000	-6.967809e-006	-7.573521e-001	-7.426479e-001	-7.500153e-001	-7.499847e-001	-8.199847e-001	-8.200153e-001	-1.485577e-004	1.485577e-004	-3.628119e-002	3.628119e-002	-1.834319e-011	1.834319e-011	1.485577e-004	1.470426e-002	-1.485282e-002	1.485282e-002	2.142837e-002	-1.393562e-010	1.393562e-010	1.834332e-011	-1.834338e-011	3.628119e-002
1.000000906677515e-003	-9.235406e-002	-4.764581e-002	-4.533388e+000	-4.533336e+000	-5.116746e-005	-2.289063e+000	-2.244325e+000	-2.266708e+000	-2.266679e+000	-2.336679e+000	-2.336708e+000	-1.483251e-004	1.483251e-004	-1.096467e-001	1.096467e-001	-5.588436e-011	5.588436e-011	1.483251e-004	4.473716e-002	-4.488548e-002	4.488548e-002	6.476121e-002	-1.023349e-009	1.023349e-009	5.588332e-011	-5.588431e-011	1.096467e-001
1.000001000000000e-003	-9.466171e-002	-4.533839e-002	-5.000000e+000	-4.999939e+000	-6.107186e-005	-2.524677e+000	-2.475323e+000	-2.500015e+000	-2.499985e+000	-2.569985e+000	-2.570015e+000	-1.517392e-004	1.517392e-004	-1.209321e-001	1.209321e-001	-6.165395e-011	6.165395e-011	1.517393e-004	4.935350e-002	-4.950524e-002	4.950524e-002	7.142682e-002	-1.221437e-009	1.221437e-009	6.165213e-011	-6.165357e-011	1.209321e-001
1.000001009885910e-003	-9.471440e-002	-4.528546e-002	-5.000000e+000	-4.999938e+000	-6.226738e-005	-2.524719e+000	-2.475281e+000	-2.500004e+000	-2.499996e+000	-2.569996e+000	-2.570004e+000	-6.755667e-005	6.755667e-005	-1.209312e-001	1.209312e-001	-6.177915e-011	6.177915e-011	6.755674e-005	4.943683e-002	-4.950439e-002	4.950439e-002	7.142679e-002	-1.245348e-009	1.245348e-009	6.177821e-011	-6.178014e-011	1.209312e-001
1.000001029657729e-003	-9.475064e-002	-4.524922e-002	-5.000000e+000	-4.999935e+000	-6.465839e-005	-2.524749e+000	-2.475251e+000	-2.499998e+000	-2.500002e+000	-2.570002e+000	-2.569998e+000	-6.151164e-006	6.151164e-006	-1.209305e-001	1.209305e-001	-6.187044e-011	6.187044e-011	6.151226e-006	4.949758e-002	-4.950373e-002	4.950373e-002	7.142673e-002	-1.293168e-009	1.293168e-009	6.186910e-011	-6.186984e-011	1.209305e-001
1.000001069201366e-003	-9.475136e-002	-4.524875e-002	-5.000000e+000	-4.999930e+000	-6.944041e-005	-2.524753e+000	-2.475247e+000	-2.500001e+000	-2.499999e+000	-2.569999e+000	-2.570001e+000	1.572059e-006	-1.572059e-006	-1.209301e-001	1.209301e-001	-6.188181e-011	6.188181e-011	-1.571997e-006	4.950513e-002	-4.950356e-002	4.950356e-002	7.142659e-002	-1.388808e-009	1.388808e-009	6.188009e-011	-6.188065e-011	1.209302e-001
1.000001148288642e-003	-9.475255e-002	-4.524755e-002	-5.000000e+000	-4.999921e+000	-7.900442e-005	-2.524751e+000	-2.475249e+000	-2.499999e+000	-2.500001e+000	-2.570001e+000	-2.569999e+000	-5.232320e-007	5.232320e-007	-1.209297e-001	1.209297e-001	-6.187845e-011	6.187845e-011	5.232938e-007	4.950287e-002	-4.950339e-002	4.950339e-002	7.142632e-002	-1.580088e-009	1.580088e-009	6.187713e-011	-6.187883e-011	1.209297e-001
