time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	I(C1)	I(C2)	I(C3)	I(C4)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(R9)	I(V1)	I(V2)	I(V3)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	0.000000e+000	-2.100000e-020	-2.100000e-020	-2.104200e-020	-2.104200e-020	-2.104200e-020	-2.104200e-020	-7.000000e-002	-7.000000e-002	4.200000e-025	4.200000e-025	2.100000e-038	2.100000e-038	-4.365708e-036	-4.365708e-036	0.000000e+000	0.000000e+000	4.200000e-025	4.200000e-025	0.000000e+000	4.200000e-025	4.200000e-025	-1.261169e-043	-1.261169e-043	-4.200000e-025
1.000000000000000e-003	-7.000000e-002	-7.000000e-002	0.000000e+000	-7.923817e-017	-7.923817e-017	-2.628320e-015	-2.628320e-015	-9.566937e-012	-9.566937e-012	-7.000000e-002	-7.000000e-002	2.546689e-017	2.546689e-017	2.548924e-017	2.548924e-017	2.391077e-020	2.391077e-020	0.000000e+000	0.000000e+000	2.549082e-017	2.549082e-017	1.408680e-033	1.584763e-021	1.584763e-021	-2.391077e-020	-2.391077e-020	-2.549082e-017
1.000000100000000e-003	-7.024729e-002	-6.975272e-002	-5.000000e-001	-4.999987e-001	-1.285377e-006	-2.502488e-001	-2.497512e-001	-2.500015e-001	-2.499985e-001	-3.199985e-001	-3.200015e-001	-9.930051e-006	9.930051e-006	-9.640319e-003	9.640320e-003	-6.194099e-013	6.194099e-013	9.930051e-006	2.487570e-003	-2.497500e-003	2.497500e-003	7.142820e-003	-2.570753e-011	2.570753e-011	6.193428e-013	-6.195658e-013	9.640319e-003
1.000000300000000e-003	-7.074624e-002	-6.925380e-002	-1.500000e+000	-1.499994e+000	-5.554116e-006	-7.507477e-001	-7.492523e-001	-7.500015e-001	-7.499985e-001	-8.199985e-001	-8.200015e-001	-1.498546e-005	1.498546e-005	-2.892088e-002	2.892088e-002	-1.865624e-012	1.865624e-012	1.498546e-005	7.477481e-003	-7.492467e-003	7.492467e-003	2.142841e-002	-1.110823e-010	1.110823e-010	1.865132e-012	-1.865977e-012	2.892088e-002
1.000000906659477e-003	-7.226133e-002	-6.773853e-002	-4.533298e+000	-4.533257e+000	-4.078637e-005	-2.268912e+000	-2.264386e+000	-2.266650e+000	-2.266647e+000	-2.336647e+000	-2.336650e+000	-1.498172e-005	1.498172e-005	-8.740368e-002	8.740368e-002	-5.653372e-012	5.653372e-012	1.498173e-005	2.262847e-002	-2.264345e-002	2.264345e-002	6.476022e-002	-8.157274e-010	8.157274e-010	5.652741e-012	-5.653450e-012	8.740368e-002
1.000001000000000e-003	-7.249451e-002	-6.750560e-002	-5.000000e+000	-4.999951e+000	-4.868318e-005	-2.502496e+000	-2.497504e+000	-2.500001e+000	-2.499999e+000	-2.569999e+000	-2.570002e+000	-1.513662e-005	1.513662e-005	-9.640174e-002	9.640174e-002	-6.236070e-012	6.236070e-012	1.513663e-005	2.495942e-002	-2.497455e-002	2.497455e-002	7.142718e-002	-9.736636e-010	9.736636e-010	6.235346e-012	-6.236067e-012	9.640174e-002
1.000001060585351e-003	-7.249689e-002	-6.750298e-002	-5.000000e+000	-4.999946e+000	-5.452369e-005	-2.502497e+000	-2.497503e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	-5.145008e-006	5.145008e-006	-9.640150e-002	9.640150e-002	-6.241049e-012	6.241049e-012	5.145015e-006	2.496934e-002	-2.497448e-002	2.497448e-002	7.142701e-002	-1.090474e-009	1.090474e-009	6.240244e-012	-6.241905e-012	9.640150e-002
1.000001181756052e-003	-7.249737e-002	-6.750250e-002	-5.000000e+000	-4.999934e+000	-6.620467e-005	-2.502497e+000	-2.497503e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	-2.302343e-009	2.302339e-009	-9.640104e-002	9.640104e-002	-6.243590e-012	6.243590e-012	2.308577e-009	2.497436e-002	-2.497436e-002	2.497436e-002	7.142668e-002	-1.324094e-009	1.324094e-009	6.241944e-012	-6.244042e-012	9.640104e-002
1.000001424097454e-003	-7.249737e-002	-6.750250e-002	-5.000000e+000	-4.999910e+000	-8.956645e-005	-2.502497e+000	-2.497503e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	1.968800e-009	-1.968814e-009	-9.640014e-002	9.640014e-002	-6.243533e-012	6.243533e-012	-1.962576e-009	2.497413e-002	-2.497413e-002	2.497413e-002	7.142601e-002	-1.791329e-009	1.791329e-009	6.241462e-012	-6.242926e-012	9.640014e-002
1.000001908780258e-003	-7.249737e-002	-6.750250e-002	-5.000000e+000	-4.999864e+000	-1.362892e-004	-2.502497e+000	-2.497503e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	-1.057430e-010	1.057335e-010	-9.639834e-002	9.639834e-002	-6.243416e-012	6.243416e-012	1.119721e-010	2.497366e-002	-2.497366e-002	2.497366e-002	7.142468e-002	-2.725784e-009	2.725784e-009	6.242012e-012	-6.242144e-012	9.639834e-002
1.000019495842012e-003	-7.249566e-002	-6.750420e-002	-5.000000e+000	-4.998169e+000	-1.830916e-003	-2.502496e+000	-2.497504e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	3.214890e-010	-3.214925e-010	-9.633296e-002	9.633296e-002	-6.239184e-012	6.239184e-012	-3.152508e-010	2.495673e-002	-2.495673e-002	2.495673e-002	7.137626e-002	-3.661831e-008	3.661831e-008	6.238559e-012	-6.238699e-012	9.633299e-002
1.000037082903766e-003	-7.249396e-002	-6.750590e-002	-5.000000e+000	-4.996476e+000	-3.524109e-003	-2.502494e+000	-2.497506e+000	-2.500000e+000	-2.500000e+000	-2.570000e+000	-2.570000e+000	6.389804e-010	-6.389795e-010	-9.626763e-002	9.626763e-002	-6.234955e-012	6.234955e-012	-6.327363e-010	2.493982e-002	-2.493982e-002	2.493982e-002	7.132789e-002	-7.048219e-008	7.048219e-008	6.234822e-012	-6.234998e-012	9.626770e-002
