time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	I(C1)	I(C2)	I(C3)	I(C4)	I(R0)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(V1)	I(V2)	I(V3)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	0.000000e+000	-3.500000e-015	-3.500000e-015	-3.503500e-015	-3.503500e-015	-3.503500e-015	-3.503500e-015	-7.000000e-002	-7.000000e-002	7.000000e-020	7.000000e-020	3.500000e-033	3.500000e-033	7.000000e-020	-7.233884e-031	-7.233884e-031	0.000000e+000	0.000000e+000	-5.634721e-033	7.000000e-020	7.000000e-020	7.000000e-020	-3.503500e-033	-3.503500e-033	-7.000000e-020
1.000000000000000e-003	-7.000000e-002	-7.000000e-002	0.000000e+000	-2.378302e-015	-2.378163e-015	-2.073754e-015	-2.081668e-015	-2.081668e-015	-2.080736e-015	-7.000000e-002	-7.000000e-002	-8.326673e-017	-8.326673e-017	-3.422488e-017	-3.409201e-017	-6.090950e-018	1.978481e-026	-2.329939e-027	0.000000e+000	-3.956963e-017	1.984269e-021	-5.929894e-018	4.756604e-020	4.756326e-020	-5.551115e-017	0.000000e+000	3.417751e-017
1.000000433190088e-003	-7.000244e-002	-6.999755e-002	-2.165951e+000	-2.165938e+000	-1.230637e-005	-1.084058e+000	-1.081892e+000	-1.084056e+000	-1.081895e+000	-1.151895e+000	-1.154056e+000	-1.080615e-002	1.080615e-002	-5.257939e-002	5.257939e-002	-2.163760e-002	-6.324837e-015	6.324837e-015	1.080615e-002	1.083145e-002	3.094180e-002	2.163760e-002	-2.461275e-010	2.461275e-010	7.173521e-012	-6.063298e-013	5.257939e-002
1.000001000000000e-003	-7.001257e-002	-6.998754e-002	-5.000000e+000	-4.999938e+000	-6.129991e-005	-2.502504e+000	-2.497496e+000	-2.502491e+000	-2.497509e+000	-2.567509e+000	-2.572491e+000	-2.491139e-002	2.491139e-002	-1.213755e-001	1.213755e-001	-4.994870e-002	-3.147825e-014	3.147825e-014	2.491139e-002	2.503731e-002	7.142682e-002	4.994870e-002	-1.225998e-009	1.225998e-009	7.670309e-012	7.275958e-012	1.213755e-001
1.000017618063883e-003	-7.040289e-002	-6.959709e-002	-5.000000e+000	-4.997923e+000	-2.077251e-003	-2.502695e+000	-2.497305e+000	-2.502292e+000	-2.497708e+000	-2.567708e+000	-2.572292e+000	-2.295290e-002	2.295290e-002	-1.212737e-001	1.212737e-001	-4.990455e-002	-9.996886e-013	9.996886e-013	2.295290e-002	2.695165e-002	7.136922e-002	4.990455e-002	-4.154501e-008	4.154501e-008	3.634465e-012	1.549612e-012	1.212738e-001
1.000034236127767e-003	-7.076515e-002	-6.923476e-002	-5.000000e+000	-4.995909e+000	-4.091116e-003	-2.502872e+000	-2.497128e+000	-2.502107e+000	-2.497893e+000	-2.567893e+000	-2.572106e+000	-2.114269e-002	2.114269e-002	-1.211723e-001	1.211723e-001	-4.986074e-002	-1.893838e-012	1.893838e-012	2.114269e-002	2.871805e-002	7.131168e-002	4.986074e-002	-8.182232e-008	8.182232e-008	8.297498e-013	-2.864300e-012	1.211724e-001
1.000050854191650e-003	-7.109935e-002	-6.890052e-002	-5.000000e+000	-4.993897e+000	-6.102897e-003	-2.503034e+000	-2.496966e+000	-2.501934e+000	-2.498066e+000	-2.568066e+000	-2.571934e+000	-1.948078e-002	1.948078e-002	-1.210713e-001	1.210713e-001	-4.981727e-002	-2.713927e-012	2.713927e-012	1.948078e-002	3.033649e-002	7.125420e-002	4.981727e-002	-1.220579e-007	1.220579e-007	-7.438358e-013	-5.965779e-012	1.210715e-001
1.000067472255534e-003	-7.140548e-002	-6.859439e-002	-5.000000e+000	-4.991887e+000	-8.112594e-003	-2.503181e+000	-2.496819e+000	-2.501775e+000	-2.498225e+000	-2.568225e+000	-2.571775e+000	-1.796716e-002	1.796716e-002	-1.209708e-001	1.209708e-001	-4.977413e-002	-3.459955e-012	3.459955e-012	1.796716e-002	3.180698e-002	7.119678e-002	4.977413e-002	-1.622519e-007	1.622519e-007	-1.086292e-012	-7.754824e-012	1.209709e-001
1.000084090319417e-003	-7.168354e-002	-6.831637e-002	-5.000000e+000	-4.989880e+000	-1.012021e-002	-2.503313e+000	-2.496687e+000	-2.501629e+000	-2.498371e+000	-2.568371e+000	-2.571629e+000	-1.660182e-002	1.660182e-002	-1.208706e-001	1.208706e-001	-4.973133e-002	-4.131922e-012	4.131922e-012	1.660182e-002	3.312951e-002	7.113942e-002	4.973133e-002	-2.024041e-007	2.024041e-007	-1.976189e-013	-8.231435e-012	1.208708e-001
1.000100708383300e-003	-7.193354e-002	-6.806645e-002	-5.000000e+000	-4.987874e+000	-1.212573e-002	-2.503430e+000	-2.496570e+000	-2.501497e+000	-2.498503e+000	-2.568503e+000	-2.571497e+000	-1.538478e-002	1.538478e-002	-1.207708e-001	1.207708e-001	-4.968888e-002	-4.729829e-012	4.729829e-012	1.538478e-002	3.430410e-002	7.108212e-002	4.968888e-002	-2.425146e-007	2.425146e-007	1.922184e-012	-7.395614e-012	1.207710e-001
