time,"V(N008,N005)"
Step Information: R6=50 R5=50  (Run: 1/16),
0.000000000000000e+000,-0.07
1.006310719994777e-003,-0.07000009
2.030310719994708e-003,-0.07000009
3.054310719994844e-003,-0.07000009
4.078310719994979e-003,-0.07000009
5.000000000000000e-003,-0.07000009
5.000001399230875e-003,-0.07000294
5.000004197692626e-003,-0.07000873
5.000100000000000e-003,-0.07020798
5.000401724019488e-003,-0.07083055
5.000704038496940e-003,-0.07144658
5.001308667451843e-003,-0.07265783
5.002308667451843e-003,-0.07461346
5.003308667451844e-003,-0.07651139
5.004308667451844e-003,-0.07834711
5.005308667451844e-003,-0.08012265
5.006308667451844e-003,-0.08183999
5.007308667451844e-003,-0.08350103
5.008308667451844e-003,-0.08510763
5.009308667451844e-003,-0.08666158
5.010308667451844e-003,-0.08816461
5.011308667451845e-003,-0.08961837
5.012308667451845e-003,-0.09102449
5.013308667451845e-003,-0.09238455
5.014308667451845e-003,-0.09370004
5.015308667451845e-003,-0.09497243
5.017308667451845e-003,-0.09739353
5.019308667451846e-003,-0.09965858
5.021308667451846e-003,-0.1017777
5.024308667451846e-003,-0.1047032
5.027308667451847e-003,-0.10735070000000001
5.031308667451847e-003,-0.11049360000000001
5.036308667451848e-003,-0.1138775
5.042308667451849e-003,-0.1172614
5.050308667451850e-003,-0.120842
5.059308667451851e-003,-0.12388319999999998
5.070308667451852e-003,-0.126558
5.083308667451854e-003,-0.1286913
5.100000000000000e-003,-0.1303853
5.100074806723757e-003,-0.13023579999999998
5.100224420171271e-003,-0.1299375
5.104122100856352e-003,-0.1226707
5.108122100856352e-003,-0.1161193
5.112122100856353e-003,-0.1103866
5.116122100856354e-003,-0.10537039999999999
5.120122100856354e-003,-0.1009811
5.124122100856355e-003,-0.09714043
5.128122100856355e-003,-0.09377968
5.132122100856356e-003,-0.09083891
5.136122100856356e-003,-0.08826578
5.140122100856357e-003,-0.08601415
5.144122100856357e-003,-0.08404398
5.148122100856358e-003,-0.08231997
5.152122100856358e-003,-0.0808115
5.156122100856359e-003,-0.0794915
5.160122100856359e-003,-0.07833648
5.164122100856360e-003,-0.07732594
5.168122100856360e-003,-0.07644153
5.172122100856361e-003,-0.07566774
5.176122100856362e-003,-0.07499051
5.180122100856362e-003,-0.07439804
5.184122100856363e-003,-0.0738796
5.188122100856363e-003,-0.07342589
5.192122100856364e-003,-0.07302892
5.196122100856364e-003,-0.07268167
5.200122100856365e-003,-0.07237768
5.204122100856365e-003,-0.07211173
5.208122100856366e-003,-0.07187903
5.212122100856366e-003,-0.07167542
5.216122100856367e-003,-0.07149732
5.220122100856367e-003,-0.0713414
5.224122100856368e-003,-0.0712049
5.228122100856368e-003,-0.07108557
5.232122100856369e-003,-0.07098114
5.236122100856369e-003,-0.07088959
5.240122100856370e-003,-0.07080972
5.244122100856371e-003,-0.07073975
5.248122100856371e-003,-0.07067847
5.252122100856372e-003,-0.07062495
