time,"V(N008,N005)"
Step Information: R6=50 R5=50  (Run: 1/676),
0.00E+00,-0.07
1.01E-03,-0.07000009
2.03E-03,-0.07000009
3.05E-03,-0.07000009
4.08E-03,-0.07000009
5.00E-03,-0.07000009
5.00E-03,-0.07000294
5.00E-03,-0.07000873
5.00E-03,-0.07020798
5.00E-03,-0.07083055
5.00E-03,-0.07144658
5.00E-03,-0.07265783
5.00E-03,-0.07461346
5.00E-03,-0.07651139
5.00E-03,-0.07834711
5.01E-03,-0.08012265
5.01E-03,-0.08183999
5.01E-03,-0.08350103
5.01E-03,-0.08510763
5.01E-03,-0.08666158
5.01E-03,-0.08816461
5.01E-03,-0.08961837
5.01E-03,-0.09102449
5.01E-03,-0.09238455
5.01E-03,-0.09370004
5.02E-03,-0.09497243
5.02E-03,-0.09739353
5.02E-03,-0.09965858
5.02E-03,-0.1017777
5.02E-03,-0.1047032
5.03E-03,-0.1073507
5.03E-03,-0.1104936
5.04E-03,-0.1138775
5.04E-03,-0.1172614
5.05E-03,-0.120842
5.06E-03,-0.1238832
5.07E-03,-0.126558
5.08E-03,-0.1286913
5.10E-03,-0.1303853
5.10E-03,-0.1302358
5.10E-03,-0.1299375
5.10E-03,-0.1226707
5.11E-03,-0.1161193
5.11E-03,-0.1103866
5.12E-03,-0.1053704
5.12E-03,-0.1009811
5.12E-03,-0.09714043
5.13E-03,-0.09377968
5.13E-03,-0.09083891
5.14E-03,-0.08826578
5.14E-03,-0.08601415
5.14E-03,-0.08404398
5.15E-03,-0.08231997
5.15E-03,-0.0808115
5.16E-03,-0.0794915
5.16E-03,-0.07833648
5.16E-03,-0.07732594
5.17E-03,-0.07644153
5.17E-03,-0.07566774
5.18E-03,-0.07499051
5.18E-03,-0.07439804
5.18E-03,-0.0738796
5.19E-03,-0.07342589
5.19E-03,-0.07302892
5.20E-03,-0.07268167
5.20E-03,-0.07237768
5.20E-03,-0.07211173
5.21E-03,-0.07187903
5.21E-03,-0.07167542
5.22E-03,-0.07149732
5.22E-03,-0.0713414
5.22E-03,-0.0712049
5.23E-03,-0.07108557
5.23E-03,-0.07098114
5.24E-03,-0.07088959
5.24E-03,-0.07080972
5.24E-03,-0.07073975
5.25E-03,-0.07067847
5.25E-03,-0.07062495
5.26E-03,-0.07057798
5.26E-03,-0.07053697
5.26E-03,-0.07050097
5.27E-03,-0.07046962
5.27E-03,-0.07044208
5.28E-03,-0.070418
5.28E-03,-0.0703969
5.28E-03,-0.07037854
5.29E-03,-0.07036245
5.29E-03,-0.07034838
5.30E-03,-0.07033598
5.30E-03,-0.07032526
5.30E-03,-0.07031572
5.31E-03,-0.07030749
5.31E-03,-0.07030022
5.32E-03,-0.0702939
5.32E-03,-0.07028842
5.32E-03,-0.07028353
5.33E-03,-0.07027936
5.33E-03,-0.07027555
5.34E-03,-0.07027233
5.34E-03,-0.07026947
5.34E-03,-0.07026708
5.35E-03,-0.07026482
5.35E-03,-0.07026291
5.36E-03,-0.07026124
5.36E-03,-0.07025945
5.37E-03,-0.07025802
5.37E-03,-0.07025671
5.38E-03,-0.07025564
5.38E-03,-0.07025468
5.39E-03,-0.07025397
5.39E-03,-0.07025313
5.40E-03,-0.07025254
5.40E-03,-0.07025194
5.41E-03,-0.07025146
5.42E-03,-0.07025111
5.43E-03,-0.07025075
5.44E-03,-0.07025051
5.45E-03,-0.07025015
5.46E-03,-0.07025003
5.48E-03,-0.0702498
5.50E-03,-0.0702498
5.53E-03,-0.07024968
5.61E-03,-0.07024956
6.10E-03,-0.07024944
7.13E-03,-0.07024908
8.15E-03,-0.07024896
9.18E-03,-0.07024884
1.02E-02,-0.07024872
1.12E-02,-0.07024872
1.22E-02,-0.07024872
1.33E-02,-0.07024872
1.43E-02,-0.0702486
1.53E-02,-0.0702486
1.63E-02,-0.0702486
1.74E-02,-0.0702486
1.84E-02,-0.0702486
1.94E-02,-0.0702486
2.04E-02,-0.0702486
2.15E-02,-0.0702486
2.25E-02,-0.0702486
2.35E-02,-0.0702486
2.45E-02,-0.0702486
2.50E-02,-0.0702486
2.50E-02,-0.070207
2.50E-02,-0.07012391
2.50E-02,-0.06983352
2.50E-02,-0.06933928
2.50E-02,-0.06881762
2.50E-02,-0.06779039
2.50E-02,-0.06582987
2.50E-02,-0.0639255
2.50E-02,-0.0620836
2.50E-02,-0.06030214
2.50E-02,-0.05691242
2.50E-02,-0.0537411
2.50E-02,-0.05077446
2.50E-02,-0.04667902
2.50E-02,-0.04297328
2.50E-02,-0.03857434
2.50E-02,-0.03472388
2.50E-02,-0.03057861
2.50E-02,-0.02643394
2.50E-02,-0.02253574
2.51E-02,-0.01906043
2.51E-02,-0.01639479
2.51E-02,-0.01457626
2.51E-02,-0.01351196
2.51E-02,-0.01313302
2.51E-02,-0.01244596
2.51E-02,-0.0111935
2.51E-02,-0.01026018
2.51E-02,-0.009433909
2.51E-02,-0.008575708
2.51E-02,-0.008381546
2.52E-02,-0.007906199
2.52E-02,-0.007477641
2.52E-02,-0.007614493
2.52E-02,-0.007887363
2.52E-02,-0.01522803
2.52E-02,-0.02204204
2.52E-02,-0.02800429
2.52E-02,-0.03322148
2.52E-02,-0.03778672
2.52E-02,-0.04178119
2.52E-02,-0.04527664
2.52E-02,-0.04833519
2.52E-02,-0.05101144
2.52E-02,-0.05335343
2.52E-02,-0.05540252
2.52E-02,-0.05719554
2.53E-02,-0.05876446
2.53E-02,-0.06013739
2.53E-02,-0.06133866
2.53E-02,-0.06238985
2.53E-02,-0.06330955
2.53E-02,-0.06411445
2.53E-02,-0.06481862
2.53E-02,-0.06543493
2.53E-02,-0.06597412
2.53E-02,-0.06644595
2.53E-02,-0.06685877
2.53E-02,-0.06722009
2.53E-02,-0.06753623
2.53E-02,-0.0678128
2.53E-02,-0.0680548
2.53E-02,-0.06826651
2.53E-02,-0.06845188
2.53E-02,-0.06861413
2.53E-02,-0.06875598
2.53E-02,-0.06888008
2.53E-02,-0.06898868
2.53E-02,-0.06908381
2.53E-02,-0.06916702
2.53E-02,-0.06923985
2.53E-02,-0.06930351
2.54E-02,-0.0693593
2.54E-02,-0.06940806
2.54E-02,-0.06945074
2.54E-02,-0.06948805
2.54E-02,-0.06952071
2.54E-02,-0.06954932
2.54E-02,-0.06957436
2.54E-02,-0.06959629
2.54E-02,-0.06961548
2.54E-02,-0.06963217
2.54E-02,-0.06964684
2.54E-02,-0.06965971
2.54E-02,-0.06967092
2.54E-02,-0.06968069
2.54E-02,-0.06968927
2.54E-02,-0.0696969
2.54E-02,-0.06970346
2.54E-02,-0.06970918
2.54E-02,-0.06971419
2.54E-02,-0.0697186
2.54E-02,-0.06972253
2.54E-02,-0.06972587
2.54E-02,-0.06972885
2.54E-02,-0.06973147
2.54E-02,-0.06973374
2.55E-02,-0.06973565
2.55E-02,-0.06973743
2.55E-02,-0.06973922
2.55E-02,-0.06974089
2.55E-02,-0.06974232
2.55E-02,-0.06974339
2.55E-02,-0.06974435
2.55E-02,-0.06974518
2.55E-02,-0.0697459
2.55E-02,-0.06974649
2.55E-02,-0.06974709
2.55E-02,-0.06974769
2.55E-02,-0.06974804
2.55E-02,-0.0697484
2.55E-02,-0.06974876
2.55E-02,-0.069749
2.55E-02,-0.06974912
2.56E-02,-0.06974924
2.56E-02,-0.06974947
2.56E-02,-0.06974971
2.56E-02,-0.06974971
2.57E-02,-0.06974983
2.66E-02,-0.06975043
2.76E-02,-0.06975091
2.86E-02,-0.06975126
2.96E-02,-0.0697515
3.07E-02,-0.06975162
3.17E-02,-0.06975174
3.27E-02,-0.06975174
3.37E-02,-0.06975186
3.48E-02,-0.06975186
3.58E-02,-0.06975186
3.68E-02,-0.06975186
3.78E-02,-0.06975186
3.89E-02,-0.06975186
3.99E-02,-0.06975186
4.09E-02,-0.06975186
4.19E-02,-0.06975186
4.30E-02,-0.06975186
4.40E-02,-0.06975186
4.50E-02,-0.06975186
4.50E-02,-0.06977272
4.50E-02,-0.06981432
4.50E-02,-0.06989741
4.50E-02,-0.06995976
4.50E-02,-0.07000971
4.50E-02,-0.07020831
4.50E-02,-0.07047212
4.50E-02,-0.07099533
4.50E-02,-0.07202566
4.50E-02,-0.07399237
4.50E-02,-0.07590258
4.50E-02,-0.07774997
4.50E-02,-0.07953703
4.50E-02,-0.08126533
4.50E-02,-0.0845542
4.50E-02,-0.08763075
4.50E-02,-0.09187794
4.50E-02,-0.09572107
4.50E-02,-0.0991987
4.50E-02,-0.1033269
4.50E-02,-0.1069404
4.50E-02,-0.1108307
4.50E-02,-0.1147205
4.50E-02,-0.1183794
4.51E-02,-0.1216415
4.51E-02,-0.1241438
4.51E-02,-0.1256308
4.51E-02,-0.1264705
4.51E-02,-0.1268506
4.51E-02,-0.1275397
4.51E-02,-0.128796
4.51E-02,-0.1297321
4.51E-02,-0.1301372
4.51E-02,-0.1299374
4.51E-02,-0.1295398
4.51E-02,-0.1217657
4.51E-02,-0.1152963
4.51E-02,-0.1096355
4.51E-02,-0.1046821
4.51E-02,-0.1003479
4.51E-02,-0.09655525
4.51E-02,-0.09323664
4.51E-02,-0.09033278
4.51E-02,-0.08779184
4.51E-02,-0.08556846
