time,"V(N014,N007)"
Step Information: X=50  (Run: 1/11),
0.000000000000000e+000,-0.07
9.999999960041972e-012,-0.07
1.999999992008394e-011,-0.07
3.999999984016789e-011,-0.07
4.499999982018887e-011,-0.07
5.499999978023085e-011,-0.07
7.499999970031479e-011,-0.07
7.999999968033578e-011,-0.07
8.999999964037775e-011,-0.07
1.099999995604617e-010,-0.07
1.499999994006296e-010,-0.07
1.599999993606716e-010,-0.07
1.799999992807555e-010,-0.07
2.199999991209234e-010,-0.07
2.999999988012592e-010,-0.07
4.599999981619307e-010,-0.07
7.799999968832738e-010,-0.07
1.419999994325960e-009,-0.07
2.699999989211332e-009,-0.07
5.259999978982077e-009,-0.07
1.037999995852357e-008,-0.07
2.061999991760655e-008,-0.07
4.109999983577251e-008,-0.07
8.205999967210442e-008,-0.07
1.639799993447683e-007,-0.07
3.278199986900959e-007,-0.07
6.554999973807513e-007,-0.07
1.310859994762062e-006,-0.07
2.310859994762062e-006,-0.07
2.031085999476207e-005,-0.07
7.303108599947733e-004,-0.07000005
9.973108599947776e-004,-0.07000007
1.838310859994707e-003,-0.07000013
2.021310859994706e-003,-0.07000015
3.045310859994842e-003,-0.07000021
4.069310859994978e-003,-0.07000021
4.998310859995101e-003,-0.07000021
4.999310859995101e-003,-0.07000021
5.000000000000000e-003,-0.07000021
5.000001398950741e-003,-0.07000305
5.000004196852223e-003,-0.07000885
5.000006827323453e-003,-0.07001432
5.000009823326054e-003,-0.07002057
5.000027799341655e-003,-0.07005799
5.000051767362457e-003,-0.07010784
5.000099703404061e-003,-0.07020748
5.000100000000000e-003,-0.07020809
5.000100593191880e-003,-0.07020932
5.000101779575638e-003,-0.07021179
5.000104152343156e-003,-0.07021672
5.000108897878190e-003,-0.07022656
5.000118388948259e-003,-0.07024626
5.000137371088396e-003,-0.07028562
5.000175335368671e-003,-0.07036427
5.000251263929221e-003,-0.07052119
5.000403121050321e-003,-0.07083354
5.000706835292522e-003,-0.07145236
5.001314263776922e-003,-0.07266907
5.002314263776922e-003,-0.07462437
5.003314263776922e-003,-0.07652196
5.004314263776922e-003,-0.07835732
5.005314263776923e-003,-0.08013253
5.006314263776923e-003,-0.08184955
5.007314263776923e-003,-0.08351029
5.008314263776923e-003,-0.08511658
5.009314263776923e-003,-0.08667024
5.010314263776923e-003,-0.08817299
5.011314263776923e-003,-0.08962648
5.012314263776923e-003,-0.09103236
5.013314263776924e-003,-0.09239215
5.014314263776924e-003,-0.09370738
5.015314263776924e-003,-0.09497954
5.017314263776924e-003,-0.09740019
5.019314263776924e-003,-0.09966484
5.021314263776925e-003,-0.1017836
5.024314263776925e-003,-0.1047086
5.027314263776925e-003,-0.1073555
5.031314263776926e-003,-0.11049780000000001
5.036314263776927e-003,-0.11388110000000001
5.042314263776927e-003,-0.1172644
5.050314263776928e-003,-0.1208443
5.059314263776930e-003,-0.12388489999999999
5.070314263776931e-003,-0.12655919999999998
5.074314263776932e-003,-0.12731489999999998
5.090314263776934e-003,-0.1295152
5.099314263776935e-003,-0.1303321
5.100000000000000e-003,-0.1303854
5.100074278889487e-003,-0.130237
