time,"V(N014,N007)"
Step Information: X=50  (Run: 1/11),
0.000000000000000e+000,-0.07
9.999999960041972e-012,-0.07
1.999999992008394e-011,-0.07
3.999999984016789e-011,-0.07
4.499999982018887e-011,-0.07
5.499999978023085e-011,-0.07
7.499999970031479e-011,-0.07
7.999999968033578e-011,-0.07
8.999999964037775e-011,-0.07
1.099999995604617e-010,-0.07
1.499999994006296e-010,-0.07
1.599999993606716e-010,-0.07
1.799999992807555e-010,-0.07
2.199999991209234e-010,-0.07
2.999999988012592e-010,-0.07
4.599999981619307e-010,-0.07
7.799999968832738e-010,-0.07
1.419999994325960e-009,-0.07
2.699999989211332e-009,-0.07
5.259999978982077e-009,-0.07
1.037999995852357e-008,-0.07
2.061999991760655e-008,-0.07
4.109999983577251e-008,-0.07
8.205999967210442e-008,-0.07
1.639799993447683e-007,-0.07
3.278199986900959e-007,-0.07
6.554999973807513e-007,-0.07
1.310859994762062e-006,-0.07
2.310859994762062e-006,-0.07
2.031085999476207e-005,-0.07
7.303108599947733e-004,-0.07000007
9.973108599947776e-004,-0.07000008
1.838310859994707e-003,-0.07000015
2.021310859994706e-003,-0.07000016
3.045310859994842e-003,-0.0700002
4.069310859994978e-003,-0.07000024
4.998310859995101e-003,-0.07000025
4.999310859995101e-003,-0.07000025
5.000000000000000e-003,-0.07000025
5.000003331836953e-003,-0.07000163
5.000009995510858e-003,-0.07000442
5.000016257229052e-003,-0.07000705
5.000022931713797e-003,-0.07000985
5.000036280683287e-003,-0.07001545
5.000062978622266e-003,-0.07002664
5.000100000000000e-003,-0.07004219
5.000103704909364e-003,-0.07004374
5.000111114728091e-003,-0.07004685
5.000125934365545e-003,-0.07005305
5.000155573640453e-003,-0.07006547
5.000214852190268e-003,-0.07009022
5.000333409289899e-003,-0.07013953
5.000570523489161e-003,-0.07023726
5.001044751887685e-003,-0.07042928
5.001993208684734e-003,-0.07081571
5.002993208684734e-003,-0.07123072
5.003993208684734e-003,-0.07164523
5.004993208684735e-003,-0.07205825
5.005993208684735e-003,-0.07246982
5.006993208684735e-003,-0.07287991
5.007993208684735e-003,-0.07328854
5.008993208684735e-003,-0.07369572
5.009993208684735e-003,-0.07410144
5.010993208684735e-003,-0.07450571
5.011993208684736e-003,-0.07490855
5.012993208684736e-003,-0.07530995
5.013993208684736e-003,-0.07570992
5.014993208684736e-003,-0.07610847
5.015993208684736e-003,-0.0765056
5.017993208684736e-003,-0.07729562
5.019993208684737e-003,-0.07808002
5.021993208684737e-003,-0.07885883
5.023993208684737e-003,-0.0796321
5.025993208684737e-003,-0.08039989
5.028993208684738e-003,-0.08154133
5.031993208684738e-003,-0.08267063
5.034993208684739e-003,-0.0837879
5.038993208684739e-003,-0.08525914
5.042993208684740e-003,-0.08670953
5.046993208684740e-003,-0.08813941
5.051993208684741e-003,-0.08989829
5.056993208684741e-003,-0.09162614
5.062993208684742e-003,-0.09365934
5.069993208684743e-003,-0.09597716
5.077993208684744e-003,-0.09855628
5.078993208684744e-003,-0.09887356
5.087993208684746e-003,-0.1016787
5.097993208684747e-003,-0.10469189999999999
