time	V(N003,N002)
0.000000000000000e+000	0.000000e+000
1.006310719994777e-003	0.000000e+000
2.030310719994708e-003	0.000000e+000
3.054310719994844e-003	0.000000e+000
4.078310719994979e-003	0.000000e+000
5.000000000000000e-003	0.000000e+000
5.000001578566447e-003	3.944608e-005
5.000004735699340e-003	1.183177e-004
5.000048820067403e-003	1.213083e-003
5.000092904435466e-003	2.296242e-003
5.000136988803529e-003	3.367794e-003
5.000181073171593e-003	4.427739e-003
5.000225157539656e-003	5.476076e-003
5.000269241907719e-003	6.512807e-003
5.000313326275783e-003	7.537931e-003
5.000621904417467e-003	1.446573e-002
5.001086851241976e-003	2.411213e-002
5.001779361868043e-003	3.689919e-002
5.002715336272912e-003	5.176046e-002
5.003715336272912e-003	6.503423e-002
5.004715336272912e-003	7.593698e-002
5.005715336272912e-003	8.485743e-002
5.006715336272912e-003	9.215601e-002
5.007715336272913e-003	9.812757e-002
5.008715336272913e-003	1.030134e-001
5.009715336272913e-003	1.070109e-001
5.010715336272913e-003	1.102816e-001
5.012715336272913e-003	1.151472e-001
5.014715336272914e-003	1.184043e-001
5.017715336272914e-003	1.213874e-001
5.020143907701486e-003	1.224974e-001
5.022572479130057e-003	1.234037e-001
5.025001050558629e-003	1.241064e-001
5.027429621987201e-003	1.246054e-001
5.029858193415773e-003	1.249009e-001
5.032286764844345e-003	1.249926e-001
5.034715336272916e-003	1.248808e-001
5.090715336272924e-003	1.250000e-001
5.100000000000000e-003	1.250000e-001
5.100039236185222e-003	1.240293e-001
5.100117708555666e-003	1.221103e-001
5.100588542778325e-003	1.113330e-001
5.101216321741871e-003	9.858951e-002
5.102216321741872e-003	8.098597e-002
5.103216321741872e-003	6.626141e-002
5.104216321741872e-003	5.421401e-002
5.105216321741872e-003	4.435702e-002
5.106216321741872e-003	3.629220e-002
5.107216321741872e-003	2.969369e-002
5.108216321741872e-003	2.429490e-002
5.109216321741873e-003	1.987769e-002
5.110216321741873e-003	1.626360e-002
5.111216321741873e-003	1.330662e-002
5.112216321741873e-003	1.088726e-002
5.113216321741873e-003	8.907778e-003
5.114216321741873e-003	7.288200e-003
5.115216321741873e-003	5.963088e-003
5.116216321741873e-003	4.878901e-003
5.117216321741874e-003	3.991838e-003
5.118216321741874e-003	3.266058e-003
5.119216321741874e-003	2.672235e-003
5.120216321741874e-003	2.186380e-003
5.121216321741874e-003	1.788860e-003
5.122216321741874e-003	1.463617e-003
5.123216321741874e-003	1.197507e-003
5.124216321741875e-003	9.797812e-004
5.125216321741875e-003	8.016410e-004
5.126216321741875e-003	6.558898e-004
5.127216321741875e-003	5.366383e-004
5.128216321741875e-003	4.390688e-004
5.129216321741875e-003	3.592390e-004
5.130216321741875e-003	2.939235e-004
5.131216321741875e-003	2.404835e-004
5.132216321741876e-003	1.967597e-004
5.133216321741876e-003	1.609856e-004
5.134216321741876e-003	1.317158e-004
5.135216321741876e-003	1.077677e-004
5.136216321741876e-003	8.817381e-005
5.137216321741876e-003	7.214239e-005
5.138216321741876e-003	5.902573e-005
5.139216321741877e-003	4.829390e-005
5.140216321741877e-003	3.951328e-005
5.141216321741877e-003	3.232913e-005
5.142216321741877e-003	2.645117e-005
5.143216321741877e-003	2.164192e-005
5.144216321741877e-003	1.770707e-005
5.145216321741877e-003	1.448764e-005
5.146216321741877e-003	1.185355e-005
5.147216321741878e-003	9.698381e-006
5.148216321741878e-003	7.935059e-006
5.149216321741878e-003	6.492336e-006
5.150216321741878e-003	5.311924e-006
5.151216321741878e-003	4.346131e-006
5.152216321741878e-003	3.555934e-006
5.153216321741878e-003	2.909407e-006
5.154216321741879e-003	2.380430e-006
5.155216321741879e-003	1.947629e-006
5.156216321741879e-003	1.593519e-006
5.157216321741879e-003	1.303791e-006
5.158216321741879e-003	1.066741e-006
5.159216321741879e-003	8.727900e-007
5.160216321741879e-003	7.141026e-007
5.161216321741879e-003	5.842672e-007
5.163216321741880e-003	3.911229e-007
5.165216321741880e-003	2.618274e-007
5.168216321741880e-003	1.434061e-007
5.170359178884738e-003	1.021465e-007
5.172502036027595e-003	6.814777e-008
5.174644893170453e-003	4.141003e-008
5.176787750313310e-003	2.193323e-008
5.178930607456168e-003	9.717389e-009
5.181073464599025e-003	4.762497e-009
5.183216321741882e-003	7.068556e-009
6.110216321742005e-003	-1.110222e-016
7.134216321742141e-003	-1.110223e-016
8.158216321741978e-003	-2.220447e-016
9.182216321741226e-003	-1.110223e-016
1.020621632174047e-002	-1.110224e-016
1.123021632173972e-002	-2.220446e-016
1.225421632173897e-002	-1.110224e-016
1.327821632173822e-002	-1.110222e-016
1.430221632173746e-002	-5.293956e-023
1.532621632173671e-002	-5.293956e-023
1.635021632173722e-002	5.293956e-023
1.737421632173824e-002	-5.293956e-023
1.839821632173927e-002	-5.293956e-023
1.942221632174029e-002	0.000000e+000
2.044621632174131e-002	-5.293956e-023
2.147021632174234e-002	-1.110222e-016
2.249421632174336e-002	-2.220447e-016
2.351821632174439e-002	-1.110224e-016
2.454221632174541e-002	-1.110222e-016
2.500000000000000e-002	1.838799e-015
2.500000177937468e-002	-4.446174e-005
2.500000533812405e-002	-1.333393e-004
2.500002669062022e-002	-6.649675e-004
2.500005516061512e-002	-1.369415e-003
2.500011210060491e-002	-2.763426e-003
2.500022598058450e-002	-5.493162e-003
2.500045374054369e-002	-1.072902e-002
2.500090926046206e-002	-2.037644e-002
2.500182030029879e-002	-3.740269e-002
2.500282030029879e-002	-5.325909e-002
2.500382030029879e-002	-6.630275e-002
2.500482030029879e-002	-7.697485e-002
2.500582030029879e-002	-8.570661e-002
2.500682030029880e-002	-9.285078e-002
2.500782030029880e-002	-9.869603e-002
2.500882030029880e-002	-1.034785e-001
2.500982030029880e-002	-1.073915e-001
2.501082030029880e-002	-1.105930e-001
2.501282030029880e-002	-1.153556e-001
2.501482030029880e-002	-1.185438e-001
2.501782030029881e-002	-1.214639e-001
2.502024887172738e-002	-1.225503e-001
2.502267744315595e-002	-1.234375e-001
2.502510601458453e-002	-1.241253e-001
2.502753458601310e-002	-1.246138e-001
2.502996315744168e-002	-1.249030e-001
2.503239172887025e-002	-1.249928e-001
2.503482030029882e-002	-1.248833e-001
2.520000000000000e-002	-1.250000e-001
2.520002852972226e-002	-1.242922e-001
2.520008558916678e-002	-1.228884e-001
2.520042794583389e-002	-1.148644e-001
2.520088442139004e-002	-1.051480e-001
2.520179737250233e-002	-8.800285e-002
2.520279737250233e-002	-7.207154e-002
2.520379737250234e-002	-5.896777e-002
2.520479737250234e-002	-4.824647e-002
2.520579737250234e-002	-3.947448e-002
2.520679737250234e-002	-3.229738e-002
2.520779737250234e-002	-2.642519e-002
2.520879737250234e-002	-2.162067e-002
2.520979737250234e-002	-1.768968e-002
2.521079737250234e-002	-1.447341e-002
2.521179737250234e-002	-1.184191e-002
2.521279737250234e-002	-9.688858e-003
2.521379737250235e-002	-7.927266e-003
2.521479737250235e-002	-6.485961e-003
2.521579737250235e-002	-5.306708e-003
2.521679737250235e-002	-4.341863e-003
2.521779737250235e-002	-3.552442e-003
2.521879737250235e-002	-2.906550e-003
2.521979737250235e-002	-2.378092e-003
2.522079737250235e-002	-1.945717e-003
2.522179737250235e-002	-1.591954e-003
2.522279737250235e-002	-1.302511e-003
2.522379737250236e-002	-1.065693e-003
2.522479737250236e-002	-8.719330e-004
2.522579737250236e-002	-7.134015e-004
2.522679737250236e-002	-5.836935e-004
2.522779737250236e-002	-4.775686e-004
2.522879737250236e-002	-3.907389e-004
2.522979737250236e-002	-3.196962e-004
2.523079737250236e-002	-2.615703e-004
2.523179737250236e-002	-2.140125e-004
2.523279737250236e-002	-1.751016e-004
2.523379737250237e-002	-1.432653e-004
2.523479737250237e-002	-1.172173e-004
2.523579737250237e-002	-9.590533e-005
2.523679737250237e-002	-7.846819e-005
2.523779737250237e-002	-6.420140e-005
2.523879737250237e-002	-5.252855e-005
2.523979737250237e-002	-4.297801e-005
2.524079737250237e-002	-3.516391e-005
2.524179737250237e-002	-2.877054e-005
2.524279737250237e-002	-2.353959e-005
2.524379737250238e-002	-1.925971e-005
2.524479737250238e-002	-1.575798e-005
2.524579737250238e-002	-1.289293e-005
2.524679737250238e-002	-1.054878e-005
2.524779737250238e-002	-8.630845e-006
2.524879737250238e-002	-7.061617e-006
2.524979737250238e-002	-5.777701e-006
2.525079737250238e-002	-4.727221e-006
2.525179737250238e-002	-3.867736e-006
2.525279737250238e-002	-3.164519e-006
2.525379737250239e-002	-2.589158e-006
2.525479737250239e-002	-2.118407e-006
2.525579737250239e-002	-1.733246e-006
2.525679737250239e-002	-1.418114e-006
2.525779737250239e-002	-1.160278e-006
2.525879737250239e-002	-9.493206e-007
2.525979737250239e-002	-7.767188e-007
2.526079737250239e-002	-6.354987e-007
2.526279737250239e-002	-4.254186e-007
2.526479737250240e-002	-2.847857e-007
2.526779737250240e-002	-1.559807e-007
2.526994022964526e-002	-1.111032e-007
2.527208308678812e-002	-7.412331e-008
2.527422594393098e-002	-4.504107e-008
2.527636880107384e-002	-2.385645e-008
2.527851165821670e-002	-1.056946e-008
2.528065451535955e-002	-5.180098e-009
2.528279737250241e-002	-7.688365e-009
2.555279737250268e-002	2.220446e-016
2.657679737250371e-002	1.110224e-016
2.760079737250473e-002	1.110223e-016
2.862479737250576e-002	2.220446e-016
2.964879737250678e-002	1.110224e-016
3.067279737250780e-002	0.000000e+000
3.169679737250883e-002	-5.293956e-023
3.272079737250985e-002	5.293956e-023
3.374479737251088e-002	5.293956e-023
3.476879737251190e-002	5.293956e-023
3.579279737251292e-002	5.293956e-023
3.681679737251395e-002	1.110224e-016
3.784079737251497e-002	2.220446e-016
3.886479737251600e-002	1.110224e-016
3.988879737251702e-002	1.110224e-016
4.091279737251805e-002	2.220446e-016
4.193679737251907e-002	5.293956e-023
