time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	V(nc_01)	V(nc_02)	V(nc_03)	V(nc_04)	V(nc_05)	V(nc_06)	I(C1)	I(C2)	I(C3)	I(C4)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(V1)	I(V2)	I(V3)	I(V5)	I(V6)	I(V7)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	0.000000e+000	-2.100000e-020	-2.100000e-020	-2.102100e-020	-2.102100e-020	-2.102098e-020	-2.102098e-020	-7.000000e-002	-7.000000e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	4.200000e-025	4.200000e-025	1.050000e-038	1.050000e-038	-4.168963e-035	-4.168963e-035	0.000000e+000	0.000000e+000	4.200000e-025	4.200000e-025	4.200000e-025	4.200000e-025	-1.261169e-043	-1.261169e-043	0.000000e+000	0.000000e+000	0.000000e+000	-4.200000e-025
1.006310719994777e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-1.391927e-012	-1.391927e-012	-1.403471e-012	-1.403471e-012	-9.235272e-008	-9.235272e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	2.646978e-023	2.646978e-023	2.030398e-016	2.030398e-016	2.308783e-016	2.308783e-016	0.000000e+000	-2.524355e-030	2.308784e-016	2.308784e-016	2.783854e-017	2.783854e-017	-1.684165e-017	-1.684165e-017	0.000000e+000	0.000000e+000	0.000000e+000	-2.308784e-016
2.030310719994708e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-1.799351e-012	-1.799351e-012	-1.810895e-012	-1.810895e-012	-9.235313e-008	-9.235313e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	-1.058791e-022	-1.058791e-022	1.948912e-016	1.948912e-016	2.308783e-016	2.308783e-016	0.000000e+000	-2.524355e-030	2.308782e-016	2.308782e-016	3.598703e-017	3.598703e-017	2.003139e-016	2.003139e-016	0.000000e+000	0.000000e+000	0.000000e+000	-2.308782e-016
3.054310719994844e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-2.190425e-012	-2.190425e-012	-2.201969e-012	-2.201969e-012	-9.235352e-008	-9.235352e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	-5.293956e-023	-5.293956e-023	1.870698e-016	1.870698e-016	2.308783e-016	2.308783e-016	0.000000e+000	0.000000e+000	2.308783e-016	2.308783e-016	4.380849e-017	4.380849e-017	6.397102e-016	6.397102e-016	0.000000e+000	0.000000e+000	0.000000e+000	-2.308783e-016
4.078310719994979e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-2.565803e-012	-2.565803e-012	-2.577347e-012	-2.577347e-012	-9.235389e-008	-9.235389e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	-5.293956e-023	-5.293956e-023	1.795622e-016	1.795622e-016	2.308783e-016	2.308783e-016	0.000000e+000	0.000000e+000	2.308783e-016	2.308783e-016	5.131607e-017	5.131607e-017	4.131610e-016	4.131610e-016	0.000000e+000	0.000000e+000	0.000000e+000	-2.308783e-016
5.000000000000000e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-2.890491e-012	-2.890491e-012	-2.881800e-012	-2.881800e-012	-9.233034e-008	-9.233034e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	-4.046389e-016	-4.046389e-016	-2.316299e-016	-2.316299e-016	2.308186e-016	2.308186e-016	0.000000e+000	-8.077936e-029	-1.738201e-016	-1.738201e-016	5.780981e-017	5.780981e-017	-5.017061e-017	-5.017061e-017	0.000000e+000	0.000000e+000	0.000000e+000	1.738201e-016
5.000001399230875e-003	-7.000294e-002	-6.999725e-002	-3.498077e-005	-3.497968e-005	-1.096213e-009	-2.033707e-005	-1.464371e-005	-1.758278e-005	-1.758266e-005	-7.001758e-002	-7.001758e-002	-3.498077e-005	0.000000e+000	-7.000000e-002	0.000000e+000	-5.037231e-003	0.000000e+000	-8.183958e-009	8.183958e-009	-2.928522e-007	2.928522e-007	-6.885785e-015	7.347422e-015	8.183966e-009	2.846682e-007	-2.928522e-007	2.928522e-007	-2.180864e-014	2.192425e-014	7.623211e-015	-7.227882e-015	0.000000e+000	0.000000e+000	0.000000e+000	2.928522e-007
5.000004197692626e-003	-7.000873e-002	-6.999145e-002	-1.049423e-004	-1.049375e-004	-4.865598e-009	-6.111139e-005	-4.383093e-005	-5.256355e-005	-5.256342e-005	-7.005256e-002	-7.005256e-002	-1.049423e-004	0.000000e+000	-7.000000e-002	0.000000e+000	-1.511169e-002	0.000000e+000	-1.249864e-008	1.249864e-008	-8.765213e-007	8.765213e-007	-2.136959e-014	2.183123e-014	1.249866e-008	8.640227e-007	-8.765214e-007	8.765214e-007	-9.719634e-014	9.731196e-014	2.256667e-014	-2.218873e-014	0.000000e+000	0.000000e+000	0.000000e+000	8.765214e-007
5.000100000000000e-003	-7.020798e-002	-6.979221e-002	-2.500000e-003	-2.497918e-003	-2.081697e-006	-1.457884e-003	-1.042116e-003	-1.250092e-003	-1.250092e-003	-7.125010e-002	-7.125010e-002	-2.500000e-003	0.000000e+000	-7.000000e-002	0.000000e+000	-3.600000e-001	0.000000e+000	-1.229693e-008	1.229693e-008	-2.080065e-005	2.080065e-005	-5.194788e-013	5.199404e-013	1.229744e-008	2.078839e-005	-2.080069e-005	2.080069e-005	-4.163382e-011	4.163394e-011	5.192167e-013	-5.184463e-013	0.000000e+000	0.000000e+000	0.000000e+000	2.080069e-005
5.000415523921692e-003	-7.085750e-002	-6.914269e-002	-1.038810e-002	-1.033907e-002	-4.902912e-005	-6.051450e-003	-4.336648e-003	-5.194141e-003	-5.194141e-003	-7.519414e-002	-7.519414e-002	-1.038810e-002	0.000000e+000	-7.000000e-002	0.000000e+000	-3.600000e-001	0.000000e+000	-1.226911e-008	1.226911e-008	-8.575140e-005	8.575140e-005	-2.143272e-012	2.143733e-012	1.227125e-008	8.574011e-005	-8.575237e-005	8.575237e-005	-9.805826e-010	9.805826e-010	2.143473e-012	-2.143115e-012	0.000000e+000	0.000000e+000	0.000000e+000	8.575237e-005
5.000731047843384e-003	-7.150029e-002	-6.849990e-002	-1.827620e-002	-1.813989e-002	-1.363027e-004	-1.063830e-002	-7.637901e-003	-9.138190e-003	-9.138190e-003	-7.913819e-002	-7.913819e-002	-1.827620e-002	0.000000e+000	-7.000000e-002	0.000000e+000	-3.600000e-001	0.000000e+000	-1.221630e-008	1.221630e-008	-1.500292e-004	1.500292e-004	-3.750263e-012	3.750724e-012	1.222005e-008	1.500197e-004	-1.500320e-004	1.500320e-004	-2.726053e-009	2.726053e-009	3.750805e-012	-3.750778e-012	0.000000e+000	0.000000e+000	0.000000e+000	1.500320e-004
5.001046571765076e-003	-7.213636e-002	-6.786382e-002	-2.616429e-002	-2.590039e-002	-2.639023e-004	-1.521842e-002	-1.094587e-002	-1.308224e-002	-1.308224e-002	-8.308224e-002	-8.308224e-002	-2.616429e-002	0.000000e+000	-7.000000e-002	0.000000e+000	-3.600000e-001	0.000000e+000	-1.213850e-008	1.213850e-008	-2.136342e-004	2.136342e-004	-5.340451e-012	5.340913e-012	1.214384e-008	2.136273e-004	-2.136394e-004	2.136394e-004	-5.278046e-009	5.278046e-009	5.341212e-012	-5.341434e-012	0.000000e+000	0.000000e+000	0.000000e+000	2.136394e-004
