time	V(N008,N005)
Step Information: R6=50 R5=50  (Run: 1/16)
0.000000000000000e+000	-7.000000e-002
1.006310719994777e-003	-7.000009e-002
2.030310719994708e-003	-7.000009e-002
3.054310719994844e-003	-7.000009e-002
4.078310719994979e-003	-7.000009e-002
5.000000000000000e-003	-7.000009e-002
5.000001399230875e-003	-7.000294e-002
5.000004197692626e-003	-7.000873e-002
5.000100000000000e-003	-7.020798e-002
5.000401724019488e-003	-7.083055e-002
5.000704038496940e-003	-7.144658e-002
5.001308667451843e-003	-7.265783e-002
5.002308667451843e-003	-7.461346e-002
5.003308667451844e-003	-7.651139e-002
5.004308667451844e-003	-7.834711e-002
5.005308667451844e-003	-8.012265e-002
5.006308667451844e-003	-8.183999e-002
5.007308667451844e-003	-8.350103e-002
5.008308667451844e-003	-8.510763e-002
5.009308667451844e-003	-8.666158e-002
5.010308667451844e-003	-8.816461e-002
5.011308667451845e-003	-8.961837e-002
5.012308667451845e-003	-9.102449e-002
5.013308667451845e-003	-9.238455e-002
5.014308667451845e-003	-9.370004e-002
5.015308667451845e-003	-9.497243e-002
5.017308667451845e-003	-9.739353e-002
5.019308667451846e-003	-9.965858e-002
5.021308667451846e-003	-1.017777e-001
5.024308667451846e-003	-1.047032e-001
5.027308667451847e-003	-1.073507e-001
5.031308667451847e-003	-1.104936e-001
5.036308667451848e-003	-1.138775e-001
5.042308667451849e-003	-1.172614e-001
5.050308667451850e-003	-1.208420e-001
5.059308667451851e-003	-1.238832e-001
5.070308667451852e-003	-1.265580e-001
5.083308667451854e-003	-1.286913e-001
5.100000000000000e-003	-1.303853e-001
5.100074806723757e-003	-1.302358e-001
5.100224420171271e-003	-1.299375e-001
5.104122100856352e-003	-1.226707e-001
5.108122100856352e-003	-1.161193e-001
5.112122100856353e-003	-1.103866e-001
5.116122100856354e-003	-1.053704e-001
5.120122100856354e-003	-1.009811e-001
5.124122100856355e-003	-9.714043e-002
5.128122100856355e-003	-9.377968e-002
5.132122100856356e-003	-9.083891e-002
5.136122100856356e-003	-8.826578e-002
5.140122100856357e-003	-8.601415e-002
5.144122100856357e-003	-8.404398e-002
5.148122100856358e-003	-8.231997e-002
5.152122100856358e-003	-8.081150e-002
5.156122100856359e-003	-7.949150e-002
5.160122100856359e-003	-7.833648e-002
5.164122100856360e-003	-7.732594e-002
5.168122100856360e-003	-7.644153e-002
5.172122100856361e-003	-7.566774e-002
5.176122100856362e-003	-7.499051e-002
5.180122100856362e-003	-7.439804e-002
5.184122100856363e-003	-7.387960e-002
5.188122100856363e-003	-7.342589e-002
5.192122100856364e-003	-7.302892e-002
5.196122100856364e-003	-7.268167e-002
5.200122100856365e-003	-7.237768e-002
5.204122100856365e-003	-7.211173e-002
5.208122100856366e-003	-7.187903e-002
5.212122100856366e-003	-7.167542e-002
5.216122100856367e-003	-7.149732e-002
5.220122100856367e-003	-7.134140e-002
5.224122100856368e-003	-7.120490e-002
5.228122100856368e-003	-7.108557e-002
5.232122100856369e-003	-7.098114e-002
5.236122100856369e-003	-7.088959e-002
5.240122100856370e-003	-7.080972e-002
5.244122100856371e-003	-7.073975e-002
5.248122100856371e-003	-7.067847e-002
5.252122100856372e-003	-7.062495e-002
5.256122100856372e-003	-7.057798e-002
5.260122100856373e-003	-7.053697e-002
5.264122100856373e-003	-7.050097e-002
5.268122100856374e-003	-7.046962e-002
5.272122100856374e-003	-7.044208e-002
5.276122100856375e-003	-7.041800e-002
5.280122100856375e-003	-7.039690e-002
5.284122100856376e-003	-7.037854e-002
5.288122100856376e-003	-7.036245e-002
5.292122100856377e-003	-7.034838e-002
5.296122100856377e-003	-7.033598e-002
5.300122100856378e-003	-7.032526e-002
5.304122100856379e-003	-7.031572e-002
5.308122100856379e-003	-7.030749e-002
5.312122100856380e-003	-7.030022e-002
5.316122100856380e-003	-7.029390e-002
5.320122100856381e-003	-7.028842e-002
5.324122100856381e-003	-7.028353e-002
5.328122100856382e-003	-7.027936e-002
5.332122100856382e-003	-7.027555e-002
5.336122100856383e-003	-7.027233e-002
5.340122100856383e-003	-7.026947e-002
5.344122100856384e-003	-7.026708e-002
5.348122100856384e-003	-7.026482e-002
5.352122100856385e-003	-7.026291e-002
5.356122100856385e-003	-7.026124e-002
5.361122100856386e-003	-7.025945e-002
5.366122100856387e-003	-7.025802e-002
5.371122100856387e-003	-7.025671e-002
5.376122100856388e-003	-7.025564e-002
5.381122100856389e-003	-7.025468e-002
5.386122100856389e-003	-7.025397e-002
5.392122100856390e-003	-7.025313e-002
5.398122100856391e-003	-7.025254e-002
5.404122100856392e-003	-7.025194e-002
5.411122100856393e-003	-7.025146e-002
5.418122100856394e-003	-7.025111e-002
5.426122100856395e-003	-7.025075e-002
5.435122100856396e-003	-7.025051e-002
5.446122100856397e-003	-7.025015e-002
5.459122100856399e-003	-7.025003e-002
5.475122100856401e-003	-7.024980e-002
5.496122100856404e-003	-7.024980e-002
5.529122100856408e-003	-7.024968e-002
5.606122100856419e-003	-7.024956e-002
6.104122100856485e-003	-7.024944e-002
7.128122100856621e-003	-7.024908e-002
8.152122100856462e-003	-7.024896e-002
9.176122100855709e-003	-7.024884e-002
1.020012210085496e-002	-7.024872e-002
1.122412210085421e-002	-7.024872e-002
1.224812210085345e-002	-7.024872e-002
1.327212210085270e-002	-7.024872e-002
1.429612210085195e-002	-7.024860e-002
1.532012210085120e-002	-7.024860e-002
1.634412210085169e-002	-7.024860e-002
1.736812210085272e-002	-7.024860e-002
1.839212210085374e-002	-7.024860e-002
1.941612210085476e-002	-7.024860e-002
2.044012210085579e-002	-7.024860e-002
2.146412210085681e-002	-7.024860e-002
2.248812210085784e-002	-7.024860e-002
2.351212210085886e-002	-7.024860e-002
2.453612210085988e-002	-7.024860e-002
2.500000000000000e-002	-7.024860e-002
2.500002000000000e-002	-7.020700e-002
2.500006000000000e-002	-7.012391e-002
2.500020000000000e-002	-6.983352e-002
2.500044000000000e-002	-6.933928e-002
2.500069600000000e-002	-6.881762e-002
2.500120799999999e-002	-6.779039e-002
2.500220800000000e-002	-6.582987e-002
2.500320800000000e-002	-6.392550e-002
2.500420800000000e-002	-6.208360e-002
2.500520800000000e-002	-6.030214e-002
2.500720800000000e-002	-5.691242e-002
2.500920800000000e-002	-5.374110e-002
2.501120800000000e-002	-5.077446e-002
2.501420800000001e-002	-4.667902e-002
2.501720800000001e-002	-4.297328e-002
2.502120800000001e-002	-3.857434e-002
2.502520800000002e-002	-3.472388e-002
2.503020800000002e-002	-3.057861e-002
2.503620800000003e-002	-2.643394e-002
2.504320800000004e-002	-2.253574e-002
2.505120800000004e-002	-1.906043e-002
2.505920800000005e-002	-1.639479e-002
2.506620800000006e-002	-1.457626e-002
2.507120800000006e-002	-1.351196e-002
2.507320800000007e-002	-1.313302e-002
2.507720800000007e-002	-1.244596e-002
2.508620800000008e-002	-1.119350e-002
2.509520800000009e-002	-1.026018e-002
2.510620800000010e-002	-9.433909e-003
2.512420800000012e-002	-8.575708e-003
2.513020800000012e-002	-8.381546e-003
2.515220800000015e-002	-7.906199e-003
2.520000000000000e-002	-7.477641e-003
2.520006605686467e-002	-7.614493e-003
2.520019817059400e-002	-7.887363e-003
2.520399085296999e-002	-1.522803e-002
2.520799085296999e-002	-2.204204e-002
2.521199085297000e-002	-2.800429e-002
2.521599085297000e-002	-3.322148e-002
2.521999085297001e-002	-3.778672e-002
2.522399085297001e-002	-4.178119e-002
2.522799085297001e-002	-4.527664e-002
2.523199085297002e-002	-4.833519e-002
2.523599085297002e-002	-5.101144e-002
2.523999085297003e-002	-5.335343e-002
2.524399085297003e-002	-5.540252e-002
2.524799085297003e-002	-5.719554e-002
2.525199085297004e-002	-5.876446e-002
2.525599085297004e-002	-6.013739e-002
2.525999085297005e-002	-6.133866e-002
2.526399085297005e-002	-6.238985e-002
2.526799085297005e-002	-6.330955e-002
2.527199085297006e-002	-6.411445e-002
2.527599085297006e-002	-6.481862e-002
2.527999085297007e-002	-6.543493e-002
2.528399085297007e-002	-6.597412e-002
2.528799085297007e-002	-6.644595e-002
2.529199085297008e-002	-6.685877e-002
2.529599085297008e-002	-6.722009e-002
2.529999085297009e-002	-6.753623e-002
2.530399085297009e-002	-6.781280e-002
2.530799085297009e-002	-6.805480e-002
2.531199085297010e-002	-6.826651e-002
2.531599085297010e-002	-6.845188e-002
2.531999085297011e-002	-6.861413e-002
2.532399085297011e-002	-6.875598e-002
2.532799085297011e-002	-6.888008e-002
2.533199085297012e-002	-6.898868e-002
2.533599085297012e-002	-6.908381e-002
2.533999085297013e-002	-6.916702e-002
2.534399085297013e-002	-6.923985e-002
2.534799085297013e-002	-6.930351e-002
2.535199085297014e-002	-6.935930e-002
2.535599085297014e-002	-6.940806e-002
2.535999085297015e-002	-6.945074e-002
2.536399085297015e-002	-6.948805e-002
2.536799085297015e-002	-6.952071e-002
2.537199085297016e-002	-6.954932e-002
2.537599085297016e-002	-6.957436e-002
2.537999085297017e-002	-6.959629e-002
2.538399085297017e-002	-6.961548e-002
2.538799085297017e-002	-6.963217e-002
2.539199085297018e-002	-6.964684e-002
2.539599085297018e-002	-6.965971e-002
2.539999085297019e-002	-6.967092e-002
2.540399085297019e-002	-6.968069e-002
2.540799085297019e-002	-6.968927e-002
2.541199085297020e-002	-6.969690e-002
2.541599085297020e-002	-6.970346e-002
2.541999085297021e-002	-6.970918e-002
2.542399085297021e-002	-6.971419e-002
2.542799085297021e-002	-6.971860e-002
2.543199085297022e-002	-6.972253e-002
2.543599085297022e-002	-6.972587e-002
2.543999085297023e-002	-6.972885e-002
2.544399085297023e-002	-6.973147e-002
2.544799085297023e-002	-6.973374e-002
2.545199085297024e-002	-6.973565e-002
2.545599085297024e-002	-6.973743e-002
2.546099085297025e-002	-6.973922e-002
2.546599085297025e-002	-6.974089e-002
2.547099085297026e-002	-6.974232e-002
2.547599085297026e-002	-6.974339e-002
2.548099085297027e-002	-6.974435e-002
2.548599085297027e-002	-6.974518e-002
2.549099085297028e-002	-6.974590e-002
2.549699085297028e-002	-6.974649e-002
2.550299085297029e-002	-6.974709e-002
2.550999085297030e-002	-6.974769e-002
2.551699085297030e-002	-6.974804e-002
2.552499085297031e-002	-6.974840e-002
2.553399085297032e-002	-6.974876e-002
2.554399085297033e-002	-6.974900e-002
2.554799085297033e-002	-6.974912e-002
2.556099085297035e-002	-6.974924e-002
2.557699085297036e-002	-6.974947e-002
2.559899085297038e-002	-6.974971e-002
2.563399085297042e-002	-6.974971e-002
2.572199085297051e-002	-6.974983e-002
2.657199085297136e-002	-6.975043e-002
2.759599085297238e-002	-6.975091e-002
2.861999085297341e-002	-6.975126e-002
2.964399085297443e-002	-6.975150e-002
3.066799085297545e-002	-6.975162e-002
3.169199085297648e-002	-6.975174e-002
3.271599085297750e-002	-6.975174e-002
3.373999085297853e-002	-6.975186e-002
3.476399085297955e-002	-6.975186e-002
3.578799085298057e-002	-6.975186e-002
3.681199085298160e-002	-6.975186e-002
3.783599085298262e-002	-6.975186e-002
3.885999085298365e-002	-6.975186e-002
3.988399085298467e-002	-6.975186e-002
4.090799085298569e-002	-6.975186e-002
4.193199085298672e-002	-6.975186e-002
4.295599085298774e-002	-6.975186e-002
4.397999085298877e-002	-6.975186e-002
4.500000000000000e-002	-6.975186e-002
4.500001000000000e-002	-6.977272e-002
4.500003000000000e-002	-6.981432e-002
4.500007000000000e-002	-6.989741e-002
4.500010000000000e-002	-6.995976e-002
4.500012400000000e-002	-7.000971e-002
4.500022000000001e-002	-7.020831e-002
4.500034800000001e-002	-7.047212e-002
4.500060400000001e-002	-7.099533e-002
4.500111600000003e-002	-7.202566e-002
4.500211600000003e-002	-7.399237e-002
4.500311600000003e-002	-7.590258e-002
4.500411600000003e-002	-7.774997e-002
4.500511600000003e-002	-7.953703e-002
4.500611600000003e-002	-8.126533e-002
4.500811600000004e-002	-8.455420e-002
4.501011600000004e-002	-8.763075e-002
