time	V(N008,N005)
Step Information: C3=0  (Run: 1/11)
0.000000000000000e+000	-7.000000e-002
1.006310719994777e-003	-7.000009e-002
2.030310719994708e-003	-7.000009e-002
3.054310719994844e-003	-7.000009e-002
4.078310719994979e-003	-7.000009e-002
5.000000000000000e-003	-7.000009e-002
5.000100000000000e-003	-7.000035e-002
5.092116000000015e-003	-7.023013e-002
5.100100000000001e-003	-7.024980e-002
6.113500000000135e-003	-7.024944e-002
7.137500000000270e-003	-7.024908e-002
8.161500000000103e-003	-7.024896e-002
9.185499999999350e-003	-7.024884e-002
1.020949999999860e-002	-7.024872e-002
1.123349999999785e-002	-7.024872e-002
1.225749999999709e-002	-7.024872e-002
1.328149999999634e-002	-7.024860e-002
1.430549999999559e-002	-7.024872e-002
1.532949999999484e-002	-7.024860e-002
1.635349999999535e-002	-7.024860e-002
1.737749999999637e-002	-7.024860e-002
1.840149999999740e-002	-7.024860e-002
1.942549999999842e-002	-7.024872e-002
2.044949999999944e-002	-7.024872e-002
2.147350000000047e-002	-7.024872e-002
2.249750000000149e-002	-7.024872e-002
2.352150000000252e-002	-7.024872e-002
2.454550000000354e-002	-7.024872e-002
2.500000000000000e-002	-7.024872e-002
2.500020000000000e-002	-7.024813e-002
2.520000000000000e-002	-6.974924e-002
2.555750000000035e-002	-6.974959e-002
2.658150000000138e-002	-6.975043e-002
2.760550000000240e-002	-6.975091e-002
2.862950000000343e-002	-6.975126e-002
2.965350000000445e-002	-6.975150e-002
3.067750000000548e-002	-6.975162e-002
3.170150000000650e-002	-6.975174e-002
3.272550000000752e-002	-6.975174e-002
3.374950000000854e-002	-6.975186e-002
3.477350000000957e-002	-6.975186e-002
3.579750000001059e-002	-6.975186e-002
3.682150000001162e-002	-6.975186e-002
3.784550000001264e-002	-6.975186e-002
3.886950000001366e-002	-6.975186e-002
3.989350000001469e-002	-6.975198e-002
4.091750000001571e-002	-6.975198e-002
4.194150000001674e-002	-6.975198e-002
4.296550000001776e-002	-6.975198e-002
4.398950000001878e-002	-6.975198e-002
4.500000000000000e-002	-6.975198e-002
4.500010000000000e-002	-6.975234e-002
4.500311600000003e-002	-6.975973e-002
4.510000000000000e-002	-7.000167e-002
4.602450000000093e-002	-7.000122e-002
4.704850000000195e-002	-7.000089e-002
4.807250000000297e-002	-7.000067e-002
4.909650000000400e-002	-7.000053e-002
4.999950000000490e-002	-7.000045e-002
5.000000000000000e-002	-7.000045e-002
Step Information: C3=100n  (Run: 2/11)
0.000000000000000e+000	-7.000000e-002
1.005310719994778e-003	-7.000009e-002
2.029310719994708e-003	-7.000009e-002
3.053310719994844e-003	-7.000009e-002
4.077310719994979e-003	-7.000009e-002
5.000000000000000e-003	-7.000009e-002
5.000001399231771e-003	-7.000294e-002
5.000004197695314e-003	-7.000873e-002
5.000051784408073e-003	-7.010731e-002
5.000100000000000e-003	-7.020660e-002
5.000167054641081e-003	-7.034303e-002
5.000234637271462e-003	-7.047863e-002
5.000369802532224e-003	-7.074422e-002
5.000640133053748e-003	-7.125387e-002
5.001180794096794e-003	-7.220572e-002
5.001919284597005e-003	-7.337843e-002
5.002919284597006e-003	-7.476697e-002
5.003919284597006e-003	-7.595701e-002
5.004919284597006e-003	-7.696414e-002
5.005919284597006e-003	-7.781654e-002
5.006919284597006e-003	-7.853805e-002
5.007919284597006e-003	-7.914881e-002
5.008919284597006e-003	-7.966590e-002
5.009919284597006e-003	-8.010373e-002
5.010919284597007e-003	-8.047450e-002
5.012919284597007e-003	-8.105463e-002
5.014919284597007e-003	-8.147125e-002
5.017919284597007e-003	-8.188754e-002
5.021919284597008e-003	-8.220357e-002
5.027919284597009e-003	-8.242208e-002
5.041919284597011e-003	-8.256352e-002
5.081919284597016e-003	-8.267474e-002
5.100000000000000e-003	-8.271980e-002
5.100100000000001e-003	-8.251631e-002
5.100300000000000e-003	-8.211815e-002
5.100639950324407e-003	-8.147585e-002
5.101319850973220e-003	-8.030117e-002
5.102319850973220e-003	-7.877326e-002
5.103319850973220e-003	-7.746053e-002
5.104319850973220e-003	-7.634985e-002
5.105319850973220e-003	-7.541037e-002
5.106319850973221e-003	-7.461560e-002
5.107319850973221e-003	-7.394326e-002
5.108319850973221e-003	-7.337439e-002
5.109319850973221e-003	-7.289302e-002
5.110319850973221e-003	-7.248604e-002
5.111319850973221e-003	-7.214153e-002
5.112319850973221e-003	-7.185018e-002
5.113319850973221e-003	-7.160366e-002
5.114319850973222e-003	-7.139516e-002
5.115319850973222e-003	-7.121873e-002
5.116319850973222e-003	-7.106948e-002
5.117319850973222e-003	-7.094324e-002
5.118319850973222e-003	-7.083642e-002
5.119319850973222e-003	-7.074606e-002
5.120319850973222e-003	-7.066965e-002
5.121319850973223e-003	-7.060492e-002
5.122319850973223e-003	-7.055032e-002
5.123319850973223e-003	-7.050395e-002
5.124319850973223e-003	-7.046473e-002
5.125319850973223e-003	-7.043171e-002
5.126319850973223e-003	-7.040370e-002
5.127319850973223e-003	-7.037997e-002
5.128319850973223e-003	-7.035983e-002
5.129319850973224e-003	-7.034290e-002
5.130319850973224e-003	-7.032859e-002
5.131319850973224e-003	-7.031643e-002
5.132319850973224e-003	-7.030618e-002
5.133319850973224e-003	-7.029748e-002
5.134319850973224e-003	-7.029009e-002
5.135319850973224e-003	-7.028389e-002
5.136319850973225e-003	-7.027864e-002
5.137319850973225e-003	-7.027423e-002
5.138319850973225e-003	-7.027042e-002
5.139319850973225e-003	-7.026720e-002
5.140319850973225e-003	-7.026458e-002
5.141319850973225e-003	-7.026231e-002
5.142319850973225e-003	-7.026041e-002
5.143319850973225e-003	-7.025874e-002
5.144319850973226e-003	-7.025731e-002
5.145319850973226e-003	-7.025611e-002
