time	V(N012,N005)	V(N013,N007)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002
1.006310719994777e-003	-7.000009e-002	-7.000009e-002
2.030310719994708e-003	-7.000009e-002	-7.000009e-002
3.054310719994844e-003	-7.000009e-002	-7.000009e-002
4.078310719994979e-003	-7.000009e-002	-7.000009e-002
5.000000000000000e-003	-7.000009e-002	-7.000009e-002
5.000001399115868e-003	-7.000316e-002	-7.000045e-002
5.000004197347605e-003	-7.000943e-002	-7.000119e-002
5.000100000000000e-003	-7.022456e-002	-7.002650e-002
5.000365943739806e-003	-7.081593e-002	-7.009607e-002
5.000631887479612e-003	-7.140130e-002	-7.016494e-002
5.000897831219417e-003	-7.198068e-002	-7.023310e-002
5.001163774959222e-003	-7.255407e-002	-7.030056e-002
5.001429718699027e-003	-7.312147e-002	-7.036731e-002
5.001695662438833e-003	-7.368287e-002	-7.043336e-002
5.001961606178639e-003	-7.423829e-002	-7.049870e-002
5.002961606178639e-003	-7.629083e-002	-7.074018e-002
5.003961606178639e-003	-7.826963e-002	-7.097298e-002
5.004961606178639e-003	-8.017607e-002	-7.119726e-002
5.005961606178639e-003	-8.201280e-002	-7.141335e-002
5.006961606178639e-003	-8.378238e-002	-7.162154e-002
5.007961606178639e-003	-8.548724e-002	-7.182210e-002
5.008961606178640e-003	-8.712979e-002	-7.201535e-002
5.009961606178640e-003	-8.871228e-002	-7.220154e-002
5.010961606178640e-003	-9.023690e-002	-7.238089e-002
5.011961606178640e-003	-9.170581e-002	-7.255371e-002
5.012961606178640e-003	-9.312104e-002	-7.272021e-002
5.013961606178640e-003	-9.448452e-002	-7.288061e-002
5.014961606178640e-003	-9.579819e-002	-7.303515e-002
5.016961606178641e-003	-9.828326e-002	-7.332753e-002
5.018961606178641e-003	-1.005900e-001	-7.359889e-002
5.020961606178641e-003	-1.027313e-001	-7.385081e-002
5.023961606178642e-003	-1.056587e-001	-7.419521e-002
5.026961606178642e-003	-1.082771e-001	-7.450327e-002
5.030104463321500e-003	-1.106613e-001	-7.478377e-002
5.033247320464357e-003	-1.128412e-001	-7.504022e-002
5.036390177607215e-003	-1.148168e-001	-7.527265e-002
5.039533034750072e-003	-1.165881e-001	-7.548104e-002
5.042675891892930e-003	-1.181551e-001	-7.566540e-002
