time	V(N012,N005)	V(N013,N007)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002
1.006310719994777e-003	-7.000007e-002	-7.000010e-002
2.030310719994708e-003	-7.000015e-002	-7.000013e-002
3.054310719994844e-003	-7.000019e-002	-7.000016e-002
4.078310719994979e-003	-7.000019e-002	-7.000016e-002
5.000000000000000e-003	-7.000019e-002	-7.000016e-002
5.000001449305549e-003	-7.000119e-002	-7.000054e-002
5.000007961886916e-003	-7.000573e-002	-7.000224e-002
5.000100000000000e-003	-7.007028e-002	-7.002645e-002
5.001747261983703e-003	-7.123042e-002	-7.046216e-002
5.003394523967405e-003	-7.236971e-002	-7.088991e-002
5.005041785951107e-003	-7.348815e-002	-7.130968e-002
5.006689047934809e-003	-7.458574e-002	-7.172148e-002
5.008336309918511e-003	-7.566248e-002	-7.212531e-002
5.009983571902213e-003	-7.671838e-002	-7.252117e-002
5.011630833885916e-003	-7.775342e-002	-7.290906e-002
5.012630833885916e-003	-7.837737e-002	-7.314301e-002
5.013630833885916e-003	-7.899535e-002	-7.337475e-002
5.014630833885916e-003	-7.960737e-002	-7.360423e-002
5.015630833885916e-003	-8.021355e-002	-7.383150e-002
5.016630833885916e-003	-8.081388e-002	-7.405663e-002
5.017630833885916e-003	-8.140844e-002	-7.427961e-002
5.019630833885917e-003	-8.258051e-002	-7.471907e-002
5.021630833885917e-003	-8.373028e-002	-7.515025e-002
5.023630833885917e-003	-8.485800e-002	-7.557315e-002
5.025630833885918e-003	-8.596426e-002	-7.598794e-002
5.028630833885918e-003	-8.758414e-002	-7.659537e-002
5.031630833885918e-003	-8.915794e-002	-7.718545e-002
5.034630833885919e-003	-9.068668e-002	-7.775873e-002
5.039487976743062e-003	-9.305853e-002	-7.864816e-002
5.044345119600206e-003	-9.533333e-002	-7.950118e-002
5.049202262457349e-003	-9.751107e-002	-8.031779e-002
5.054059405314493e-003	-9.959177e-002	-8.109799e-002
5.058916548171636e-003	-1.015754e-001	-8.184178e-002
5.063773691028780e-003	-1.034620e-001	-8.254915e-002
5.068630833885923e-003	-1.052516e-001	-8.322012e-002
5.071059405314495e-003	-1.061197e-001	-8.354570e-002
5.073487976743066e-003	-1.069689e-001	-8.386417e-002
5.075916548171638e-003	-1.077992e-001	-8.417552e-002
5.078345119600211e-003	-1.086105e-001	-8.447976e-002
5.080773691028782e-003	-1.094030e-001	-8.477689e-002
5.083202262457354e-003	-1.101765e-001	-8.506690e-002
5.085630833885925e-003	-1.109312e-001	-8.534980e-002
5.086630833885926e-003	-1.112373e-001	-8.546472e-002
5.088540714759364e-003	-1.118156e-001	-8.568163e-002
5.090450595632804e-003	-1.123825e-001	-8.589422e-002
5.092360476506243e-003	-1.129379e-001	-8.610249e-002
5.094270357379683e-003	-1.134820e-001	-8.630644e-002
5.096180238253122e-003	-1.140147e-001	-8.650607e-002
5.098090119126562e-003	-1.145359e-001	-8.670138e-002
5.100000000000000e-003	-1.150458e-001	-8.689237e-002
5.100100000000001e-003	-1.150022e-001	-8.687592e-002
5.100700000000001e-003	-1.147363e-001	-8.677602e-002
5.110100000000002e-003	-1.109254e-001	-8.534667e-002
5.119500000000003e-003	-1.073867e-001	-8.401944e-002
5.128900000000004e-003	-1.041201e-001	-8.279434e-002
5.138300000000005e-003	-1.011257e-001	-8.167135e-002
5.147700000000007e-003	-9.840348e-002	-8.065049e-002
5.157100000000007e-003	-9.595341e-002	-7.973174e-002
5.166500000000009e-003	-9.377551e-002	-7.891512e-002
5.175928571428581e-003	-9.175906e-002	-7.815918e-002
5.185357142857154e-003	-8.988641e-002	-7.745710e-002
5.194785714285726e-003	-8.815754e-002	-7.680887e-002
5.204214285714300e-003	-8.657247e-002	-7.621449e-002
5.213642857142872e-003	-8.513118e-002	-7.567396e-002
5.223071428571445e-003	-8.383369e-002	-7.518729e-002
5.232500000000018e-003	-8.267999e-002	-7.475448e-002
5.241928571428590e-003	-8.161618e-002	-7.435568e-002
5.251357142857163e-003	-8.062822e-002	-7.398529e-002
5.260785714285735e-003	-7.971610e-002	-7.364332e-002
5.270214285714309e-003	-7.887983e-002	-7.332976e-002
5.279642857142881e-003	-7.811940e-002	-7.304463e-002
5.289071428571454e-003	-7.743483e-002	-7.278790e-002
5.298500000000026e-003	-7.682610e-002	-7.255960e-002
5.307928571428599e-003	-7.626491e-002	-7.234915e-002
5.317357142857171e-003	-7.574373e-002	-7.215371e-002
5.326785714285744e-003	-7.526258e-002	-7.197328e-002
5.336214285714317e-003	-7.482143e-002	-7.180785e-002
5.345642857142890e-003	-7.442031e-002	-7.165742e-002
5.355071428571463e-003	-7.405919e-002	-7.152201e-002
5.364500000000035e-003	-7.373810e-002	-7.140160e-002
5.373928571428608e-003	-7.344204e-002	-7.129054e-002
5.383357142857180e-003	-7.316708e-002	-7.118740e-002
5.392785714285753e-003	-7.291322e-002	-7.109218e-002
5.402214285714326e-003	-7.268045e-002	-7.100489e-002
5.411642857142899e-003	-7.246879e-002	-7.092551e-002
