time	V(N014,N007)
Step Information: X=50  (Run: 1/11)
0.000000000000000e+000	-7.000000e-002
9.999999960041972e-012	-7.000000e-002
1.999999992008394e-011	-7.000000e-002
3.999999984016789e-011	-7.000000e-002
4.499999982018887e-011	-7.000000e-002
5.499999978023085e-011	-7.000000e-002
7.499999970031479e-011	-7.000000e-002
7.999999968033578e-011	-7.000000e-002
8.999999964037775e-011	-7.000000e-002
1.099999995604617e-010	-7.000000e-002
1.499999994006296e-010	-7.000000e-002
1.599999993606716e-010	-7.000000e-002
1.799999992807555e-010	-7.000000e-002
2.199999991209234e-010	-7.000000e-002
2.999999988012592e-010	-7.000000e-002
4.599999981619307e-010	-7.000000e-002
7.799999968832738e-010	-7.000000e-002
1.419999994325960e-009	-7.000000e-002
2.699999989211332e-009	-7.000000e-002
5.259999978982077e-009	-7.000000e-002
1.037999995852357e-008	-7.000000e-002
2.061999991760655e-008	-7.000000e-002
4.109999983577251e-008	-7.000000e-002
8.205999967210442e-008	-7.000000e-002
1.639799993447683e-007	-7.000000e-002
3.278199986900959e-007	-7.000000e-002
6.554999973807513e-007	-7.000000e-002
1.310859994762062e-006	-7.000000e-002
2.310859994762062e-006	-7.000000e-002
2.031085999476207e-005	-7.000000e-002
7.303108599947733e-004	-7.000005e-002
9.973108599947776e-004	-7.000007e-002
1.838310859994707e-003	-7.000013e-002
2.021310859994706e-003	-7.000015e-002
3.045310859994842e-003	-7.000021e-002
4.069310859994978e-003	-7.000021e-002
4.998310859995101e-003	-7.000021e-002
4.999310859995101e-003	-7.000021e-002
5.000000000000000e-003	-7.000021e-002
5.000001398950741e-003	-7.000305e-002
5.000004196852223e-003	-7.000885e-002
5.000006827323453e-003	-7.001432e-002
5.000009823326054e-003	-7.002057e-002
5.000027799341655e-003	-7.005799e-002
5.000051767362457e-003	-7.010784e-002
5.000099703404061e-003	-7.020748e-002
5.000100000000000e-003	-7.020809e-002
5.000100593191880e-003	-7.020932e-002
5.000101779575638e-003	-7.021179e-002
5.000104152343156e-003	-7.021672e-002
5.000108897878190e-003	-7.022656e-002
5.000118388948259e-003	-7.024626e-002
5.000137371088396e-003	-7.028562e-002
5.000175335368671e-003	-7.036427e-002
5.000251263929221e-003	-7.052119e-002
5.000403121050321e-003	-7.083354e-002
5.000706835292522e-003	-7.145236e-002
5.001314263776922e-003	-7.266907e-002
5.002314263776922e-003	-7.462437e-002
5.003314263776922e-003	-7.652196e-002
5.004314263776922e-003	-7.835732e-002
5.005314263776923e-003	-8.013253e-002
5.006314263776923e-003	-8.184955e-002
5.007314263776923e-003	-8.351029e-002
5.008314263776923e-003	-8.511658e-002
5.009314263776923e-003	-8.667024e-002
5.010314263776923e-003	-8.817299e-002
5.011314263776923e-003	-8.962648e-002
5.012314263776923e-003	-9.103236e-002
5.013314263776924e-003	-9.239215e-002
5.014314263776924e-003	-9.370738e-002
5.015314263776924e-003	-9.497954e-002
5.017314263776924e-003	-9.740019e-002
5.019314263776924e-003	-9.966484e-002
5.021314263776925e-003	-1.017836e-001
5.024314263776925e-003	-1.047086e-001
5.027314263776925e-003	-1.073555e-001
5.031314263776926e-003	-1.104978e-001
5.036314263776927e-003	-1.138811e-001
5.042314263776927e-003	-1.172644e-001
5.050314263776928e-003	-1.208443e-001
5.059314263776930e-003	-1.238849e-001
5.070314263776931e-003	-1.265592e-001
5.074314263776932e-003	-1.273149e-001
5.090314263776934e-003	-1.295152e-001
5.099314263776935e-003	-1.303321e-001
5.100000000000000e-003	-1.303854e-001
5.100074278889487e-003	-1.302370e-001
5.100222836668460e-003	-1.299409e-001
5.100519952226406e-003	-1.293541e-001
5.101114183342298e-003	-1.282002e-001
5.102114183342298e-003	-1.263043e-001
5.106114183342299e-003	-1.192988e-001
5.110114183342300e-003	-1.131687e-001
5.114114183342300e-003	-1.078049e-001
5.118114183342301e-003	-1.031113e-001
5.122114183342301e-003	-9.900439e-002
5.126114183342302e-003	-9.541070e-002
5.130114183342302e-003	-9.226620e-002
5.134114183342303e-003	-8.951461e-002
5.138114183342303e-003	-8.710694e-002
5.142114183342304e-003	-8.500016e-002
5.146114183342304e-003	-8.315670e-002
5.150114183342305e-003	-8.154368e-002
5.154114183342305e-003	-8.013225e-002
5.158114183342306e-003	-7.889712e-002
5.162114183342306e-003	-7.781649e-002
5.166114183342307e-003	-7.687080e-002
5.170114183342307e-003	-7.604337e-002
5.174114183342308e-003	-7.531929e-002
5.178114183342309e-003	-7.468569e-002
5.182114183342309e-003	-7.413137e-002
5.186114183342310e-003	-7.364619e-002
5.190114183342310e-003	-7.322180e-002
5.194114183342311e-003	-7.285035e-002
5.198114183342311e-003	-7.252526e-002
5.202114183342312e-003	-7.224095e-002
5.206114183342312e-003	-7.199216e-002
5.210114183342313e-003	-7.177436e-002
5.214114183342313e-003	-7.158387e-002
5.218114183342314e-003	-7.141709e-002
5.222114183342314e-003	-7.127118e-002
5.226114183342315e-003	-7.114363e-002
5.230114183342315e-003	-7.103193e-002
5.234114183342316e-003	-7.093418e-002
5.238114183342317e-003	-7.084870e-002
5.242114183342317e-003	-7.077384e-002
5.246114183342318e-003	-7.070827e-002
5.250114183342318e-003	-7.065105e-002
5.254114183342319e-003	-7.060087e-002
5.258114183342319e-003	-7.055712e-002
5.262114183342320e-003	-7.051873e-002
5.266114183342320e-003	-7.048512e-002
5.270114183342321e-003	-7.045567e-002
5.274114183342321e-003	-7.042992e-002
5.278114183342322e-003	-7.040739e-002
5.282114183342322e-003	-7.038772e-002
5.286114183342323e-003	-7.037044e-002
5.290114183342323e-003	-7.035542e-002
5.294114183342324e-003	-7.034230e-002
5.298114183342324e-003	-7.033062e-002
5.302114183342325e-003	-7.032061e-002
5.306114183342326e-003	-7.031178e-002
5.310114183342326e-003	-7.030404e-002
5.314114183342327e-003	-7.029724e-002
5.318114183342327e-003	-7.029128e-002
5.322114183342328e-003	-7.028615e-002
5.326114183342328e-003	-7.028162e-002
5.330114183342329e-003	-7.027769e-002
5.334114183342329e-003	-7.027411e-002
5.338114183342330e-003	-7.027113e-002
5.342114183342330e-003	-7.026851e-002
5.346114183342331e-003	-7.026613e-002
5.350114183342331e-003	-7.026410e-002
5.354114183342332e-003	-7.026231e-002
5.359114183342333e-003	-7.026041e-002
5.364114183342333e-003	-7.025886e-002
5.369114183342334e-003	-7.025743e-002
5.374114183342335e-003	-7.025623e-002
5.379114183342335e-003	-7.025528e-002
5.384114183342336e-003	-7.025445e-002
5.389114183342337e-003	-7.025373e-002
5.395114183342337e-003	-7.025301e-002
5.401114183342338e-003	-7.025242e-002
5.408114183342339e-003	-7.025194e-002
5.415114183342340e-003	-7.025146e-002
5.423114183342341e-003	-7.025111e-002
5.432114183342342e-003	-7.025075e-002
5.442114183342344e-003	-7.025051e-002
5.454114183342345e-003	-7.025027e-002
5.468114183342347e-003	-7.025015e-002
5.487114183342350e-003	-7.025003e-002
5.514114183342353e-003	-7.024992e-002
5.565114183342360e-003	-7.024992e-002
6.095114183342430e-003	-7.024980e-002
7.119114183342566e-003	-7.024980e-002
8.143114183342416e-003	-7.024968e-002
9.167114183341664e-003	-7.024968e-002
1.019111418334091e-002	-7.024968e-002
1.121511418334016e-002	-7.024956e-002
1.223911418333941e-002	-7.024956e-002
1.326311418333865e-002	-7.024956e-002
1.428711418333790e-002	-7.024956e-002
1.531111418333715e-002	-7.024956e-002
1.633511418333763e-002	-7.024956e-002
1.735911418333866e-002	-7.024956e-002
1.838311418333968e-002	-7.024956e-002
1.940711418334070e-002	-7.024956e-002
2.043111418334173e-002	-7.024956e-002
2.145511418334275e-002	-7.024956e-002
2.247911418334378e-002	-7.024956e-002
2.350311418334480e-002	-7.024956e-002
2.452711418334582e-002	-7.024956e-002
2.499811418334630e-002	-7.024956e-002
2.499911418334630e-002	-7.024956e-002
2.500000000000000e-002	-7.024956e-002
2.500002000000000e-002	-7.020795e-002
2.500006000000000e-002	-7.012486e-002
2.500014000000000e-002	-6.995881e-002
2.500020000000000e-002	-6.983447e-002
2.500021600000000e-002	-6.980133e-002
2.500024800000000e-002	-6.973517e-002
2.500031200000000e-002	-6.960320e-002
2.500044000000000e-002	-6.934023e-002
2.500069600000000e-002	-6.881857e-002
2.500120799999999e-002	-6.779134e-002
2.500220800000000e-002	-6.583083e-002
2.500320800000000e-002	-6.392646e-002
2.500420800000000e-002	-6.208456e-002
2.500520800000000e-002	-6.030309e-002
2.500720800000000e-002	-5.691338e-002
2.500920800000000e-002	-5.374205e-002
2.501120800000000e-002	-5.077541e-002
2.501420800000001e-002	-4.667997e-002
2.501720800000001e-002	-4.297423e-002
2.502120800000001e-002	-3.857529e-002
2.502520800000002e-002	-3.472483e-002
2.503020800000002e-002	-3.057957e-002
2.503620800000003e-002	-2.643490e-002
2.504320800000004e-002	-2.253670e-002
2.505120800000004e-002	-1.906139e-002
2.505920800000005e-002	-1.639575e-002
2.506620800000006e-002	-1.457721e-002
2.507120800000006e-002	-1.351291e-002
2.507320800000007e-002	-1.313394e-002
2.507720800000007e-002	-1.244691e-002
2.508620800000008e-002	-1.119445e-002
2.509520800000009e-002	-1.026112e-002
2.510620800000010e-002	-9.434844e-003
2.512420800000012e-002	-8.576646e-003
2.513020800000012e-002	-8.382469e-003
2.515220800000015e-002	-7.907152e-003
2.519820800000019e-002	-7.487893e-003
2.519920800000019e-002	-7.482648e-003
2.520000000000000e-002	-7.478595e-003
2.520006606441998e-002	-7.615447e-003
2.520019819325994e-002	-7.888317e-003
2.520046245093985e-002	-8.429646e-003
2.520099096629968e-002	-9.495378e-003
2.520199096629968e-002	-1.146555e-002
2.520299096629968e-002	-1.337874e-002
2.520699096629968e-002	-2.042389e-002
2.521099096629969e-002	-2.658856e-002
2.521499096629969e-002	-3.198290e-002
