time	V(N014,N007)
Step Information: X=50  (Run: 1/11)
0.000000000000000e+000	-7.000000e-002
9.999999960041972e-012	-7.000000e-002
1.999999992008394e-011	-7.000000e-002
3.999999984016789e-011	-7.000000e-002
4.499999982018887e-011	-7.000000e-002
5.499999978023085e-011	-7.000000e-002
7.499999970031479e-011	-7.000000e-002
7.999999968033578e-011	-7.000000e-002
8.999999964037775e-011	-7.000000e-002
1.099999995604617e-010	-7.000000e-002
1.499999994006296e-010	-7.000000e-002
1.599999993606716e-010	-7.000000e-002
1.799999992807555e-010	-7.000000e-002
2.199999991209234e-010	-7.000000e-002
2.999999988012592e-010	-7.000000e-002
4.599999981619307e-010	-7.000000e-002
7.799999968832738e-010	-7.000000e-002
1.419999994325960e-009	-7.000000e-002
2.699999989211332e-009	-7.000000e-002
5.259999978982077e-009	-7.000000e-002
1.037999995852357e-008	-7.000000e-002
2.061999991760655e-008	-7.000000e-002
4.109999983577251e-008	-7.000000e-002
8.205999967210442e-008	-7.000000e-002
1.639799993447683e-007	-7.000000e-002
3.278199986900959e-007	-7.000000e-002
6.554999973807513e-007	-7.000000e-002
1.310859994762062e-006	-7.000000e-002
2.310859994762062e-006	-7.000000e-002
2.031085999476207e-005	-7.000000e-002
7.303108599947733e-004	-7.000007e-002
9.973108599947776e-004	-7.000008e-002
1.838310859994707e-003	-7.000015e-002
2.021310859994706e-003	-7.000016e-002
3.045310859994842e-003	-7.000020e-002
4.069310859994978e-003	-7.000024e-002
4.998310859995101e-003	-7.000025e-002
4.999310859995101e-003	-7.000025e-002
5.000000000000000e-003	-7.000025e-002
5.000003331836953e-003	-7.000163e-002
5.000009995510858e-003	-7.000442e-002
5.000016257229052e-003	-7.000705e-002
5.000022931713797e-003	-7.000985e-002
5.000036280683287e-003	-7.001545e-002
5.000062978622266e-003	-7.002664e-002
5.000100000000000e-003	-7.004219e-002
5.000103704909364e-003	-7.004374e-002
5.000111114728091e-003	-7.004685e-002
5.000125934365545e-003	-7.005305e-002
5.000155573640453e-003	-7.006547e-002
5.000214852190268e-003	-7.009022e-002
5.000333409289899e-003	-7.013953e-002
5.000570523489161e-003	-7.023726e-002
5.001044751887685e-003	-7.042928e-002
5.001993208684734e-003	-7.081571e-002
5.002993208684734e-003	-7.123072e-002
5.003993208684734e-003	-7.164523e-002
5.004993208684735e-003	-7.205825e-002
5.005993208684735e-003	-7.246982e-002
5.006993208684735e-003	-7.287991e-002
5.007993208684735e-003	-7.328854e-002
5.008993208684735e-003	-7.369572e-002
5.009993208684735e-003	-7.410144e-002
5.010993208684735e-003	-7.450571e-002
5.011993208684736e-003	-7.490855e-002
5.012993208684736e-003	-7.530995e-002
5.013993208684736e-003	-7.570992e-002
5.014993208684736e-003	-7.610847e-002
5.015993208684736e-003	-7.650560e-002
5.017993208684736e-003	-7.729562e-002
5.019993208684737e-003	-7.808002e-002
5.021993208684737e-003	-7.885883e-002
5.023993208684737e-003	-7.963210e-002
5.025993208684737e-003	-8.039989e-002
5.028993208684738e-003	-8.154133e-002
5.031993208684738e-003	-8.267063e-002
5.034993208684739e-003	-8.378790e-002
5.038993208684739e-003	-8.525914e-002
5.042993208684740e-003	-8.670953e-002
5.046993208684740e-003	-8.813941e-002
5.051993208684741e-003	-8.989829e-002
5.056993208684741e-003	-9.162614e-002
5.062993208684742e-003	-9.365934e-002
5.069993208684743e-003	-9.597716e-002
5.077993208684744e-003	-9.855628e-002
5.078993208684744e-003	-9.887356e-002
5.087993208684746e-003	-1.016787e-001
5.097993208684747e-003	-1.046919e-001
5.098993208684747e-003	-1.049874e-001
5.099993208684747e-003	-1.052950e-001
5.100000000000000e-003	-1.052971e-001
5.100013582630507e-003	-1.052954e-001
5.100040747891520e-003	-1.052921e-001
5.100095078413545e-003	-1.052852e-001
5.100203739457597e-003	-1.052716e-001
5.100421061545700e-003	-1.052448e-001
5.100855705721906e-003	-1.051919e-001
5.101724994074318e-003	-1.050858e-001
5.102724994074318e-003	-1.049618e-001
5.121724994074321e-003	-1.026741e-001
5.143724994074323e-003	-1.002141e-001
5.169724994074327e-003	-9.754789e-002
5.199724994074331e-003	-9.476709e-002
5.234724994074336e-003	-9.188163e-002
5.273724994074341e-003	-8.906806e-002
5.312724994074346e-003	-8.662403e-002
5.351724994074351e-003	-8.450115e-002
5.390724994074356e-003	-8.265734e-002
5.429724994074361e-003	-8.105564e-002
5.468724994074367e-003	-7.966435e-002
5.507724994074372e-003	-7.845592e-002
5.546724994074377e-003	-7.740617e-002
5.585724994074382e-003	-7.649422e-002
5.624724994074387e-003	-7.570243e-002
5.663724994074392e-003	-7.501459e-002
5.702724994074398e-003	-7.441711e-002
5.741724994074403e-003	-7.389784e-002
5.780724994074408e-003	-7.344699e-002
5.819724994074413e-003	-7.305551e-002
5.858724994074418e-003	-7.271552e-002
5.897724994074424e-003	-7.242012e-002
5.936724994074429e-003	-7.216334e-002
5.975724994074434e-003	-7.194018e-002
6.014724994074439e-003	-7.174659e-002
6.053724994074444e-003	-7.157850e-002
6.092724994074449e-003	-7.143259e-002
6.096724994074450e-003	-7.141876e-002
6.135724994074455e-003	-7.129359e-002
6.174724994074460e-003	-7.118487e-002
6.213724994074465e-003	-7.109070e-002
6.252724994074471e-003	-7.100892e-002
6.291724994074476e-003	-7.093763e-002
6.330724994074481e-003	-7.087588e-002
6.369724994074486e-003	-7.082200e-002
6.408724994074491e-003	-7.077551e-002
6.447724994074497e-003	-7.073474e-002
6.486724994074502e-003	-7.069969e-002
6.525724994074507e-003	-7.066941e-002
6.564724994074512e-003	-7.064247e-002
6.603724994074517e-003	-7.061958e-002
6.642724994074522e-003	-7.059956e-002
6.681724994074528e-003	-7.058239e-002
6.720724994074533e-003	-7.056713e-002
6.759724994074538e-003	-7.055402e-002
6.799724994074543e-003	-7.054257e-002
6.839724994074549e-003	-7.053256e-002
6.879724994074554e-003	-7.052374e-002
6.919724994074559e-003	-7.051611e-002
6.959724994074564e-003	-7.050967e-002
7.000724994074570e-003	-7.050395e-002
7.041724994074575e-003	-7.049894e-002
7.082724994074581e-003	-7.049465e-002
7.120724994074586e-003	-7.049108e-002
7.162724994074591e-003	-7.048774e-002
7.205724994074597e-003	-7.048512e-002
7.248724994074603e-003	-7.048249e-002
7.292724994074609e-003	-7.048035e-002
7.337724994074615e-003	-7.047868e-002
7.383724994074621e-003	-7.047701e-002
7.430724994074627e-003	-7.047558e-002
7.478724994074633e-003	-7.047439e-002
7.528724994074640e-003	-7.047319e-002
7.580724994074647e-003	-7.047272e-002
7.635724994074654e-003	-7.047176e-002
7.693724994074662e-003	-7.047129e-002
7.754724994074670e-003	-7.047057e-002
7.820724994074671e-003	-7.047009e-002
7.892724994074618e-003	-7.046962e-002
7.971724994074560e-003	-7.046938e-002
8.060724994074495e-003	-7.046914e-002
8.144724994074433e-003	-7.046890e-002
8.263724994074346e-003	-7.046890e-002
8.412724994074236e-003	-7.046890e-002
8.612724994074089e-003	-7.046890e-002
8.923724994073861e-003	-7.046890e-002
9.168724994073681e-003	-7.046914e-002
1.019272499407293e-002	-7.046938e-002
1.121672499407218e-002	-7.046962e-002
1.224072499407142e-002	-7.046986e-002
1.326472499407067e-002	-7.046986e-002
1.428872499406992e-002	-7.046986e-002
1.531272499406917e-002	-7.046986e-002
1.633672499406965e-002	-7.046986e-002
1.736072499407067e-002	-7.047009e-002
1.838472499407170e-002	-7.047009e-002
1.940872499407272e-002	-7.047009e-002
2.043272499407375e-002	-7.047009e-002
2.145672499407477e-002	-7.047009e-002
2.248072499407579e-002	-7.047009e-002
2.350472499407682e-002	-7.047009e-002
2.452872499407784e-002	-7.047009e-002
2.499872499407831e-002	-7.047009e-002
2.499972499407831e-002	-7.047009e-002
2.500000000000000e-002	-7.047009e-002
2.500002000000000e-002	-7.046151e-002
2.500006000000000e-002	-7.044482e-002
2.500014000000000e-002	-7.041121e-002
2.500020000000000e-002	-7.038593e-002
2.500021600000000e-002	-7.037926e-002
2.500024800000000e-002	-7.036591e-002
2.500031200000000e-002	-7.033920e-002
2.500044000000000e-002	-7.028627e-002
2.500069600000000e-002	-7.018065e-002
2.500120799999999e-002	-6.997371e-002
2.500220800000000e-002	-6.956601e-002
2.500320800000000e-002	-6.915021e-002
2.500720800000000e-002	-6.750226e-002
2.501420800000001e-002	-6.467462e-002
2.502420800000002e-002	-6.075549e-002
2.503720800000003e-002	-5.586505e-002
2.504720800000004e-002	-5.225468e-002
2.505220800000005e-002	-5.049682e-002
2.505420800000005e-002	-4.980254e-002
2.506120800000005e-002	-4.741120e-002
2.507420800000007e-002	-4.312491e-002
2.509420800000009e-002	-3.690624e-002
2.511920800000011e-002	-2.972949e-002
2.514320800000014e-002	-2.341378e-002
2.516620800000016e-002	-1.784539e-002
2.518720800000018e-002	-1.314211e-002
2.519820800000019e-002	-1.081437e-002
2.519920800000019e-002	-1.060528e-002
2.520000000000000e-002	-1.043439e-002
2.520010000000000e-002	-1.045561e-002
2.520030000000000e-002	-1.049757e-002
2.520070000000000e-002	-1.058042e-002
2.520150000000000e-002	-1.074582e-002
2.520250000000000e-002	-1.095581e-002
2.520350000000000e-002	-1.116705e-002
2.521850000000002e-002	-1.424503e-002
2.523150000000003e-002	-1.678103e-002
2.524250000000004e-002	-1.883581e-002
2.525050000000005e-002	-2.027979e-002
2.525650000000005e-002	-2.133569e-002
2.525950000000006e-002	-2.185513e-002
2.526050000000006e-002	-2.202702e-002
2.526250000000006e-002	-2.236897e-002
2.526550000000006e-002	-2.287727e-002
2.526750000000006e-002	-2.321309e-002
2.527050000000007e-002	-2.371230e-002
2.527250000000007e-002	-2.404211e-002
2.527450000000007e-002	-2.436955e-002
2.527650000000007e-002	-2.469463e-002
2.528150000000008e-002	-2.549713e-002
