time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	V(nc_01)	V(nc_02)	V(nc_03)	V(nc_04)	V(nc_05)	V(nc_06)	I(C1)	I(C2)	I(C3)	I(C4)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(V1)	I(V2)	I(V4)	I(V5)	I(V6)	I(V7)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	0.000000e+000	-2.100000e-020	-2.100000e-020	-2.102100e-020	-2.102100e-020	-2.102098e-020	-2.102098e-020	-7.000000e-002	-7.000000e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	4.200000e-025	4.200000e-025	1.050000e-038	1.050000e-038	-4.168963e-035	-4.168963e-035	0.000000e+000	0.000000e+000	4.200000e-025	4.200000e-025	4.200000e-025	4.200000e-025	2.102098e-018	-2.102098e-018	-4.200000e-025	0.000000e+000	0.000000e+000	0.000000e+000
1.006310719994777e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-1.391927e-012	-1.391927e-012	-1.403471e-012	-1.403471e-012	-9.235272e-008	-9.235272e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	2.646978e-023	2.646978e-023	2.030398e-016	2.030398e-016	2.308783e-016	2.308783e-016	0.000000e+000	-2.524355e-030	2.308784e-016	2.308784e-016	2.783854e-017	2.783854e-017	2.209298e-016	-4.686499e-016	-2.308784e-016	0.000000e+000	0.000000e+000	0.000000e+000
2.030310719994708e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-1.799351e-012	-1.799351e-012	-1.810895e-012	-1.810895e-012	-9.235313e-008	-9.235313e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	-1.058791e-022	-1.058791e-022	1.948912e-016	1.948912e-016	2.308783e-016	2.308783e-016	0.000000e+000	-2.524355e-030	2.308782e-016	2.308782e-016	3.598703e-017	3.598703e-017	-9.291370e-017	6.234828e-017	-2.308782e-016	0.000000e+000	0.000000e+000	0.000000e+000
3.054310719994844e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-2.190425e-012	-2.190425e-012	-2.201969e-012	-2.201969e-012	-9.235352e-008	-9.235352e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	-5.293956e-023	-5.293956e-023	1.870698e-016	1.870698e-016	2.308783e-016	2.308783e-016	0.000000e+000	0.000000e+000	2.308783e-016	2.308783e-016	4.380849e-017	4.380849e-017	3.040298e-016	1.048021e-016	-2.308783e-016	0.000000e+000	0.000000e+000	0.000000e+000
4.078310719994979e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-2.565803e-012	-2.565803e-012	-2.577347e-012	-2.577347e-012	-9.235389e-008	-9.235389e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	-5.293956e-023	-5.293956e-023	1.795622e-016	1.795622e-016	2.308783e-016	2.308783e-016	0.000000e+000	0.000000e+000	2.308783e-016	2.308783e-016	5.131607e-017	5.131607e-017	1.936198e-016	-1.133713e-017	-2.308783e-016	0.000000e+000	0.000000e+000	0.000000e+000
5.000000000000000e-003	-7.000009e-002	-7.000009e-002	0.000000e+000	-2.890491e-012	-2.890491e-012	-2.881800e-012	-2.881800e-012	-9.233034e-008	-9.233034e-008	-7.000009e-002	-7.000009e-002	0.000000e+000	0.000000e+000	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	-4.046389e-016	-4.046389e-016	-2.316299e-016	-2.316299e-016	2.308186e-016	2.308186e-016	0.000000e+000	-8.077936e-029	-1.738201e-016	-1.738201e-016	5.780981e-017	5.780981e-017	1.300340e-016	-4.110236e-016	1.738201e-016	0.000000e+000	0.000000e+000	0.000000e+000
5.000001398564669e-003	-7.040981e-002	-6.959038e-002	-5.034833e-003	-5.034675e-003	-1.572918e-007	-2.927139e-003	-2.107694e-003	-2.517517e-003	-2.517500e-003	-7.251750e-002	-7.251751e-002	-3.496412e-005	0.000000e+000	-7.000000e-002	0.000000e+000	-3.496412e-005	0.000000e+000	-1.178480e-006	1.178480e-006	-4.215073e-005	4.215073e-005	-1.024061e-012	1.024522e-012	1.178481e-006	4.097225e-005	-4.215073e-005	4.215073e-005	-3.145720e-012	3.145836e-012	1.024260e-012	-1.024934e-012	4.215073e-005	0.000000e+000	0.000000e+000	0.000000e+000
5.000004195694006e-003	-7.124368e-002	-6.875651e-002	-1.510450e-002	-1.510382e-002	-6.787407e-007	-8.795842e-003	-6.308657e-003	-7.552351e-003	-7.552332e-003	-7.755233e-002	-7.755235e-002	-1.048924e-004	0.000000e+000	-7.000000e-002	0.000000e+000	-1.048924e-004	0.000000e+000	-1.800293e-006	1.800293e-006	-1.261595e-004	1.261595e-004	-3.108728e-012	3.109190e-012	1.800296e-006	1.243593e-004	-1.261596e-004	1.261596e-004	-1.357470e-011	1.357481e-011	3.109004e-012	-3.109555e-012	1.261596e-004	0.000000e+000	0.000000e+000	0.000000e+000
5.000013897978510e-003	-7.415317e-002	-6.584701e-002	-5.003272e-002	-5.002487e-002	-7.853235e-006	-2.916945e-002	-2.086327e-002	-2.501646e-002	-2.501644e-002	-9.501644e-002	-9.501646e-002	-3.474495e-004	0.000000e+000	-7.000000e-002	0.000000e+000	-3.474495e-004	0.000000e+000	-1.799346e-006	1.799346e-006	-4.171082e-004	4.171082e-004	-1.038247e-011	1.038293e-011	1.799356e-006	4.153090e-004	-4.171083e-004	4.171083e-004	-1.570646e-010	1.570647e-010	1.038253e-011	-1.038301e-011	4.171083e-004	0.000000e+000	0.000000e+000	0.000000e+000
5.000023600263012e-003	-7.706172e-002	-6.293845e-002	-8.496095e-002	-8.494024e-002	-2.070593e-005	-4.954211e-002	-3.541883e-002	-4.248057e-002	-4.248056e-002	-1.124806e-001	-1.124806e-001	-5.900066e-004	0.000000e+000	-7.000000e-002	0.000000e+000	-5.900066e-004	0.000000e+000	-1.798496e-006	1.798496e-006	-7.079621e-004	7.079621e-004	-1.765385e-011	1.765431e-011	1.798514e-006	7.061640e-004	-7.079625e-004	7.079625e-004	-4.141185e-010	4.141186e-010	1.765378e-011	-1.765420e-011	7.079625e-004	0.000000e+000	0.000000e+000	0.000000e+000
