time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	V(nc_01)	V(nc_02)	V(nc_03)	V(nc_04)	I(C1)	I(C2)	I(C3)	I(C4)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(R9)	I(V1)	I(V2)	I(V3)	I(V4)	I(V5)
0.000000000000000e+000	-7.000000e-002	-7.000000e-002	0.000000e+000	-2.100000e-020	-2.100000e-020	-2.102100e-020	-2.102100e-020	-2.102098e-020	-2.102098e-020	-7.000000e-002	-7.000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.200000e-025	4.200000e-025	1.050000e-038	1.050000e-038	-4.168963e-035	-4.168963e-035	0.000000e+000	0.000000e+000	0.000000e+000	4.200000e-025	4.200000e-025	4.200000e-025	4.200000e-025	-1.261169e-043	-1.261169e-043	-4.200000e-025	0.000000e+000	0.000000e+000
1.006310719994779e-004	-7.000001e-002	-7.000001e-002	0.000000e+000	-9.103943e-014	-9.103943e-014	-1.141741e-013	-1.141741e-013	-7.445850e-009	-7.445850e-009	-7.000001e-002	-7.000001e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.440795e-016	4.440795e-016	4.608731e-016	4.608731e-016	1.861435e-017	1.861435e-017	0.000000e+000	-1.893266e-029	-1.091784e-029	4.626931e-016	4.626931e-016	1.820789e-018	1.820789e-018	-1.861435e-017	-1.861435e-017	-4.626939e-016	0.000000e+000	0.000000e+000
2.030310719994804e-004	-7.000002e-002	-7.000002e-002	0.000000e+000	-1.871708e-013	-1.871708e-013	-2.112528e-013	-2.112528e-013	-1.502491e-008	-1.502491e-008	-7.000002e-002	-7.000002e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.440799e-016	4.440799e-016	4.778974e-016	4.778974e-016	3.756176e-017	3.756176e-017	0.000000e+000	4.670057e-029	-4.493352e-029	4.816404e-016	4.816404e-016	3.743416e-018	3.743416e-018	-3.756175e-017	-3.756175e-017	-4.816408e-016	0.000000e+000	0.000000e+000
3.054310719994828e-004	-7.000002e-002	-7.000002e-002	0.000000e+000	-2.867817e-013	-2.867817e-013	-3.118111e-013	-3.118111e-013	-2.260398e-008	-2.260398e-008	-7.000002e-002	-7.000002e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.440807e-016	4.440807e-016	4.948534e-016	4.948534e-016	5.650917e-017	5.650917e-017	0.000000e+000	1.767049e-029	-4.341890e-029	5.005877e-016	5.005877e-016	5.735634e-018	5.735634e-018	-5.650904e-017	-5.650925e-017	-5.005890e-016	0.000000e+000	0.000000e+000
4.078310719994853e-004	-7.000003e-002	-7.000003e-002	0.000000e+000	-3.898579e-013	-3.898579e-013	-4.158347e-013	-4.158347e-013	-3.018305e-008	-3.018305e-008	-7.000003e-002	-7.000003e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.440799e-016	4.440799e-016	5.117388e-016	5.117388e-016	7.545659e-017	7.545659e-017	0.000000e+000	5.301146e-029	-6.613810e-029	5.195350e-016	5.195350e-016	7.797159e-018	7.797159e-018	-7.545632e-017	-7.545632e-017	-5.195359e-016	0.000000e+000	0.000000e+000
5.102310719994759e-004	-7.000004e-002	-7.000004e-002	0.000000e+000	-4.963853e-013	-4.963853e-013	-5.233095e-013	-5.233095e-013	-3.776212e-008	-3.776212e-008	-7.000004e-002	-7.000004e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.440803e-016	4.440803e-016	5.285568e-016	5.285568e-016	9.440400e-017	9.440400e-017	0.000000e+000	-1.211690e-028	-5.301145e-029	5.384845e-016	5.384845e-016	9.927707e-018	9.927707e-018	-9.440376e-017	-9.440408e-017	-5.384845e-016	0.000000e+000	0.000000e+000
6.126310719994229e-004	-7.000005e-002	-7.000005e-002	0.000000e+000	-6.063498e-013	-6.063498e-013	-6.342213e-013	-6.342213e-013	-4.534119e-008	-4.534119e-008	-7.000005e-002	-7.000005e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.440790e-016	4.440790e-016	5.453044e-016	5.453044e-016	1.133514e-016	1.133514e-016	0.000000e+000	4.796275e-029	-1.342957e-028	5.574310e-016	5.574310e-016	1.212700e-017	1.212700e-017	-1.133510e-016	-1.133514e-016	-5.574314e-016	0.000000e+000	0.000000e+000
7.150310719993699e-004	-7.000005e-002	-7.000005e-002	0.000000e+000	-7.197372e-013	-7.197372e-013	-7.485562e-013	-7.485562e-013	-5.292027e-008	-5.292027e-008	-7.000005e-002	-7.000005e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.440799e-016	4.440799e-016	5.619840e-016	5.619840e-016	1.322988e-016	1.322988e-016	0.000000e+000	3.382636e-028	-1.459077e-028	5.763783e-016	5.763783e-016	1.439474e-017	1.439474e-017	-1.322989e-016	-1.322993e-016	-5.763787e-016	0.000000e+000	0.000000e+000
8.174310719993169e-004	-7.000006e-002	-7.000006e-002	0.000000e+000	-8.365336e-013	-8.365336e-013	-8.662999e-013	-8.662999e-013	-6.049935e-008	-6.049935e-008	-7.000006e-002	-7.000006e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.440803e-016	4.440803e-016	5.785949e-016	5.785949e-016	1.512462e-016	1.512462e-016	0.000000e+000	-5.048709e-030	-1.247031e-028	5.953256e-016	5.953256e-016	1.673067e-017	1.673067e-017	-1.512465e-016	-1.512456e-016	-5.953256e-016	0.000000e+000	0.000000e+000
9.198310719992638e-004	-7.000007e-002	-7.000007e-002	0.000000e+000	-9.567252e-013	-9.567252e-013	-9.874389e-013	-9.874389e-013	-6.807844e-008	-6.807844e-008	-7.000007e-002	-7.000007e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.440790e-016	4.440790e-016	5.951388e-016	5.951388e-016	1.701936e-016	1.701936e-016	0.000000e+000	-1.110716e-028	-8.279884e-029	6.142734e-016	6.142734e-016	1.913450e-017	1.913450e-017	-1.701930e-016	-1.701936e-016	-6.142734e-016	0.000000e+000	0.000000e+000
